effective_diffusivity_m2_s,normalized_rmse
1.6336495955869183e-07,0.2994610942451621
9.181895579395011e-07,0.2104978999516194
2.6688110011613023e-06,0.8168965152386
4.349828397839913e-07,0.06617639485952027
4.2936535541878005e-07,0.06993024719917489
5.426854863545474e-07,0.021109705663304276
6.63411792205581e-07,0.08111801942464289
6.431225074586543e-07,0.07005614979272297
4.98712678091041e-07,0.028352126956633986
5.467173339988199e-07,0.022126204855754505
5.295026378016238e-07,0.019730088061793608
5.303161922398666e-07,0.01971848823582205
5.311309966519006e-07,0.019720168328168704
