seed,fold,model,curve_nrmse,final_reference,final_prediction,monotonic,bounded
31991,0,gnn_v2_init_11,0.05791451152561262,0.2913050297483481,0.26507771015167236,True,True
69371,0,gnn_v2_init_11,0.05281199965855152,0.2878364645639539,0.2656812369823456,True,True
98251,0,gnn_v2_init_11,0.11127589448883247,0.3129742683579579,0.2648946940898895,True,True
129121,0,gnn_v2_init_11,0.13540497514305241,0.226316329052256,0.26745158433914185,True,True
31991,0,gnn_v2_init_29,0.04472164427018767,0.2913050297483481,0.2703467607498169,True,True
69371,0,gnn_v2_init_29,0.05924064975404325,0.2878364645639539,0.2641195058822632,True,True
98251,0,gnn_v2_init_29,0.09534883558570961,0.3129742683579579,0.2713482081890106,True,True
129121,0,gnn_v2_init_29,0.1518903479022154,0.226316329052256,0.27226072549819946,True,True
31991,0,gnn_v2_init_47,0.06425636525084014,0.2913050297483481,0.2634083032608032,True,True
69371,0,gnn_v2_init_47,0.06695558442663721,0.2878364645639539,0.2613905966281891,True,True
98251,0,gnn_v2_init_47,0.10161599478171614,0.3129742683579579,0.2687952518463135,True,True
129121,0,gnn_v2_init_47,0.1306071563698589,0.226316329052256,0.26634785532951355,True,True
31991,0,gnn_v2_ensemble,0.05558941999242054,0.2913050297483481,0.26627759138743085,True,True
69371,0,gnn_v2_ensemble,0.05965674490886659,0.2878364645639539,0.2637304464975993,True,True
98251,0,gnn_v2_ensemble,0.10274393296113186,0.3129742683579579,0.2683460513750712,True,True
129121,0,gnn_v2_ensemble,0.13929825506623275,0.226316329052256,0.26868672172228497,True,True
31991,0,mean_curve,0.07028750457517398,0.2913050297483481,0.26081369765988,True,True
69371,0,mean_curve,0.06684891509787733,0.2878364645639539,0.26081369765988,True,True
98251,0,mean_curve,0.12232920417684277,0.3129742683579579,0.26081369765988,True,True
129121,0,mean_curve,0.11075711565424756,0.226316329052256,0.26081369765988,True,True
31991,0,G_access_power_1D,0.020568770009316308,0.2913050297483481,0.2768487589877284,True,True
69371,0,G_access_power_1D,0.02587965193700636,0.2878364645639539,0.27125801983271103,True,True
98251,0,G_access_power_1D,0.02139706438091202,0.3129742683579579,0.298893653051181,True,True
129121,0,G_access_power_1D,0.023558516805857695,0.226316329052256,0.2212079981801464,True,True
31991,0,gnn_v1_ensemble,0.0736381547930946,0.2913050297483481,0.25994740923245746,True,True
69371,0,gnn_v1_ensemble,0.07057117576617207,0.2878364645639539,0.25985289613405865,True,True
