model,mean_curve_nrmse,worst_curve_nrmse,final_mape_percent,final_r2
G_access_power_1D,0.026228788524588036,0.05297686616294687,3.6508822163588763,0.840821152443643
gnn_v1_ensemble,0.06777446268191642,0.2084908520814076,9.333565480194595,-0.07930257442971889
gnn_v2_ensemble,0.06623481194325123,0.21000875006825714,9.208148660250352,-0.026505255531102945
gnn_v2_init_11,0.06555605622026381,0.21121045822103096,9.09241900826572,-0.022701961576886864
gnn_v2_init_29,0.06719255126395017,0.20953100571941963,9.363160302072398,-0.051128461975817
gnn_v2_init_47,0.06624164659804477,0.20928588657018413,9.168866670412942,-0.016442505307221245
mean_curve,0.0674083605103007,0.20806995979784912,9.376211432473706,-0.07062331530667354
