seed,graph_build_s,ensemble_inference_s,total_s
31991,0.005801365012302995,0.01610460999654606,0.021905975008849055
69371,0.0057171960070263594,0.016395648999605328,0.022112845006631687
98251,0.005794080992927775,0.016529693006305024,0.0223237739992328
129121,0.005707117001293227,0.016236699011642486,0.021943816012935713
27183,0.005989929981296882,0.016389504977269098,0.02237943495856598
105019,0.0058188679977320135,0.01635835599154234,0.022177223989274353
121021,0.0058228349953424186,0.016791934991488233,0.022614769986830652
145093,0.005815802025608718,0.016199946985580027,0.022015749011188745
47837,0.005730278993723914,0.01629912300268188,0.022029401996405795
61417,0.005793920019641519,0.01617113099200651,0.02196505101164803
81929,0.005713938997359946,0.016324751020874828,0.022038690018234774
90709,0.005724818998714909,0.016132627002662048,0.021857446001376957
52691,0.005722042988054454,0.016148166003404185,0.02187020899145864
74167,0.005800240993266925,0.016205282998271286,0.02200552399153821
153133,0.0057046799920499325,0.01622836699243635,0.021933046984486282
161123,0.005861385987373069,0.016166910994797945,0.022028296982171014
18427,0.005819285986945033,0.01628215698292479,0.022101442969869822
40213,0.00590217299759388,0.016345326992450282,0.02224749999004416
113117,0.005792095005745068,0.0166008890082594,0.02239298401400447
137077,0.005899417999899015,0.016426300018792972,0.022325718018691987
