fold,stage,weight_decay,initialization,epoch,train_nrmse,validation_nrmse
0,inner,1e-05,11,10,0.06665345623934459,0.03666151599277224
0,inner,1e-05,11,20,0.06613463148635622,0.03688487251473046
0,inner,1e-05,11,30,0.06551173970946865,0.03676510403194277
0,inner,1e-05,11,40,0.061104123738168065,0.03518564423480614
0,inner,1e-05,11,50,0.04925453698772253,0.03233634705519858
0,inner,1e-05,11,60,0.030011432659019528,0.03315673178396752
0,inner,1e-05,11,70,0.020815690699230786,0.041671807831883366
0,inner,1e-05,11,80,0.016483028797788034,0.05527616327861492
0,inner,1e-05,11,90,0.010170463896745217,0.049411696572700364
0,inner,1e-05,11,100,0.009124368340078596,0.04957884666534371
0,inner,1e-05,11,110,0.00920219601062946,0.05199501258214444
0,inner,1e-05,11,120,0.00801330207100401,0.05119468341533111
0,inner,1e-05,11,130,0.007550816102827624,0.05079289746800407
0,inner,1e-05,11,140,0.0072862848019705035,0.050666956519188726
0,inner,1e-05,11,150,0.0069790615020448345,0.049893212428339447
0,inner,0.0001,11,10,0.06665343531012603,0.0366614877211162
0,inner,0.0001,11,20,0.0661346435240457,0.03688487680133819
0,inner,0.0001,11,30,0.06551172589099447,0.03676510342145556
0,inner,0.0001,11,40,0.06110432862397394,0.03518559799235639
0,inner,0.0001,11,50,0.0492559193099971,0.032340470156490095
0,inner,0.0001,11,60,0.03001219209413554,0.033157418129672586
0,inner,0.0001,11,70,0.02075004141158361,0.04173681770767965
0,inner,0.0001,11,80,0.016685457101507064,0.05509026128033699
0,inner,0.0001,11,90,0.010148380226414016,0.04894498862583729
0,inner,0.0001,11,100,0.009046344180472255,0.049399652258478643
0,inner,0.0001,11,110,0.009174026919638626,0.051658095263603376
0,inner,0.0001,11,120,0.008156879776416538,0.05115492827751978
0,inner,0.0001,11,130,0.007643534298025805,0.050803910394372376
0,inner,0.0001,11,140,0.00725332252980902,0.05039397387810367
0,inner,0.0001,11,150,0.006978318832929996,0.04958971592634441
0,refit,1e-05,11,10,0.05911802399789799,
0,refit,1e-05,11,20,0.0587839902281587,
0,refit,1e-05,11,30,0.05848708985610504,
0,refit,1e-05,11,40,0.05719123829042919,
0,refit,1e-05,11,50,0.04994318120321829,
0,refit,1e-05,29,10,0.058721426462608806,
0,refit,1e-05,29,20,0.058600044175639146,
0,refit,1e-05,29,30,0.057539207067877476,
0,refit,1e-05,29,40,0.05118557422404858,
0,refit,1e-05,29,50,0.043007730794283355,
0,refit,1e-05,47,10,0.05907358898264484,
0,refit,1e-05,47,20,0.058772170449976166,
0,refit,1e-05,47,30,0.058206404404653425,
0,refit,1e-05,47,40,0.05545848878451871,
0,refit,1e-05,47,50,0.04326320599871906,
1,inner,1e-05,11,10,0.06409644801437071,0.04353627945450581
1,inner,1e-05,11,20,0.06401649993123715,0.04199606225781505
1,inner,1e-05,11,30,0.062434255545202016,0.04058325673772967
1,inner,1e-05,11,40,0.05454794507362978,0.042722445150413596
1,inner,1e-05,11,50,0.03726053517123768,0.05617151189428622
1,inner,1e-05,11,60,0.033372983481503894,0.06692535273585522
1,inner,1e-05,11,70,0.022166924578215456,0.06990247615112508
1,inner,1e-05,11,80,0.01689943781953497,0.07009698407847909
1,inner,1e-05,11,90,0.014331088881682328,0.07157816881971904
1,inner,1e-05,11,100,0.011803159183324209,0.07018122416423722
1,inner,1e-05,11,110,0.009377862174913053,0.07098439403491923
1,inner,1e-05,11,120,0.008547957691703986,0.07195702299161508
1,inner,1e-05,11,130,0.007384494746775532,0.0714894584175737
1,inner,0.0001,11,10,0.0640964312431067,0.0435362748327256
1,inner,0.0001,11,20,0.06401652026411077,0.041996066090366865
1,inner,0.0001,11,30,0.062434317290582936,0.04058330194564772
1,inner,0.0001,11,40,0.05454846413154745,0.0427223972773023
1,inner,0.0001,11,50,0.037259366702248484,0.05616967592026713
1,inner,0.0001,11,60,0.033371966270774496,0.06692428593397308
1,inner,0.0001,11,70,0.022169310469395135,0.06990314006543581
1,inner,0.0001,11,80,0.01689254252844655,0.07009808203216156
1,inner,0.0001,11,90,0.014340229562667004,0.07157876970814206
1,inner,0.0001,11,100,0.011798283573703454,0.07017954100516383
1,inner,0.0001,11,110,0.009375116487710656,0.07094389067223913
1,inner,0.0001,11,120,0.00844403494208843,0.07155046568823271
1,inner,0.0001,11,130,0.0068285922666156155,0.07096529370220599
1,refit,1e-05,11,10,0.05871076743646865,
1,refit,1e-05,11,20,0.058404979633686155,
1,refit,1e-05,11,30,0.057921793139807866,
1,refit,1e-05,29,10,0.05878539701499125,
1,refit,1e-05,29,20,0.058408035728339844,
1,refit,1e-05,29,30,0.05786933679948314,
1,refit,1e-05,47,10,0.05866814845009309,
1,refit,1e-05,47,20,0.058410727364486055,
1,refit,1e-05,47,30,0.05820661287644939,
2,inner,1e-05,11,10,0.05757401930424588,0.08584264855087412
2,inner,1e-05,11,20,0.05710694019528676,0.08664775043654896
2,inner,1e-05,11,30,0.05683251073366019,0.08716035932560225
2,inner,1e-05,11,40,0.054896778192253866,0.08817218937010607
2,inner,1e-05,11,50,0.04791419923481544,0.09363392912765175
2,inner,1e-05,11,60,0.034901826593944855,0.10697780531099688
2,inner,1e-05,11,70,0.029548968043533293,0.11775257899551148
2,inner,1e-05,11,80,0.01316993630689664,0.11855818174618087
2,inner,1e-05,11,90,0.00881822853760101,0.11714841032033949
2,inner,1e-05,11,100,0.010388026999864247,0.1142394091326686
2,inner,1e-05,11,110,0.00833630546546914,0.11472834211939315
2,inner,0.0001,11,10,0.057574023738725964,0.08584263636102801
2,inner,0.0001,11,20,0.057106956628425166,0.08664776310757205
2,inner,0.0001,11,30,0.056832504801054,0.0871603535762406
2,inner,0.0001,11,40,0.054896883239953315,0.08817206346607595
2,inner,0.0001,11,50,0.04791277779092212,0.09363464988043302
2,inner,0.0001,11,60,0.03489646769153953,0.10697124040820552
2,inner,0.0001,11,70,0.029589382543698892,0.11773722130482184
2,inner,0.0001,11,80,0.013064242159939505,0.1185789466789155
2,inner,0.0001,11,90,0.008975078455097325,0.11765403161933462
2,inner,0.0001,11,100,0.01055973445430146,0.11409241287336971
2,inner,0.0001,11,110,0.007937397275672374,0.11460605159847956
2,refit,0.0001,11,10,0.06453686819806598,
2,refit,0.0001,29,10,0.06482477836694955,
2,refit,0.0001,47,10,0.06436502053008662,
3,inner,1e-05,11,10,0.06585013694861087,0.07573027293949897
3,inner,1e-05,11,20,0.06581070526242812,0.07649906469907675
3,inner,1e-05,11,30,0.06499401269774885,0.07677841400176334
3,inner,1e-05,11,40,0.059597861887051594,0.07909657465950085
3,inner,1e-05,11,50,0.047201514643646185,0.08308915763935278
3,inner,1e-05,11,60,0.036685189961143415,0.09492663739338328
3,inner,1e-05,11,70,0.03216665285183745,0.09121603612616805
3,inner,1e-05,11,80,0.02391220163430827,0.09783425391789227
