seed,network_file,inlet_pore_count,inlet_pore_fraction,inlet_total_pore_volume_m3,inlet_mean_pore_volume_m3,inlet_pore_volume_fraction,inlet_to_internal_throat_count,inlet_to_internal_unique_second_layer_pores,inlet_to_internal_throats_per_inlet_pore,inlet_internal_conductance_m3_s,inlet_internal_conductance_per_inlet_pore_m3_s,inlet_internal_conductance_cv,interior_depth_dp,interior_plane_z_m,effective_inlet_to_interior_conductance_m3_s,effective_inlet_to_interior_active_pores,effective_inlet_to_interior_spanning,effective_inlet_to_outlet_conductance_m3_s,effective_inlet_to_outlet_active_pores,effective_inlet_to_outlet_spanning,inlet_radial_coverage,inlet_polar_cell_coverage,inlet_radial_mean_over_R,inlet_radial_std_over_R,inlet_angular_resultant,inlet_centroid_offset_over_R,inlet_mean_pair_distance_over_D,inlet_min_pair_distance_over_D
18427,co2_pore_networks_power22/seed_18427/pore_network.npz,20,0.0021283388315419816,3.7943545076973917e-08,1.897177253848696e-09,0.011705753249255834,44,43,2.2,6.035577112064612e-07,3.0177885560323055e-08,1.5382951322657705,3.0,0.004963190994556401,4.4401635153317664e-08,9397,True,7.258022226656612e-09,9397,True,0.4,0.2,0.8584765959044305,0.05573592573406364,0.06825066250993513,0.04244340819871987,0.5712690102020473,0.05630945707110966
27183,co2_pore_networks_power22/seed_27183/pore_network.npz,23,0.0024596299860977435,4.020289143162112e-08,1.7479518013748312e-09,0.012669385512218367,53,50,2.3043478260869565,2.227045776217783e-06,9.682807722686012e-08,2.914592016153709,3.0,0.004842925009519353,4.994636321150583e-08,9351,True,6.79562677150059e-09,9351,True,0.4,0.21666666666666667,0.8550787282931147,0.048968866766924996,0.0840147018071386,0.0805875066967087,0.5643914135656227,0.03795074888019516
31991,co2_pore_networks_power22/seed_31991/pore_network.npz,20,0.0021231422505307855,3.0523343750717474e-08,1.5261671875358736e-09,0.009469108643218744,49,48,2.45,2.8922015476766894e-06,1.4461007738383447e-07,2.5110498143013076,3.0,0.0048698737264108866,4.7865766617537984e-08,9420,True,7.947538285641292e-09,9420,True,0.4,0.2,0.858453720440934,0.05357516157703776,0.17208646879344824,0.14383372456806587,0.5628109134327915,0.07112056014534596
40213,co2_pore_networks_power22/seed_40213/pore_network.npz,19,0.0020273154075970976,2.9118233500670215e-08,1.5325386052984323e-09,0.009216366358802427,45,44,2.3684210526315788,2.1872237115335085e-06,1.1511703744913202e-07,3.6879820420851033,3.0,0.004804489044835009,4.312410664415619e-08,9372,True,7.046189229836158e-09,9372,True,0.4,0.2,0.8577756007438287,0.0537434104081936,0.23807582291204535,0.19942717020976602,0.5520749870757586,0.06650218848259903
47837,co2_pore_networks_power22/seed_47837/pore_network.npz,20,0.0021369804466289132,3.3386169994542216e-08,1.6693084997271109e-09,0.010420265605330511,47,45,2.35,1.5268672557589973e-06,7.634336278794986e-08,2.2968272015476434,3.0,0.004851720760815788,4.103219576570202e-08,9359,True,7.59367354297976e-09,9359,True,0.4,0.2,0.8603740796934041,0.051699578870883195,0.08094588510128402,0.06883602657982667,0.569771136631696,0.055897837850056906
52691,co2_pore_networks_power22/seed_52691/pore_network.npz,22,0.002331002331002331,3.413663288830793e-08,1.551665131286724e-09,0.010619629722645069,53,48,2.409090909090909,9.836094098621867e-07,4.47095186300994e-08,2.787148295134689,3.0,0.0048003774253480794,4.302726023383479e-08,9438,True,7.762896665947439e-09,9438,True,0.4,0.21666666666666667,0.8681612450366131,0.06112387548594443,0.26846763785205024,0.23095848654666512,0.5501787428792688,0.004234920688176939
61417,co2_pore_networks_power22/seed_61417/pore_network.npz,17,0.0018131399317406144,2.9665240648862302e-08,1.7450141558154294e-09,0.009283553311388791,39,36,2.2941176470588234,1.2960296995734388e-06,7.623704115137875e-08,2.068448683430547,3.0,0.005005170499249517,3.3644844850842496e-08,9376,True,7.342077575924598e-09,9376,True,0.4,0.16666666666666666,0.8868107098110685,0.06845581777046479,0.36310139400270586,0.32829254092334115,0.5415006139561545,0.04131204126099515
69371,co2_pore_networks_power22/seed_69371/pore_network.npz,22,0.0023479188900747067,3.267624588711373e-08,1.485283903959715e-09,0.010332049550551024,52,51,2.3636363636363638,1.9006067464554663e-06,8.639121574797575e-08,2.3308241704305286,3.0,0.004915309398440885,4.5817001244876586e-08,9370,True,7.267272008020509e-09,9370,True,0.4,0.16666666666666666,0.8620175820457593,0.05462563066934384,0.10111279936403965,0.08096896413050828,0.5684413272308725,0.025425888980381058
74167,co2_pore_networks_power22/seed_74167/pore_network.npz,19,0.0020344790662811863,3.148890796246652e-08,1.6573109453929748e-09,0.009851989969986062,46,41,2.4210526315789473,5.598099584869686e-07,2.9463682025629926e-08,2.5229769100536092,3.0,0.004850054739089419,3.702776024517479e-08,9339,True,7.517965195369443e-09,9339,True,0.2,0.18333333333333332,0.8706183974185087,0.04804465787860036,0.050387838415160265,0.037597579669345835,0.5772197052675756,0.057577838350637046
81929,co2_pore_networks_power22/seed_81929/pore_network.npz,19,0.002029264124746342,3.5448000679356165e-08,1.8656842462819036e-09,0.01107080381788553,43,42,2.263157894736842,6.440596743847073e-07,3.389787759919512e-08,1.776020010198688,3.0,0.004834235570303192,3.860226352500125e-08,9363,True,7.337772697606791e-09,9363,True,0.4,0.2,0.8655325518823088,0.05359737023521742,0.17543743437764206,0.16170269015303881,0.5666844886531303,0.06882764186023585
