effective_diffusivity_m2_s,normalized_rmse
1.6336495955869183e-07,0.3341934337134077
9.181895579395011e-07,0.13608714490778095
2.6688110011613023e-06,0.695402778829757
4.977161575644058e-07,0.07915462585012573
5.268460418308071e-07,0.062398004702445
6.324439534659203e-07,0.015920875241741815
7.292329403921827e-07,0.05018052067549265
6.275301527818127e-07,0.016419445459256676
6.399924978089314e-07,0.01597277515027787
6.353166744038494e-07,0.015822606787415764
6.362928051212703e-07,0.01582234964754003
6.372704355977817e-07,0.015838915873823512
