depth_dp,model,loo_r2,loo_rmse_m2_s,loo_nrmse_std,loo_mae_m2_s,loo_mape_percent
3.0,conductance_proportional,0.7154000431232845,9.120262663332851e-08,0.519971113652364,7.445779925659427e-08,10.73133472769551
3.0,conductance_linear,0.8689363660850035,6.189150362467459e-08,0.35286038629923694,5.139030908786015e-08,6.67090767111079
3.0,conductance_power,0.869165262798979,6.183743464997573e-08,0.3525521242894021,5.114645192473015e-08,6.692901516478752
3.0,porosity_linear,-0.23400793586962898,1.8991046953509826e-07,1.0827315175407741,1.5365085847039677e-07,22.35925810574054
5.0,conductance_proportional,0.5581958699880795,1.1363309009831912e-07,0.6478533194414647,9.014084317209814e-08,13.197922112779764
5.0,conductance_linear,0.8977051833619684,5.4678519299820115e-08,0.3117371902839475,4.422671195331804e-08,5.76335164310667
5.0,conductance_power,0.9060133817646989,5.241105995356586e-08,0.2988097845177364,4.289515909089177e-08,5.766025070922054
5.0,porosity_linear,-0.23400793586962898,1.8991046953509826e-07,1.0827315175407741,1.5365085847039677e-07,22.35925810574054
7.0,conductance_proportional,0.4130223614493713,1.3097871023753038e-07,0.7467454429878345,1.021623432657195e-07,15.072262156792632
7.0,conductance_linear,0.8691985245412432,6.182957377296721e-08,0.352507307280032,4.488294275157955e-08,5.7845330569674775
7.0,conductance_power,0.8565764737109044,6.47440897262319e-08,0.36912375969942773,4.6776094058032475e-08,6.283319901352789
7.0,porosity_linear,-0.23400793586962898,1.8991046953509826e-07,1.0827315175407741,1.5365085847039677e-07,22.35925810574054
10.0,conductance_proportional,0.3268526022579583,1.4026361147598258e-07,0.7996812038899874,1.1148322568616206e-07,16.391700885221404
10.0,conductance_linear,0.8907802498917095,5.649896869389157e-08,0.3221160700785914,4.4190744551364496e-08,5.676678973380019
10.0,conductance_power,0.8911005079132897,5.641607374335134e-08,0.3216434632980668,4.6725911491337e-08,6.325376381093137
10.0,porosity_linear,-0.23400793586962898,1.8991046953509826e-07,1.0827315175407741,1.5365085847039677e-07,22.35925810574054
