model,mean_curve_nrmse,min_curve_nrmse,max_curve_nrmse,max_mass_residual_mol,loo_r2
conductance_linear,0.026437992559680663,0.012411133068088985,0.0557274056438127,1.5281185939670743e-13,0.8977051833619684
conductance_power,0.026088068964482725,0.01265115006135203,0.05209631025363301,1.4513310063634017e-13,0.9060133817646989
conductance_proportional,0.047955774604799335,0.01354089202903568,0.14027697080713097,1.4970880268707753e-13,0.5581958699880795
porosity_linear,0.07575435508613725,0.012548339781675215,0.22663122447597928,1.28000244409808e-13,-0.23400793586962898
