seed,inlet_layer_dp,inlet_cutoff_z_m,original_inlet_pores,sensitivity_inlet_pores,solver_success,physical_bounds_ok,maximum_relative_mass_balance_error,final_adsorbed_inventory_mol,final_uptake_mol_kg,t50_final_uptake_s,t90_final_uptake_s,late_uptake_fraction,final_mean_gas_concentration_mol_m3,variant_network,result_directory
18427,0.75,0.0012000000000000001,20,68,True,True,1.0294788990061844e-12,0.0011630436754335209,0.18320855215735599,216.20741550663303,782.4054621732304,0.04447456512270081,0.4007211224175299,co2_inlet_sensitivity_pilot/networks/seed_18427/layer_0p75dp,co2_inlet_sensitivity_pilot/results/seed_18427/layer_0p75dp
18427,1.0,0.0016,20,199,True,True,1.0574324816024194e-12,0.0016737569690987526,0.26365870641750866,172.26923655061108,724.4593791789621,0.03399760249666831,0.6105177614141567,co2_inlet_sensitivity_pilot/networks/seed_18427/layer_1dp,co2_inlet_sensitivity_pilot/results/seed_18427/layer_1dp
18427,1.25,0.002,20,367,True,True,1.7328803086071313e-12,0.0018690611112740702,0.2944240077334175,153.29853408285987,689.9124896353914,0.029799664811842298,0.6921949717621769,co2_inlet_sensitivity_pilot/networks/seed_18427/layer_1p25dp,co2_inlet_sensitivity_pilot/results/seed_18427/layer_1p25dp
18427,1.5,0.0024000000000000002,20,437,True,True,9.69285217550589e-13,0.001949548462823063,0.30710278451174833,148.84484955230727,679.1266909579579,0.028572826705261935,0.7250602484703326,co2_inlet_sensitivity_pilot/networks/seed_18427/layer_1p5dp,co2_inlet_sensitivity_pilot/results/seed_18427/layer_1p5dp
