effective_diffusivity_m2_s,normalized_rmse
1.6336495955869183e-07,0.10803424029111154
9.181895579395011e-07,0.02402515535491792
2.6688110011613023e-06,0.17731927017045931
5.514596226006954e-07,0.029685209503193807
8.517427690094519e-07,0.016784866111519414
7.277344541196425e-07,0.00970732033510795
7.111630439553087e-07,0.010495900387386755
7.479959154540079e-07,0.009424140862021773
7.458690200721579e-07,0.009416682350287128
7.447247913016242e-07,0.009416279632982173
7.435823178618715e-07,0.00941840578688687
