effective_diffusivity_m2_s,normalized_rmse
1.6336495955869183e-07,0.3411634720001367
9.181895579395011e-07,0.12155840066110449
2.6688110011613023e-06,0.671707669971144
5.105968718804907e-07,0.08263514639345122
5.632404469619611e-07,0.05360626812194851
6.547413985401006e-07,0.01574898358057264
7.450172068491263e-07,0.04482026286566284
6.537369663036784e-07,0.01584353695042429
6.634897033161157e-07,0.015631300013962342
6.935205669414654e-07,0.02296123669820057
6.599222548109476e-07,0.015525165159955792
6.58909874751724e-07,0.015533697121930829
6.609361903384129e-07,0.015533823331861246
