pore_id,particle_index,particle_id
0,70,71
0,85,86
0,124,125
0,261,262
1,1795,1796
1,1812,1813
1,1838,1839
1,1845,1846
2,1795,1796
2,1812,1813
2,1813,1814
2,1838,1839
3,70,71
3,85,86
3,131,132
3,261,262
4,22,23
4,70,71
4,85,86
4,124,125
5,22,23
5,48,49
5,85,86
5,124,125
6,22,23
6,70,71
6,85,86
6,131,132
7,17,18
7,118,119
7,153,154
7,159,160
8,66,67
8,72,73
8,77,78
8,162,163
9,43,44
9,70,71
9,167,168
9,172,173
10,43,44
10,70,71
10,124,125
10,167,168
11,70,71
11,124,125
11,167,168
11,261,262
12,1749,1750
12,1766,1767
12,1796,1797
12,1825,1826
13,329,330
13,453,454
13,553,554
13,587,588
14,381,382
14,453,454
14,553,554
14,587,588
15,70,71
15,109,110
15,131,132
15,261,262
16,70,71
16,109,110
16,167,168
16,261,262
17,19,20
17,109,110
17,167,168
17,261,262
18,22,23
18,48,49
18,85,86
18,284,285
19,22,23
19,85,86
19,131,132
19,284,285
20,31,32
20,48,49
20,85,86
20,284,285
21,31,32
21,48,49
21,105,106
21,284,285
22,31,32
22,77,78
22,105,106
22,284,285
23,48,49
23,77,78
23,105,106
23,284,285
24,19,20
24,109,110
24,210,211
24,261,262
25,210,211
25,234,235
25,334,335
25,587,588
26,109,110
26,131,132
26,210,211
26,261,262
27,109,110
27,131,132
27,210,211
27,234,235
28,66,67
28,72,73
28,103,104
28,162,163
29,38,39
29,72,73
29,103,104
29,162,163
30,38,39
30,72,73
30,103,104
30,163,164
31,1753,1754
31,1778,1779
31,1800,1801
31,1849,1850
32,1753,1754
32,1776,1777
32,1800,1801
32,1849,1850
33,1753,1754
33,1759,1760
33,1776,1777
33,1800,1801
34,1736,1737
34,1790,1791
34,1791,1792
34,1842,1843
35,66,67
35,72,73
35,82,83
35,96,97
36,72,73
36,77,78
36,82,83
36,96,97
37,66,67
37,72,73
37,77,78
37,96,97
38,66,67
38,77,78
38,96,97
38,162,163
39,8,9
39,30,31
39,104,105
39,132,133
40,1076,1077
40,1096,1097
40,1105,1106
40,1179,1180
41,950,951
41,1076,1077
41,1096,1097
41,1105,1106
42,438,439
42,490,491
42,632,633
42,733,734
43,438,439
43,614,615
43,632,633
43,901,902
44,438,439
44,490,491
44,614,615
44,632,633
45,1542,1543
45,1681,1682
45,1806,1807
45,1822,1823
46,1467,1468
46,1684,1685
46,1728,1729
46,1777,1778
47,1518,1519
47,1684,1685
47,1728,1729
47,1777,1778
48,68,69
48,74,75
48,273,274
48,283,284
49,174,175
49,381,382
49,453,454
49,553,554
50,174,175
50,329,330
50,453,454
50,579,580
51,174,175
51,329,330
51,553,554
51,579,580
52,174,175
52,329,330
52,453,454
52,553,554
53,447,448
53,599,600
53,723,724
53,902,903
54,653,654
54,979,980
54,1004,1005
54,1236,1237
55,1740,1741
55,1761,1762
55,1832,1833
55,1837,1838
56,1740,1741
56,1795,1796
56,1832,1833
56,1837,1838
57,1740,1741
57,1795,1796
57,1813,1814
57,1832,1833
58,1740,1741
58,1795,1796
58,1813,1814
58,1838,1839
59,1740,1741
59,1795,1796
59,1821,1822
59,1837,1838
60,1740,1741
60,1795,1796
60,1821,1822
60,1838,1839
61,1497,1498
61,1740,1741
61,1821,1822
61,1838,1839
62,1740,1741
62,1792,1793
62,1821,1822
62,1837,1838
63,1497,1498
63,1740,1741
63,1792,1793
63,1821,1822
64,1723,1724
64,1749,1750
64,1766,1767
64,1825,1826
65,1745,1746
65,1796,1797
65,1832,1833
65,1833,1834
66,174,175
66,235,236
66,381,382
66,553,554
67,174,175
67,235,236
67,553,554
67,579,580
68,37,38
68,70,71
68,167,168
68,172,173
69,37,38
69,70,71
69,109,110
69,167,168
70,37,38
70,70,71
70,109,110
70,131,132
71,254,255
71,329,330
71,453,454
71,587,588
72,19,20
72,109,110
72,210,211
72,254,255
73,210,211
73,234,235
73,254,255
73,587,588
74,109,110
74,210,211
74,234,235
74,254,255
75,195,196
75,235,236
75,381,382
75,553,554
76,49,50
76,260,261
76,271,272
76,522,523
77,38,39
77,72,73
77,127,128
77,163,164
78,72,73
78,103,104
78,127,128
78,163,164
79,62,63
79,73,74
79,89,90
79,175,176
80,38,39
80,62,63
80,73,74
80,89,90
81,38,39
81,72,73
81,89,90
81,162,163
82,72,73
82,77,78
82,89,90
82,162,163
83,31,32
83,298,299
83,334,335
83,348,349
84,31,32
84,85,86
84,284,285
84,348,349
85,85,86
85,131,132
85,284,285
85,348,349
86,210,211
86,234,235
86,334,335
86,348,349
87,131,132
87,210,211
87,234,235
87,348,349
88,85,86
88,131,132
88,261,262
88,348,349
89,85,86
89,210,211
89,261,262
89,348,349
90,131,132
90,210,211
90,261,262
90,348,349
91,355,356
91,381,382
91,453,454
91,587,588
92,17,18
92,67,68
92,118,119
92,153,154
93,8,9
93,30,31
93,148,149
93,149,150
94,133,134
94,152,153
94,211,212
94,256,257
95,0,1
95,38,39
95,62,63
95,89,90
96,0,1
96,38,39
96,89,90
96,162,163
97,1636,1637
97,1753,1754
97,1776,1777
97,1849,1850
98,1636,1637
98,1753,1754
98,1778,1779
98,1849,1850
99,1636,1637
99,1754,1755
99,1778,1779
99,1831,1832
100,1636,1637
100,1758,1759
100,1778,1779
100,1831,1832
101,1636,1637
101,1758,1759
101,1778,1779
101,1849,1850
102,1577,1578
102,1727,1728
102,1765,1766
102,1824,1825
103,1727,1728
103,1765,1766
103,1797,1798
103,1803,1804
104,1727,1728
