time_s,mean_gas_concentration_mol_m3,gas_inventory_mol,adsorbed_inventory_mol,total_inventory_mol,cumulative_reservoir_input_mol,mass_balance_residual_mol,relative_mass_balance_error,mean_loading_mol_kg,inlet_cell_concentration_mol_m3,top_cell_concentration_mol_m3
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5e-05,5.7107659650934666e-05,1.8398079926716933e-10,5.205070539511553e-14,1.8403284997256445e-10,1.8403284997270362e-10,-1.391731380620469e-22,7.562407368178536e-13,8.2132864315155e-12,0.005709158656663836,0.0
5.317724787430056e-05,6.07336530155003e-05,1.956624749202762e-10,5.887007233466271e-14,1.9572134499261086e-10,1.957213449927781e-10,-1.6724558010056528e-22,8.545086388341366e-13,9.289341280934775e-12,0.006071547423488904,0.0
5.655639382969606e-05,6.458967815022817e-05,2.0808523205334526e-10,6.658351264744671e-14,2.081518155659927e-10,2.0815181556619197e-10,-1.9927297944285282e-22,9.57344421430157e-13,1.050647549996956e-11,0.006456911760346096,0.0
6.0150267471166206e-05,6.8690302346399e-05,2.2129600135674913e-10,7.530825565125509e-14,2.2137130961240038e-10,2.2137130961263597e-10,-2.355913782127592e-22,1.0642362762591325e-12,1.1883187165790012e-11,0.006866704776608331,0.0
6.397251366039366e-05,7.30510120079175e-05,2.3534467457855766e-10,8.51769021473055e-14,2.35429851480705e-10,2.3542985148098183e-10,-2.7684701126384145e-22,1.1759214454850272e-12,1.3440399882662048e-11,0.007302471018278556,0.0
6.803764432121665e-05,7.768827019539386e-05,2.5028428991133484e-10,9.633944001540037e-14,2.503806293513502e-10,2.5038062935167396e-10,-3.237378122379412e-22,1.292982660344834e-12,1.5201780830669428e-11,0.007765852160161525,0.0
7.236109353705672e-05,8.26195777139742e-05,2.66171228795649e-10,1.089655241075802e-13,2.6628019431975657e-10,2.662801943201336e-10,-3.7703926295932693e-22,1.4159493308241842e-12,1.7194100519140083e-11,0.008258593044249635,0.0
7.695927614951026e-05,8.786353795530547e-05,2.830654248180839e-10,1.2324705509703758e-13,2.831886718731809e-10,2.831886718736183e-10,-4.3742344767569795e-22,1.5446361070223588e-12,1.944763971340402e-11,0.00878254808429124,0.0
8.184965008058509e-05,9.34399285552384e-05,3.0103059456716147e-10,1.3939689363731955e-13,3.011699914607988e-10,3.0116999146130126e-10,-5.0246052333767975e-22,1.6683618474061791e-12,2.1995986536894166e-11,0.009339688482647336,0.0
8.705078261520076e-05,9.936977112554938e-05,3.201344622844309e-10,1.5765703766904336e-13,3.202921193220999e-10,3.2029211932267047e-10,-5.705478275084508e-22,1.7813358277905875e-12,2.48773268006776e-11,0.009932108937758736,0.0
9.258242089560768e-05,0.0001056754039522751,3.404489940729405e-10,1.7830943626383437e-13,3.406273035092043e-10,3.406273035098505e-10,-6.461831547687683e-22,1.897038634632181e-12,2.8136150362610816e-11,0.010562034560896117,0.0
9.846556689537109e-05,0.00011238057268545049,3.6205069006768517e-10,2.0166764346700875e-13,3.622523577111522e-10,3.622523577118825e-10,-7.302970833077543e-22,2.0159898693843598e-12,3.182193415420498e-11,0.011231830236879792,0.0
0.0001047225571575,0.00011951051432993847,3.850208550245275e-10,2.2808632028034965e-13,3.852489413448079e-10,3.8524894134563196e-10,-8.240786852559538e-22,2.1390809858621234e-12,3.5990641536025934e-11,0.011944008716963909,0.0
0.0001113771475999,0.00012709204971105427,4.094458962119258e-10,2.579666243772299e-13,4.0970386283630303e-10,4.097038628372315e-10,-9.28458538802489e-22,2.2661698436837782e-12,4.070557276213557e-11,0.012701239699009737,0.0
0.0001184546037091,0.00013515368151317266,4.3541763925685547e-10,2.9176230652147466e-13,4.3570940156337694e-10,4.357094015644216e-10,-1.0446774148661894e-21,2.3976471728984006e-12,4.6038326958108175e-11,0.013506359443140315,0.0
0.0001259817964658,0.00014372570767787473,4.6303369347376406e-10,3.2997260018223257e-13,4.633636660739463e-10,4.6336366607511273e-10,-1.1664280612763382e-21,2.517305837025332e-12,5.206768014527124e-11,0.014362382369906852,0.0
0.0001339873043662,0.00015284030980062535,4.923977366475847e-10,3.7318218557529403e-13,4.9277091883316e-10,4.927709188344575e-10,-1.297536188365993e-21,2.6331427825226226e-12,5.888589132466374e-11,0.015272508577004138,0.0
0.0001425015219259,0.00016253168397646148,5.236199365725356e-10,4.2204910298069514e-13,5.240419856755163e-10,5.240419856769571e-10,-1.440845229490805e-21,2.749484333072134e-12,6.659679527167217e-11,0.016240137354962048,0.0
0.0001515567750783,0.00017283616449321085,5.568173495481783e-10,4.773146367196663e-13,5.572946641848979e-10,5.572946641864952e-10,-1.5972857628398964e-21,2.8661422143194514e-12,7.531736216780013e-11,0.01726887925159912,0.0
0.0001611874439074,0.00018379235408786364,5.92114340019646e-10,5.398155966703292e-13,5.926541556163164e-10,5.926541556180843e-10,-1.7678917641789584e-21,2.983007454550299e-12,8.517963554954849e-11,0.018362568715862237,0.0
0.0001714300931778,0.00019544127198458647,6.296430575040723e-10,6.10483159822436e-13,6.302535406638948e-10,6.302535406658426e-10,-1.947803547409242e-21,3.0905079015525246e-12,9.633054951276116e-11,0.019525278976915313,0.0
0.0001823236111606,0.00020782647651026035,6.695438316147401e-10,6.903929074762172e-13,6.702342245222164e-10,6.702342245243556e-10,-2.1391924616386987e-21,3.1917087838312303e-12,1.0893982427990425e-10,0.02076133265994421,0.0
0.0001939093572805,0.00022099424023935124,7.119657363162706e-10,7.807517211748215e-13,7.127464880374454e-10,7.127464880397877e-10,-2.342368699597036e-21,3.2863980937164266e-12,1.2319789845747776e-10,0.022075319788740264,0.0
0.000206231319145,0.00023499370714807913,7.570670962200972e-10,8.829270442416854e-13,7.579500232643389e-10,7.57950023266743e-10,-2.4040970528088058e-21,3.1718411227790667e-12,1.393205463295955e-10,0.02347211259108666,1.2528481955983996e-282
0.0002193362795524,0.00024987706970266586,8.050160571005334e-10,9.984618942106978e-13,8.060145189947441e-10,8.060145189970098e-10,-2.2656476977827428e-21,2.810926657502491e-12,1.5755124672864748e-10,0.024956882722097794,4.235474537225951e-282
0.0002332739941117,0.0002656997539369229,8.559911821496827e-10,1.1290957909578614e-12,8.571202779406405e-10,8.571202779426974e-10,-2.0568879906896724e-21,2.3997658713975558e-12,1.7816448536787176e-10,0.026535119118417386,7.854066352512211e-282
0.0002480973801501,0.000282520609315398,9.101820636497383e-10,1.2767981843277068e-12,9.114588618340661e-10,9.114588618358251e-10,-1.7589995725940134e-21,1.9298726977661992e-12,2.014710295185828e-10,0.028212645986829998,1.2231911166894144e-281
0.0002638627176241,0.00030040211577666084,9.677899899936493e-10,1.4437946420897262e-12,9.69233784635739e-10,9.692337846370888e-10,-1.349751964533403e-21,1.3925969006938734e-12,2.278220603112732e-10,0.02999564268886025,1.7515938202026715e-281
0.0002806298627977,0.00031941060032582394,1.029028643470065e-09,1.632600000776491e-12,1.0306612434708413e-09,1.0306612434716429e-09,-8.015380135638838e-22,7.776929797651181e-13,2.57614403737323e-10,0.03189066437971324,2.3881296354771736e-281
0.0002984624754985,0.00033961646558142226,1.0941248365610185e-09,1.846055775505613e-12,1.0959708923365242e-09,1.0959708923366048e-09,-8.06501097239202e-23,7.358782088817572e-14,2.9129643369259504e-10,0.03390466371183213,3.153682997905823e-281
0.0003174282608152,0.000361094430808221,1.1633192884648837e-09,2.087372369395654e-12,1.1654066608342793e-09,1.1654066608334258e-09,8.534435970015863e-22,7.323139859099757e-13,3.2937473236792103e-10,0.036045013639679296,4.0731630432412184e-281
