effective_diffusivity_m2_s,normalized_rmse
1.6336495955869183e-07,0.3342488586551299
9.181895579395011e-07,0.13009288345133033
2.6688110011613023e-06,0.6808206865594222
5.024728102523211e-07,0.08080880324855656
5.398820549628722e-07,0.060139460724322996
6.404941903341845e-07,0.02011285769283777
7.349558167700151e-07,0.0492777318655138
6.376255685051846e-07,0.02033230670967597
6.476211703687117e-07,0.020041215624774556
6.796828691555559e-07,0.026756663655848483
6.448128612002848e-07,0.019988451123711205
6.438236600878593e-07,0.019994919931231408
6.458035821680705e-07,0.01999508541367164
