effective_diffusivity_m2_s,normalized_rmse
1.6336495955869183e-07,0.3055031899586501
9.181895579395011e-07,0.10050935447222784
2.6688110011613023e-06,0.5728889076057945
5.203868689054039e-07,0.08399520907200529
6.167828486771572e-07,0.0469808922125889
6.752296447055581e-07,0.036434849364397656
7.593406474009739e-07,0.04814114049436397
6.825258972624838e-07,0.0362366570464756
6.853650214685133e-07,0.03623423201128029
6.864180480717424e-07,0.03624391240674783
6.843136103021601e-07,0.03623026971725261
