model,parameter,valid_bootstraps,median,ci_2p5,ci_97p5
porosity_linear,intercept,10000,1.411257310863141e-06,-1.2155197521258316e-05,1.9199898754821722e-05
porosity_linear,slope,10000,-1.4611791499475967e-06,-4.1247702500868275e-05,2.874024791253762e-05
raw_conductance_linear,intercept,10000,-1.0923719209271319e-06,-1.3144069456575383e-06,-8.097760080305665e-07
raw_conductance_linear,slope,10000,65.12311507593401,54.70490461218537,72.84233129000177
accessibility_linear,intercept,10000,-1.0710135064945619e-06,-1.3224389169803603e-06,-7.457800660861677e-07
accessibility_linear,slope,10000,0.36338396443925924,0.2965632290099032,0.4128127989477124
physical_through_origin,alpha,10000,0.15228645016959516,0.14267871785272376,0.16162225359637508
accessibility_power_law,coefficient,10000,13728604.935255362,58784.91710214573,345465750.9875428
accessibility_power_law,exponent,10000,2.5036745862553227,2.05696706583665,2.7684199459858068
