descriptor,n,pearson_r,pearson_p,spearman_rho,spearman_p
porosity,20,-0.11918225118874408,0.6167443176263852,0.02857142857142857,0.9048224147367736
bed_height_m,20,-0.11346029766222794,0.6338741418928467,0.037593984962406006,0.8749652018566716
effective_inlet_to_interior_conductance_m3_s,20,0.8816153522685146,2.80153885175015e-07,0.8902255639097743,1.466833096301323e-07
accessibility_diffusivity_m2_s,20,0.8709339631103702,5.853848738155836e-07,0.8962406015037594,9.035617179015246e-08
fit_normalized_rmse,20,-0.8204975855947818,9.386880620027132e-06,-0.7263157894736841,0.000287532871214558
final_loading_relative_error,20,0.8443883625076429,2.847114262483768e-06,0.7954887218045112,2.753415685180634e-05
