model,predictor,form,n_beds,loo_r2,loo_rmse_m2_s,loo_nrmse_std,loo_mae_m2_s,loo_mape_percent
raw_conductance_linear,effective_inlet_to_interior_conductance_m3_s,linear,20,0.8977051833619684,5.467851929982012e-08,0.31173719028394753,4.422671195331806e-08,5.763351643106676
accessibility_power_law,accessibility_diffusivity_m2_s,power,20,0.8900236898216095,5.6694313839940755e-08,0.32322978617304277,4.482941271577728e-08,6.001168510595199
accessibility_linear,accessibility_diffusivity_m2_s,linear,20,0.8814260339790162,5.886872154612672e-08,0.3356266790943989,4.502947290168365e-08,5.769914595897102
physical_through_origin,accessibility_diffusivity_m2_s,origin,20,0.5548888726573276,1.1405758108137298e-07,0.6502734586122508,8.937234122625914e-08,13.085410917574771
porosity_linear,porosity,linear,20,-0.2340079358696292,1.8991046953509829e-07,1.0827315175407743,1.5365085847039677e-07,22.359258105740544
