depth_dp,n_beds,pearson_r,pearson_p,spearman_rho,spearman_p,alpha_through_origin,origin_loo_r2,origin_loo_rmse_m2_s,origin_loo_nrmse_std,origin_loo_mae_m2_s,origin_loo_mape_percent,linear_loo_r2,linear_loo_rmse_m2_s,linear_loo_nrmse_std,linear_loo_mae_m2_s,linear_loo_mape_percent,power_loo_r2,power_loo_rmse_m2_s,power_loo_nrmse_std,power_loo_mae_m2_s,power_loo_mape_percent,raw_linear_loo_r2,raw_linear_loo_rmse_m2_s,raw_linear_loo_nrmse_std,raw_linear_loo_mae_m2_s,raw_linear_loo_mape_percent
3.0,20,0.9437345065812135,4.3722604479730157e-10,0.9413533834586465,6.293602987073962e-10,0.10320097382941691,0.7116362228018935,9.180372090847032e-08,0.5233981164832379,7.477018052348094e-08,10.761718242613561,0.8578685623364234,6.445179330966527e-08,0.36745729790058296,5.236023992327891e-08,6.721923638367333,0.8574762704894936,6.454067755365089e-08,0.3679640512808026,5.2950075860194445e-08,6.905347816470145,0.8689363660850035,6.189150362467459e-08,0.35286038629923694,5.139030908786015e-08,6.67090767111079
5.0,20,0.9514017901796998,1.2032745823729463e-10,0.9533834586466164,8.333045726679196e-11,0.15228547639438955,0.5548888726573273,1.1405758108137303e-07,0.6502734586122512,8.937234122625922e-08,13.08541091757478,0.8814260339790161,5.886872154612673e-08,0.335626679094399,4.502947290168365e-08,5.769914595897102,0.8900236898216095,5.669431383994076e-08,0.3232297861730428,4.482941271577689e-08,6.001168510595161,0.8977051833619684,5.4678519299820115e-08,0.3117371902839475,4.422671195331804e-08,5.76335164310667
7.0,20,0.9361557346560851,1.3257771772529733e-09,0.9383458646616539,9.762241109318062e-10,0.20031547061718022,0.4093622692918142,1.3138643373963633e-07,0.7490699861646951,1.013434509551802e-07,14.953223856862701,0.8338755602700744,6.967976797169197e-08,0.39726341103030033,5.0391851533972615e-08,6.552405306581174,0.8190218920601117,7.272821907557961e-08,0.4146434643677553,5.235013317512583e-08,6.975129282534772,0.8691985245412432,6.182957377296721e-08,0.352507307280032,4.488294275157955e-08,5.7845330569674775
10.0,20,0.9412515041205991,6.390284239976198e-10,0.9353383458646616,1.4821142098475236e-09,0.2710269561128616,0.3242195609919851,1.4053766692865332e-07,0.8012436689656987,1.1072125534874765e-07,16.28121594359072,0.8550963687955607,6.50773059126108e-08,0.3710235162954194,4.9002956207245634e-08,6.29198714920902,0.8552131695484826,6.50510725787359e-08,0.37087395288553443,5.1186784705074604e-08,6.8307443889026365,0.8907802498917095,5.649896869389157e-08,0.3221160700785914,4.4190744551364496e-08,5.676678973380019
