effective_diffusivity_m2_s,normalized_rmse
1.6336495955869183e-07,0.36683499827357
9.181895579395011e-07,0.068335647919246
2.6688110011613023e-06,0.5853551035728226
5.591976797480249e-07,0.09733189646521118
9.812650535818672e-07,0.09310407609562521
7.443969202176172e-07,0.014291769890071861
6.673434671275098e-07,0.04442221734497662
7.654273728686679e-07,0.012748340496910556
7.679641626756607e-07,0.013015031668759358
7.596460170441361e-07,0.01250354778430931
7.608131712525925e-07,0.012510802228679141
7.584806533527182e-07,0.012517920415895608
