power_coefficient_SI,power_exponent
54276085.518536836,2.6162207288993606
6863187.038910513,2.446062682467891
11260949.282656156,2.4858644831371417
166746284.3074703,2.7101991913467867
1775458.5254546686,2.3339759818609624
116580.40558199475,2.1143739563155273
44058977.492396794,2.5991677497844026
2691470.9047730356,2.3683119563004147
1054540.2078472753,2.2960707407732563
132544563.22198929,2.690812385986394
191824680.21052834,2.7197012179941797
4019799.6716243974,2.4032583676095474
604436.6827540025,2.247994708909424
7724471.155397777,2.456940625690871
3773246.612322109,2.397649055250045
51415432.23459095,2.6109603446510072
12020366.394168755,2.49452506745052
43456569.15159282,2.5973914350253473
63159022.99876605,2.630162123172399
92219.00763353366,2.0928591341718596
130269046.64104319,2.687245251870672
22955400.755083844,2.5456690401649995
72790371.41600154,2.6403262068551423
129086631.46499327,2.6876440225050606
5094647.8636043435,2.4242561648638348
185694738.10036218,2.717463312975295
3501115.146820087,2.392150239582407
15451185.008064108,2.5130815113245637
530625.3955083223,2.2360672973808056
42951431.02433568,2.5968879480929843
243415411.60035223,2.7371343168721465
6577516.426571519,2.4443509821613194
42863956.78037364,2.596666416692932
4803847.972430246,2.418252613899213
84221696.38471821,2.6530267024998744
3547798.4200950316,2.3909446015931612
48568943.76566012,2.6068938713086554
607123.9648001585,2.2487386422058444
110138125.7040712,2.67352846632986
24373081.975630637,2.5502593852574247
205713375.00823137,2.725826782660052
23641200.65978366,2.5496094324436536
689231.8805622002,2.257666608474391
19828363.743420236,2.532732564339518
16834077.45428303,2.5199282353838584
71182624.89519611,2.6403484789594325
17283002.296244916,2.520578090561212
1230540.1026986046,2.304887170736956
262069.7611769917,2.18236951833702
326940.7691209979,2.1964156157514387
2380918.449151349,2.3624895161931136
98087142.47590414,2.6639637803712723
39157373.59155488,2.5912398040307494
14685051.389924165,2.5083073287480215
8709832.104546232,2.464342912892181
15547156.92420087,2.513512823594924
965273.9207951438,2.283795134172173
1989638.4306641617,2.344011932679623
98832018.74900669,2.666310665968881
10530069.968767898,2.481375759962624
8870355.461707283,2.465892882236637
5325451.703213836,2.4259618680902664
65122622.75218064,2.6312697527493487
265581.64893422194,2.1790956492287017
1504593.6677646115,2.321496934544361
1616388.660733104,2.3274889791531534
350376.88632610685,2.2053124580624774
60066370.00167806,2.6260744749664666
272758.4849286422,2.1801520055863928
21768029.87240284,2.5418600146987407
76129009.63297884,2.645911812766472
1879739.4524596771,2.34354974608077
