seed,G_access_cached_network,gnn_ensemble_curve,gnn_single_curve,one_D_uptake,particle_graph_build,power_law_mapping,gnn_single_with_graph,gnn_ensemble_with_graph,physics_cached_network_to_curve
18427,0.009541927982354537,0.0038312470132950693,0.001241806021425873,0.03522332399734296,0.0030773280013818294,1.1920055840164423e-06,0.004319134022807702,0.006908575014676899,0.04476644398528151
27183,0.008137994009302929,0.003502221021335572,0.0011651520035229623,0.03526087399222888,0.0030030410271137953,1.1319934856146574e-06,0.004168193030636758,0.006505262048449367,0.043399999995017424
31991,0.008084478002274409,0.005116761982208118,0.0011789290001615882,0.03327538998564705,0.0031652979960199445,1.1720112524926662e-06,0.004344226996181533,0.008282059978228062,0.041361039999173954
40213,0.008511037012794986,0.003742227010661736,0.001251626992598176,0.03606029399088584,0.0032142630079761147,1.222972059622407e-06,0.004465890000574291,0.006956490018637851,0.04457255397574045
47837,0.00778812900534831,0.003514370007906109,0.0011449760058894753,0.033453251991886646,0.0029937989893369377,1.1529773473739624e-06,0.004138774995226413,0.006508168997243047,0.04124253397458233
52691,0.007218971004476771,0.003643534000730142,0.001126041985116899,0.03170236901496537,0.0029302310140337795,1.1319934856146574e-06,0.0040562729991506785,0.0065737650147639215,0.038922472012927756
61417,0.006967809982597828,0.0034814209793694317,0.0011656660062726587,0.028681588009931147,0.003030179999768734,1.1020165402442217e-06,0.004195846006041393,0.006511600979138166,0.03565050000906922
69371,0.007606916973600164,0.0036124289908912033,0.0011971160129178315,0.031000568997114897,0.003032595996046439,1.3429962564259768e-06,0.00422971200896427,0.006645024986937642,0.03860882896697149
74167,0.007367839018115774,0.00352960400050506,0.0011763479851651937,0.03269650600850582,0.0031137200130615383,1.1920055840164423e-06,0.004290067998226732,0.006643324013566598,0.04006553703220561
81929,0.0072983200079761446,0.003509917005430907,0.001178281003376469,0.03283929600729607,0.0030113680113572627,1.1920055840164423e-06,0.004189649014733732,0.00652128501678817,0.04013880802085623
90709,0.007050655025523156,0.003489609982352704,0.001179023995064199,0.03294723998988047,0.0030136220157146454,1.0820222087204456e-06,0.004192646010778844,0.006503231998067349,0.03999897703761235
98251,0.009055398986674845,0.0035484019899740815,0.001172972988570109,0.0354394180176314,0.003038060007384047,1.0720104910433292e-06,0.004211032995954156,0.006586461997358128,0.044495889014797285
105019,0.007562795013654977,0.0035061730013694614,0.0011909370077773929,0.030748249002499506,0.003019455005414784,1.2119999155402184e-06,0.004210392013192177,0.006525628006784245,0.03831225601607002
113117,0.007432040001731366,0.0035297390131745487,0.0011511619959492236,0.03279137899517082,0.0029907319985795766,1.1119991540908813e-06,0.0041418939945288,0.006520471011754125,0.040224530996056274
121021,0.007696571003179997,0.003449818992521614,0.0011727329983841628,0.03290515998378396,0.002965373976621777,1.181993866339326e-06,0.00413810697500594,0.006415192969143391,0.0406029129808303
129121,0.007015807990683243,0.003473474003840238,0.0011806869879364967,0.03152745802071877,0.0030615270079579204,1.2420059647411108e-06,0.004242213995894417,0.006535001011798158,0.03854450801736675
137077,0.00765574598335661,0.0035144110152032226,0.001161060994490981,0.03247631300473586,0.0030717970221303403,1.1720112524926662e-06,0.0042328580166213214,0.006586208037333563,0.04013323099934496
145093,0.008873696002410725,0.0034796270192600787,0.0011743869981728494,0.034623520012246445,0.0030693629814777523,1.133012119680643e-06,0.004243749979650602,0.006548990000737831,0.04349834902677685
153133,0.007595634990138933,0.003469908988336101,0.0011674330162350088,0.032675788999767974,0.0029856050095986575,1.1020165402442217e-06,0.004153038025833666,0.006455513997934759,0.04027252600644715
161123,0.007168951007770374,0.003505747008603066,0.001150672003859654,0.03235579901956953,0.0030760760128032416,1.181993866339326e-06,0.004226748016662896,0.006581823021406308,0.039525932021206245
