model,mean_curve_nrmse,median_curve_nrmse,worst_curve_nrmse,final_r2,final_mape_percent,all_monotonic,all_bounded
G_access_power_1D,0.02608806896448592,0.022299479514695034,0.05209631025360291,0.8486670935371334,3.5838000748908136,True,True
geometry_ridge,0.08839272896050628,0.06064817568528342,0.19169879523482983,-0.8781975954800201,12.533180953054535,True,True
gnn_ensemble,0.06815532473537238,0.0522511511720457,0.2160641200844981,-0.10481372189670557,9.421672302102376,True,True
gnn_init_11,0.06840433168979276,0.05159896335675081,0.2084072534844698,-0.1193688323906823,9.449409631534754,True,True
gnn_init_29,0.06833886919615786,0.05286813555996506,0.21954099558573126,-0.11089579215897727,9.449550675599276,True,True
gnn_init_47,0.06773856429469104,0.051458030615054405,0.22024615135244024,-0.08606195800201233,9.371176965844633,True,True
interpolation_oracle,0.0021426937537509807,0.002150503305598582,0.0024002337101989876,1.0,0.0,True,True
mean_curve,0.06824032377112468,0.05285198795637644,0.21939707386098614,-0.10803324099723088,9.441152067359683,True,True
