seed,stage,median_s,p10_s,p90_s,repeats
18427,particle_graph_build,0.0030773280013818294,0.0029528910119552164,0.0038456855923868715,5
18427,gnn_single_curve,0.001241806021425873,0.0011692951957229525,0.0013639231969136746,5
18427,gnn_ensemble_curve,0.0038312470132950693,0.0035099945904221385,0.003980379219865426,5
18427,G_access_cached_network,0.009541927982354537,0.00889959778287448,0.009789643983822316,5
18427,power_law_mapping,1.1920055840164423e-06,1.0740011930465699e-06,1.6896112356334926e-06,5
18427,one_D_uptake,0.03522332399734296,0.034427425195463005,0.037587821594206615,5
27183,particle_graph_build,0.0030030410271137953,0.0029913351987488567,0.0032130682026036083,5
27183,gnn_single_curve,0.0011651520035229623,0.001147685997420922,0.0011730413942132145,5
27183,gnn_ensemble_curve,0.003502221021335572,0.0034778846078552307,0.0036040761857293545,5
27183,G_access_cached_network,0.008137994009302929,0.008105320017784834,0.008718121785204858,5
27183,power_law_mapping,1.1319934856146574e-06,1.1100026313215495e-06,1.3783981557935477e-06,5
27183,one_D_uptake,0.03526087399222888,0.034763303183717655,0.035844974394422024,5
31991,particle_graph_build,0.0031652979960199445,0.003086612594779581,0.0032631510170176626,5
31991,gnn_single_curve,0.0011789290001615882,0.0011609458015300333,0.0012681589985731989,5
31991,gnn_ensemble_curve,0.005116761982208118,0.004168494802433998,0.006719940609764308,5
31991,G_access_cached_network,0.008084478002274409,0.008014186995569616,0.008331597805954516,5
31991,power_law_mapping,1.1720112524926662e-06,1.0843912605196238e-06,1.3165990822017193e-06,5
31991,one_D_uptake,0.03327538998564705,0.033125451405066994,0.0354141962074209,5
40213,particle_graph_build,0.0032142630079761147,0.0031449784117285164,0.0033548254054039718,5
40213,gnn_single_curve,0.001251626992598176,0.001240848412271589,0.0012518254108726979,5
40213,gnn_ensemble_curve,0.003742227010661736,0.0036727680126205087,0.0037805415864568203,5
40213,G_access_cached_network,0.008511037012794986,0.008281404600711539,0.008631874190177769,5
40213,power_law_mapping,1.222972059622407e-06,1.1459982488304376e-06,1.382618211209774e-06,5
40213,one_D_uptake,0.03606029399088584,0.03596085659810342,0.03741427939385176,5
47837,particle_graph_build,0.0029937989893369377,0.0029695096018258482,0.003176855790661648,5
47837,gnn_single_curve,0.0011449760058894753,0.0011390771775040775,0.0011635959963314235,5
47837,gnn_ensemble_curve,0.003514370007906109,0.00343925419729203,0.0035910977865569295,5
47837,G_access_cached_network,0.00778812900534831,0.007607816596282646,0.00790681159705855,5
47837,power_law_mapping,1.1529773473739624e-06,1.0859977919608354e-06,1.6966019757092e-06,5
47837,one_D_uptake,0.033453251991886646,0.03299628740060143,0.13135458399192432,5
52691,particle_graph_build,0.0029302310140337795,0.002826872019795701,0.003126540803350508,5
52691,gnn_single_curve,0.001126041985116899,0.0010927610099315643,0.0013070789922494442,5
52691,gnn_ensemble_curve,0.003643534000730142,0.0032716477930080146,0.0037316225934773684,5
