seed,model,curve_nrmse,final_reference,final_prediction,final_relative_error,monotonic,within_bounds
18427,mean_curve,0.051065954849050486,0.2843179552259188,0.2635333315291935,-0.07310345095936642,True,True
18427,geometry_ridge,0.04546153849775517,0.2843179552259188,0.2648942207807708,-0.0683169461798989,True,True
18427,G_access_power_1D,0.01993227805549155,0.2843179552259188,0.2706408881626396,-0.048104830566931364,True,True
18427,gnn_init_11,0.050903077257006636,0.2843179552259188,0.2637592852115631,-0.07230872914100618,True,True
18427,gnn_init_29,0.05109056813876394,0.2843179552259188,0.2636888027191162,-0.07255662939194493,True,True
18427,gnn_init_47,0.04837313173554357,0.2843179552259188,0.264466792345047,-0.06982029279543067,True,True
18427,gnn_ensemble,0.05012143603282229,0.2843179552259188,0.26397162675857544,-0.07156188377612727,True,True
18427,interpolation_oracle,0.002184583009868964,0.2843179552259188,0.2843179552259188,0.0,True,True
27183,mean_curve,0.12627857488201588,0.3148366297083697,0.26192708550380134,-0.16805396580943574,True,True
27183,geometry_ridge,0.18561869249589036,0.3148366297083697,0.2349490028341501,-0.25374311416120404,True,True
27183,G_access_power_1D,0.014028367390276216,0.3148366297083697,0.3055280852449657,-0.02956626893137046,True,True
27183,gnn_init_11,0.12722988315860695,0.3148366297083697,0.2617473304271698,-0.16862491296001997,True,True
27183,gnn_init_29,0.12628706926000466,0.3148366297083697,0.2620847523212433,-0.1675531765029691,True,True
27183,gnn_init_47,0.12712093110988926,0.3148366297083697,0.2618131935596466,-0.16841571515308812,True,True
27183,gnn_ensemble,0.12687927783765796,0.3148366297083697,0.2618817587693532,-0.16819793487202578,True,True
27183,interpolation_oracle,0.0024002337101989876,0.3148366297083697,0.3148366297083697,0.0,True,True
31991,mean_curve,0.06444177136512777,0.2913050297483481,0.26316559076485513,-0.09659784799391209,True,True
31991,geometry_ridge,0.14738379477492816,0.2913050297483481,0.2299681963249004,-0.21055878601353098,True,True
31991,G_access_power_1D,0.018365039183258908,0.2913050297483481,0.2785433679232975,-0.04380858729447663,True,True
31991,gnn_init_11,0.06840817921034724,0.2913050297483481,0.2619747221469879,-0.10068589487348702,True,True
31991,gnn_init_29,0.06445607098910518,0.2913050297483481,0.26332521438598633,-0.09604988759216725,True,True
31991,gnn_init_47,0.06636846438429071,0.2913050297483481,0.2627439498901367,-0.09804526850389318,True,True
31991,gnn_ensemble,0.06641024768441796,0.2913050297483481,0.2626812954743703,-0.09826035032318255,True,True
31991,interpolation_oracle,0.0021566612597177155,0.2913050297483481,0.2913050297483481,0.0,True,True
40213,mean_curve,0.0028238420752347807,0.2649596669322829,0.26455218880780595,-0.001537887366763209,True,True
40213,geometry_ridge,0.05318849947370911,0.2649596669322829,0.24576940583759835,-0.07242710302617154,True,True
40213,G_access_power_1D,0.019494572190552145,0.2649596669322829,0.2627185026960079,-0.00845851092063685,True,True
40213,gnn_init_11,0.005319698677678293,0.2649596669322829,0.2638528645038605,-0.004177248715765096,True,True
40213,gnn_init_29,0.0029632111832124663,0.2649596669322829,0.26471567153930664,-0.0009208774897751462,True,True
40213,gnn_init_47,0.0036323169473320986,0.2649596669322829,0.26453495025634766,-0.0016029484066485897,True,True
40213,gnn_ensemble,0.003941304986075532,0.2649596669322829,0.26436782876650494,-0.0022336915373962077,True,True
40213,interpolation_oracle,0.0021724374030385614,0.2649596669322829,0.2649596669322829,0.0,True,True
47837,mean_curve,0.009038784348864109,0.2643349040834956,0.2645850710630053,0.0009464016126703847,True,True
47837,geometry_ridge,0.017995434039901545,0.2643349040834956,0.2729844434188657,0.03272189635856024,True,True
47837,G_access_power_1D,0.012651150061427544,0.2643349040834956,0.2577238101344045,-0.025010295072507134,True,True
47837,gnn_init_11,0.008900629945427885,0.2643349040834956,0.26484644412994385,0.0019351967468007414,True,True
47837,gnn_init_29,0.009095878597156057,0.2643349040834956,0.26474466919898987,0.0015501740752513504,True,True
47837,gnn_init_47,0.010617031778197939,0.2643349040834956,0.26419955492019653,-0.0005120366671527229,True,True
47837,gnn_ensemble,0.009510539248423142,0.2643349040834956,0.26459688941637677,0.0009911113849665264,True,True
47837,interpolation_oracle,0.0022317806603709177,0.2643349040834956,0.2643349040834956,0.0,True,True
52691,mean_curve,0.03444711405260988,0.2757138322879656,0.26398618010487523,-0.04253559600463413,True,True
52691,geometry_ridge,0.09401600841798628,0.2757138322879656,0.31298294711700286,0.1351731776377184,True,True
52691,G_access_power_1D,0.014282124917830654,0.2757138322879656,0.26627579772199667,-0.03423126974678403,True,True
52691,gnn_init_11,0.026272476441462467,0.2757138322879656,0.26686349511146545,-0.032099721305445854,True,True
52691,gnn_init_29,0.03452675050155312,0.2757138322879656,0.2641286551952362,-0.04201884612241507,True,True
52691,gnn_init_47,0.03497846399888914,0.2757138322879656,0.263977974653244,-0.04256535675897541,True,True
52691,gnn_ensemble,0.03192043920131546,0.2757138322879656,0.26499004165331524,-0.038894641395612044,True,True
52691,interpolation_oracle,0.0022450709070280885,0.2757138322879656,0.2757138322879656,0.0,True,True
61417,mean_curve,0.17437100107946688,0.2149245541232466,0.26718561579775524,0.24316003300646605,True,True
61417,geometry_ridge,0.17175631476909076,0.2149245541232466,0.26767475187372675,0.24543588314358447,True,True
61417,G_access_power_1D,0.02697538021385806,0.2149245541232466,0.21107007405675707,-0.017934107539333135,True,True
61417,gnn_init_11,0.1817132271720217,0.2149245541232466,0.269199013710022,0.25252796176863146,True,True
61417,gnn_init_29,0.17447391185469263,0.2149245541232466,0.2673809230327606,0.24406875763219393,True,True
61417,gnn_init_47,0.16610208647491218,0.2149245541232466,0.2653477191925049,0.23460867593724802,True,True
61417,gnn_ensemble,0.17409492048630631,0.2149245541232466,0.2673092186450958,0.2437351317793578,True,True
61417,interpolation_oracle,0.0019332860407733246,0.2149245541232466,0.2149245541232466,0.0,True,True
69371,mean_curve,0.06069812460395353,0.2878364645639539,0.26334814682719165,-0.08507719052851702,True,True
69371,geometry_ridge,0.048852039192854774,0.2878364645639539,0.26664822811345906,-0.07361206469303008,True,True
69371,G_access_power_1D,0.023624054507002154,0.2878364645639539,0.272363768350947,-0.05375516349690657,True,True
