time_s,reference_loading,predicted_loading
0.0,0.0,0.0
5e-05,3.042032308168713e-11,1.0694533546402159e-11
5.317724787430056e-05,3.4403954184789564e-11,1.2096110407859377e-11
5.655639382969606e-05,3.890887785937559e-11,1.3681452812153023e-11
6.0150267471166206e-05,4.4003233845936986e-11,1.5474656257610282e-11
6.397251366039366e-05,4.9764053444547823e-11,1.7502013260714947e-11
6.803764432121665e-05,5.6278416652405e-11,1.9794772757905876e-11
7.236109353705672e-05,6.364475944203338e-11,2.23879255753181e-11
7.695927614951026e-05,7.197435024774389e-11,2.5320845678248717e-11
8.184965008058509e-05,8.139295762170211e-11,2.863806904145841e-11
8.705078261520076e-05,9.204273362101159e-11,3.2389970468013226e-11
9.258242089560768e-05,1.040843405107712e-10,3.663319187816527e-11
9.846556689537109e-05,1.1769935185948027e-10,4.143066076614124e-11
0.0001047225571575,1.330929639041827e-10,4.685626432812444e-11
0.0001113771475999,1.5049705568940302e-10,5.299230833830495e-11
0.0001184546037091,1.7017364314344548e-10,5.993188732723233e-11
0.0001259817964658,1.9241877817082872e-10,6.777939700450665e-11
0.0001339873043662,2.1756694677904215e-10,7.66527938178399e-11
0.0001425015219259,2.4599603353946244e-10,8.668676828531482e-11
0.0001515567750783,2.7813291958076034e-10,9.803289031106178e-11
0.0001611874439074,3.1445979880890314e-10,1.1086342907467844e-10
0.0001714300931778,3.55521299488556e-10,1.2537140968192256e-10
0.0001823236111606,4.0193251438642525e-10,1.4177557895434962e-10
0.0001939093572805,4.543880533859291e-10,1.6032330215728429e-10
0.000206231319145,5.136722464312667e-10,1.8129412054071316e-10
0.0002193362795524,5.806706408724446e-10,2.050039175578574e-10
0.0002332739941117,6.563829542622072e-10,2.3180962063651774e-10
0.0002480973801501,7.419376635716642e-10,2.6211450654823307e-10
0.0002638627176241,8.386084336141321e-10,2.963741868949258e-10
0.0002806298627977,9.47832611402237e-10,3.351033597369808e-10
0.0002984624754985,1.0712320408975603e-09,3.7888342402298006e-10
0.0003174282608152,1.2106364813264775e-09,4.283710653871356e-10
0.0003375992261536,1.3681099490468742e-09,4.84307935185284e-10
0.0003590519546268,1.5459803338281266e-09,5.475315595045039e-10
0.0003818678958189,1.7468726919595466e-09,6.189876314724579e-10
0.0004061336750239,1.973746649480825e-09,6.997461224058209e-10
0.000431941422137,2.229938417306588e-09,7.910165860062236e-10
0.0004593891214431,2.519207958367188e-09,8.941562913227834e-10
0.0004885809836348,2.8457919202909515e-09,1.0107015205230066e-09
0.0005196278414683,3.2144630126349037e-09,1.142385921147145e-09
0.000552647570563,3.630596569138075e-09,1.2911655569812958e-09
0.0005877655369391,4.100245151075103e-09,1.4592470754429234e-09
0.0006251150729957,4.630222073519341e-09,1.6491193659793752e-09
0.0006648379837331,5.2281949406949e-09,1.863595839048818e-09
0.0007070850851445,5.9027902231876064e-09,2.105847230172661e-09
0.000752016776819,6.663710217518164e-09,2.3794398612387915e-09
0.0007998036509307,7.521863672295826e-09,2.6883980335099896e-09
0.0008506271399262,8.489511617014243e-09,3.03726063860197e-09
0.0009046802053693,9.580430054877534e-09,3.43114746216358e-09
0.0009621680705579,1.0810091187019897e-08,3.875811854739126e-09
0.0010233089996959,1.2195865431768673e-08,4.377738191676286e-09
0.0010883351265767,1.3757245880008761e-08,4.944241849345062e-09
0.0011574933359255,1.5516098150423734e-08,5.583537380652679e-09
0.0012310462007473,1.749693758434891e-08,6.304875779135511e-09
