seed,predicted_diffusivity_m2_s,time_weighted_nrmse,final_relative_error,max_absolute_mass_residual_mol
18427,8.511639147953839e-07,0.016793248565509816,-0.04098201901092758,1.4946349728687147e-13
27183,1.0449606761794802e-06,0.01823575146161747,-0.036653778182853244,1.1192165959953717e-13
31991,8.927445111535451e-07,0.017346241175991126,-0.04022712965259677,1.1715964930019437e-13
40213,7.689386248972195e-07,0.01633172595011921,-0.015675174155325107,1.2798282030680827e-13
47837,7.571739587355101e-07,0.012559690808680178,-0.02395286608918759,1.1194067252458771e-13
52691,8.116414479576175e-07,0.013451442493654313,-0.03191976340932028,1.2557416353667806e-13
61417,5.059847085842334e-07,0.027753301085122316,-0.016234093478293618,1.350090212847208e-13
69371,8.27016237817636e-07,0.02772381532499756,-0.060644650357229386,1.1906943500461086e-13
74167,5.880213013090475e-07,0.030232542308726837,-0.06910002566806002,1.2341079120268845e-13
81929,6.420338602892332e-07,0.01803879060874514,-0.0434137864241544,1.2239482875729083e-13
90709,9.922849399824605e-07,0.05494821578359768,0.03346352162911077,1.1478723791691011e-13
98251,1.0044022997111547e-06,0.023557869430543665,-0.048360689526356526,1.1319134631736184e-13
105019,4.6433868432462027e-07,0.033506706628603056,-0.016534395674653868,1.4118739903363922e-13
113117,8.20633757184271e-07,0.022826764143377597,-0.05008997462872275,1.2617716142138895e-13
121021,8.222034961117649e-07,0.03415827140269892,-0.0007864040229505676,1.2350909234083263e-13
129121,5.429690593563334e-07,0.021173257572717603,-0.02996705958092656,1.2112327899049867e-13
137077,5.721164001555073e-07,0.05923973510094199,-0.10523504269197395,1.211459824381004e-13
145093,8.234216997738546e-07,0.019215968981311886,-0.012438925962432791,1.1978771703805837e-13
153133,6.664524100879802e-07,0.022861699500912696,-0.023726415536985467,1.226308726992516e-13
161123,7.387701118136807e-07,0.05015404973573185,0.03069425634534181,1.147253990060464e-13
