time_s,reference_loading,predicted_loading
0.0,0.0,0.0
5e-05,2.7840510895733343e-11,1.0328022694962493e-11
5.317724787430056e-05,3.1486923860345844e-11,1.1681517568181043e-11
5.655639382969606e-05,3.5610624987371523e-11,1.3212472849336087e-11
6.0150267471166206e-05,4.0274026410666596e-11,1.4944157242179314e-11
6.397251366039366e-05,4.554769016661576e-11,1.6902652757498892e-11
6.803764432121665e-05,5.151138786619934e-11,1.911686131754786e-11
7.236109353705672e-05,5.825530107224709e-11,2.1621159500296925e-11
7.695927614951026e-05,6.588137606840139e-11,2.44535699479342e-11
8.184965008058509e-05,7.450485425448802e-11,2.7657100101929716e-11
8.705078261520076e-05,8.425600084372533e-11,3.128039578378941e-11
9.258242089560768e-05,9.528205741937248e-11,3.5378480474310436e-11
9.846556689537109e-05,1.0774944669019147e-10,4.001243201215224e-11
0.0001047225571575,1.2184626256944052e-10,4.525231381711061e-11
0.0001113771475999,1.377850814801041e-10,5.117826892336464e-11
0.0001184546037091,1.5580613621244903e-10,5.7880195769308815e-11
0.0001259817964658,1.7618089866908028e-10,6.545977686070688e-11
0.0001339873043662,1.9921612409162943e-10,7.403007260769554e-11
0.0001425015219259,2.2525841447887278e-10,8.37212050914718e-11
0.0001515567750783,2.5469936874572923e-10,9.467974850676703e-11
0.0001611874439074,2.8798139241584205e-10,1.0707145428589605e-10
0.0001714300931778,3.2560425240204916e-10,1.210839723827758e-10
0.0001823236111606,3.681324684251451e-10,1.369280896942454e-10
0.0001939093572805,4.1620364979505824e-10,1.548427787539859e-10
0.000206231319145,4.70537892946748e-10,1.7509810312040864e-10
0.0002193362795524,5.31948376859838e-10,1.9799924448453233e-10
0.0002332739941117,6.013533018136497e-10,2.23891047730354e-10
0.0002480973801501,6.797893438204736e-10,2.5316314981490387e-10
0.0002638627176241,7.684268091651666e-10,2.8625576655080256e-10
0.0002806298627977,8.685867025958171e-10,3.236662205905239e-10
0.0002984624754985,9.817599475943322e-10,3.6595630422886307e-10
0.0003174282608152,1.1096290145707624e-09,4.1376058219270854e-10
0.0003375992261536,1.2540922685646158e-09,4.677957525020254e-10
0.0003590519546268,1.4172913504414566e-09,5.288711979201169e-10
0.0003818678958189,1.6016419744292376e-09,5.979008766292186e-10
0.0004061336750239,1.8098685554879763e-09,6.759184953340052e-10
0.000431941422137,2.045043113206885e-09,7.640930115260498e-10
0.0004593891214431,2.3106289854375e-09,8.637365997676883e-10
0.0004885809836348,2.610529930266913e-09,9.763342478821815e-10
0.0005196278414683,2.949145202825305e-09,1.1035618224647423e-09
