time_s,reference_loading_mol_kg,homogeneous_loading_mol_kg,residual_mol_kg
0.0,0.0,0.0,0.0
5e-05,2.8528530444505557e-11,5.843003373526131e-12,2.2685527070979426e-11
5.317724787430056e-05,3.226329988144629e-11,6.608011602765415e-12,2.5655288278680873e-11
5.655639382969606e-05,3.648656270794028e-11,7.473310944969851e-12,2.9013251762970428e-11
6.0150267471166206e-05,4.126212223120327e-11,8.452050912525466e-12,3.28100713186778e-11
6.397251366039366e-05,4.6662098681689546e-11,9.559105193423615e-12,3.710299348826593e-11
6.803764432121665e-05,5.276802086973466e-11,1.081129773289886e-11,4.1956723136835795e-11
7.236109353705672e-05,5.967201385235245e-11,1.2227658460300284e-11,4.7444355392052165e-11
7.695927614951026e-05,6.74782028268674e-11,1.3829712548489178e-11,5.3648490278378224e-11
8.184965008058509e-05,7.630426276507469e-11,1.5641807602787033e-11,6.066245516228766e-11
8.705078261520076e-05,8.628318550339103e-11,1.7691483753068363e-11,6.859170175032267e-11
9.258242089560768e-05,9.756522790225605e-11,2.0009892274768484e-11,7.755533562748757e-11
9.846556689537109e-05,1.1032017340344172e-10,2.263226910226932e-11,8.76879043011724e-11
0.0001047225571575,1.2473986444865506e-10,2.559847043251636e-11,9.91413940161387e-11
0.0001113771475999,1.4104102078424066e-10,2.8953262273187826e-11,1.1208775851105284e-10
0.0001184546037091,1.5946846858522515e-10,3.274575236175039e-11,1.2672271622347478e-10
0.0001259817964658,1.8029875703099762e-10,3.703505880672932e-11,1.432636982242683e-10
0.0001339873043662,2.0384424664697932e-10,4.1886297274424547e-11,1.6195794937255476e-10
0.0001425015219259,2.304577099118969e-10,4.7373119952578115e-11,1.8308458995931877e-10
0.0001515567750783,2.60537522179321e-10,5.3578834801581935e-11,2.0695868737773906e-10
0.0001611874439074,2.94533510980501e-10,6.059767156377199e-11,2.33935839416729e-10
0.0001714300931778,3.3295354641350504e-10,6.853426329093922e-11,2.644192831225658e-10
0.0001823236111606,3.7637096325250767e-10,7.75081160409483e-11,2.988628472115594e-10
0.0001939093572805,4.2543292060067057e-10,8.765674990459008e-11,3.377761706960805e-10
0.000206231319145,4.80869813927993e-10,9.91340880849098e-11,3.8173572584308316e-10
0.0002193362795524,5.435058635085512e-10,1.1211422956961533e-10,4.3139163393893587e-10
0.0002332739941117,6.142710360137672e-10,1.2679071012061171e-10,4.874803258931555e-10
0.0002480973801501,6.942144441549574e-10,1.433858994958626e-10,5.508285446590949e-10
0.0002638627176241,7.84519420027524e-10,1.6215083356795789e-10,6.223685864595662e-10
0.0002806298627977,8.86520450723182e-10,1.8336907938584028e-10,7.031513713373417e-10
0.0002984624754985,1.001722214216779e-09,2.073620500269831e-10,7.94360164189796e-10
0.0003174282608152,1.1318209479212083e-09,2.3449017470516195e-10,8.973307732160463e-10
0.0003375992261536,1.2787284373309742e-09,2.651622953234684e-10,1.0135661420075057e-09
0.0003590519546268,1.4445989437809584e-09,2.998404026476716e-10,1.1447585411332869e-09
0.0003818678958189,1.6318593775938076e-09,3.3904651174431034e-10,1.2928128658494972e-09
0.0004061336750239,1.843243151247384e-09,3.8337041991562334e-10,1.4598727313317606e-09
0.000431941422137,2.0818280697426413e-09,4.334784589864191e-10,1.6483496107562223e-09
0.0004593891214431,2.3510787768999194e-09,4.901233676668558e-10,1.8609554092330635e-09
0.0004885809836348,2.6548942348235583e-09,5.541554252713183e-10,2.10073880955224e-09
0.0005196278414683,2.9976608092248853e-09,6.265350054456312e-10,2.371125803779254e-09
0.000552647570563,3.3843116441179513e-09,7.083467280067858e-10,2.6759649161111654e-09
0.0005877655369391,3.8203928008039525e-09,8.008154086924024e-10,3.01957739211155e-09
0.0006251150729957,4.3121373027453015e-09,9.05324030852475e-10,3.4068132718928267e-09
0.0006648379837331,4.866547344712463e-09,1.0234339900937686e-09,3.843113354618694e-09
0.0007070850851445,5.491486202732054e-09,1.156911799197817e-09,4.334574403534237e-09
0.000752016776819,6.195780222081122e-09,1.3077536282699892e-09,4.888026593811133e-09
0.0007998036509307,6.9893323304998075e-09,1.4781996738703798e-09,5.511132656629428e-09
0.0008506271399262,7.883248129072004e-09,1.6707849339872959e-09,6.2124631950847076e-09
0.0009046802053693,8.889975658200075e-09,1.8883695720207837e-09,7.0016060861792916e-09
0.0009621680705579,1.0023460304465411e-08,2.134180084305627e-09,7.889280220159785e-09
0.0010233089996959,1.1299316227617321e-08,2.411855567266366e-09,8.887460660350955e-09
0.0010883351265767,1.273501586901844e-08,2.7254996922864283e-09,1.0009516176732011e-08
0.0011574933359255,1.4350099041926603e-08,3.079760704081355e-09,1.1270338337845248e-08
0.0012310462007473,1.6166403461108282e-08,3.4798557851104424e-09,1.268654767599784e-08
0.0013092729792371,1.8208318388583123e-08,3.93166125943607e-09,1.4276657129147053e-08
0.0013924706750403,2.0503063335144264e-08,4.441805714734695e-09,1.606125762040957e-08
0.0014809551648862,2.3080993838868672e-08,5.017756109212261e-09,1.8063237729656413e-08
0.0015750623978776,2.5975936007021413e-08,5.667940138103051e-09,2.0307995868918364e-08
0.0016751496709886,2.9225552679442743e-08,6.40184787526501e-09,2.2823704804177734e-08
0.0017815969856142,3.287174205216342e-08,7.230143098334108e-09,2.5641598953829313e-08
0.0018948084903223,3.6961072489312536e-08,8.164840161505002e-09,2.8796232327807534e-08
0.002015214015284,4.154525424658663e-08,9.219453832370432e-09,3.23258004142162e-08
0.0021432707042104,4.6681650672616186e-08,1.0409189962662811e-08,3.6272460709953373e-08
0.0022794647499905,5.243383128268148e-08,1.1751151948208527e-08,4.068267933447295e-08
0.0024243132406195,5.8872168017277374e-08,1.3264565566232385e-08,4.560760245104499e-08
0.0025783661224274,6.607447643507006e-08,1.4971035072194445e-08,5.1103441362875614e-08
0.0027422082880605,7.41267033612002e-08,1.6894824557187494e-08,5.7231878804012706e-08
0.002916461797143,8.312366215734767e-08,1.9063191760425286e-08,6.406047039692238e-08
0.0031017882380521,9.316981878592697e-08,2.1506730524284557e-08,7.166308826164242e-08
0.0032988912397697,1.04380125304528e-07,2.425975181027864e-08,8.012037349424936e-08
0.0035085191433519,1.1688090360460319e-07,2.736074834495474e-08,8.952015525964845e-08
0.003731467843155,1.308107808399966e-07,3.0852869331909417e-08,9.995791150808719e-08
0.0039685838086087,1.463216725280151e-07,3.478443825604597e-08,1.1153723427196913e-07
0.0042207672980064,1.6357981220917586e-07,3.920958788587604e-08,1.2437022432329984e-07
0.0044889757765166,1.8276683162009853e-07,4.4188891653967485e-08,1.3857793996613105e-07
0.0047742275513911,2.0408088032958026e-07,4.9790103039424726e-08,1.5429077729015553e-07
0.0050776056381728,2.2773779567403499e-07,5.60889632811654e-08,1.7164883239286958e-07
0.0054002618725812,2.539723121399732e-07,6.317008732188897e-08,1.9080222481808423e-07
0.0057434212836877,2.830393046469517e-07,7.112797431086885e-08,2.1191133033608282e-07
0.0061083867449839,3.1521507650997346e-07,8.006800859236482e-08,2.3514706791760865e-07
0.006496543921002,3.507986575502158e-07,9.010776079400447e-08,2.6069089675621133e-07
0.0069093665282681,3.901131592929146e-07,1.0137817890834058e-07,2.88734980384574e-07
0.0073484219305622,4.335071463450555e-07,1.1402508514302887e-07,3.1948206120202663e-07
0.007815377089729,4.813560263741672e-07,1.2821069573315325e-07,3.5314533064101395e-07
0.008312004894633,5.340635308377225e-07,1.4411536829263848e-07,3.8994816254508404e-07
0.008840190892286,5.920631691736409e-07,1.619394074269762e-07,4.3012376174666476e-07
0.0094019404467045,6.558197732499343e-07,1.8190516093833546e-07,4.7391461231159885e-07
0.0099993863526764,7.258309936854878e-07,2.0425920227057493e-07,5.215717914149128e-07
0.0106347969333434,8.026289590123023e-07,2.2927471836845666e-07,5.733542406438456e-07
0.0113105846523451,8.86781977878115e-07,2.572541461030963e-07,6.295278317750188e-07
0.0120293152732203,9.78896374004055e-07,2.8853197027022977e-07,6.903644037338252e-07
0.0127937176008429,1.0796184430870677e-06,3.234778247788089e-07,7.561406183082588e-07
0.0136066938418765,1.1896365485488126e-06,3.624997787610772e-07,8.271367697877353e-07
0.0144713306235837,1.309683382158083e-06,4.06047910666733e-07,9.0363547149135e-07
0.0153909107128253,1.440538369851075e-06,4.546181806332211e-07,9.85920189217854e-07
0.0163689254797428,1.5830304413338745e-06,5.087565584784723e-07,1.0742738828554022e-06
0.0174090881534448,1.7380412302477086e-06,5.690634975653782e-07,1.1689777326823304e-06
0.0185153479200257,1.9065085937805928e-06,6.3619864621257e-07,1.2703099475680227e-06
0.0196919049164424,2.0894304508177925e-06,7.108860954955681e-07,1.3785443553222245e-06
0.0209432261771763,2.287869025831879e-06,7.939195988780144e-07,1.4939494269538647e-06
0.0222740625942249,2.5029554176999435e-06,8.86168694686021e-07,1.6167867230139224e-06
0.0236894669548157,2.7358950486754014e-06,9.885847998284363e-07,1.747310248846965e-06
0.0251948131253257,2.9879738328761344e-06,1.102207803147152e-06,1.8857660297289825e-06
0.0267958164542425,3.260564672312426e-06,1.2281731614979536e-06,2.0323915108144723e-06
0.0284985554716303,3.5551345844948385e-06,1.367719315798383e-06,2.1874152686964554e-06
0.0303094949674878,3.873251811207034e-06,1.5221954189409174e-06,2.3510563922661166e-06
0.0322355105366193,4.216594232037774e-06,1.6930696653706372e-06,2.5235245666671367e-06
0.0342839146832086,4.586958837091528e-06,1.8819377072960495e-06,2.7050211297954785e-06
0.0364624845842072,4.986271136778508e-06,2.0905319138223857e-06,2.8957392229561226e-06
0.038779491616945,5.416595217816732e-06,2.3207308162851986e-06,3.0958644015315333e-06
