seed,bin,z_low_m,z_high_m,z_center_m,solid_fraction,porosity
105019,0,0.0,0.0011908106999999999,0.0005954053499999999,0.5192360351873168,0.48076396481268324
105019,1,0.0011908106999999999,0.0023816213999999997,0.0017862160499999998,0.5572526014153333,0.4427473985846667
105019,2,0.0023816213999999997,0.0035724320999999996,0.0029770267499999994,0.5660527801223036,0.43394721987769636
105019,3,0.0035724320999999996,0.004763242799999999,0.00416783745,0.5531480158854131,0.44685198411458693
105019,4,0.004763242799999999,0.005954053499999999,0.005358648149999999,0.5651028957660489,0.4348971042339511
105019,5,0.005954053499999999,0.007144864199999999,0.0065494588499999985,0.5698307398862892,0.4301692601137108
105019,6,0.007144864199999999,0.0083356749,0.00774026955,0.5643018789770355,0.43569812102296446
105019,7,0.0083356749,0.009526485599999999,0.008931080249999999,0.5713076200800796,0.4286923799199204
105019,8,0.009526485599999999,0.010717296299999998,0.010121890949999999,0.5355357520548014,0.4644642479451986
105019,9,0.010717296299999998,0.011908106999999998,0.011312701649999998,0.5608164386399068,0.4391835613600932
105019,10,0.011908106999999998,0.013098917699999999,0.012503512349999999,0.5517509447834397,0.44824905521656033
105019,11,0.013098917699999999,0.014289728399999998,0.013694323049999998,0.5689081665649552,0.43109183343504476
105019,12,0.014289728399999998,0.015480539099999998,0.014885133749999998,0.5478283775564773,0.4521716224435227
105019,13,0.015480539099999998,0.0166713498,0.016075944449999997,0.572496658843581,0.42750334115641897
105019,14,0.0166713498,0.017862160499999998,0.01726675515,0.5649887197017209,0.43501128029827907
105019,15,0.017862160499999998,0.019052971199999998,0.018457565849999996,0.5648275820996166,0.4351724179003834
105019,16,0.019052971199999998,0.020243781899999997,0.01964837655,0.5802010802117838,0.41979891978821615
105019,17,0.020243781899999997,0.021434592599999996,0.020839187249999995,0.5676881468201856,0.43231185317981435
105019,18,0.021434592599999996,0.022625403299999996,0.022029997949999998,0.5689494242670555,0.4310505757329445
105019,19,0.022625403299999996,0.023816213999999995,0.023220808649999994,0.5696790405389189,0.43032095946108107
105019,20,0.023816213999999995,0.025007024699999998,0.024411619349999997,0.5522055065753042,0.4477944934246958
105019,21,0.025007024699999998,0.026197835399999998,0.02560243005,0.5615577067213755,0.4384422932786245
105019,22,0.026197835399999998,0.027388646099999997,0.026793240749999996,0.5550396570797148,0.4449603429202852
105019,23,0.027388646099999997,0.028579456799999996,0.02798405145,0.5493975964588762,0.4506024035411238
105019,24,0.028579456799999996,0.029770267499999996,0.029174862149999994,0.5572960074141803,0.4427039925858197
105019,25,0.029770267499999996,0.030961078199999995,0.030365672849999997,0.5657942911615441,0.4342057088384559
105019,26,0.030961078199999995,0.032151888899999995,0.03155648354999999,0.566096693245213,0.43390330675478705
105019,27,0.032151888899999995,0.0333426996,0.032747294249999996,0.5658997592684083,0.4341002407315917
105019,28,0.0333426996,0.034533510299999993,0.03393810494999999,0.534933176777193,0.465066823222807
105019,29,0.034533510299999993,0.035724320999999996,0.035128915649999995,0.3234006553543772,0.6765993446456229
113117,0,0.0,0.0011953474666666667,0.0005976737333333334,0.5302159309401301,0.4697840690598699
113117,1,0.0011953474666666667,0.0023906949333333334,0.0017930212000000002,0.5724048555890476,0.42759514441095237
113117,2,0.0023906949333333334,0.0035860424000000004,0.002988368666666667,0.5659641045874287,0.43403589541257126
113117,3,0.0035860424000000004,0.004781389866666667,0.004183716133333334,0.5585115476587359,0.4414884523412641
113117,4,0.004781389866666667,0.005976737333333333,0.0053790636,0.5559115581143889,0.44408844188561114
113117,5,0.005976737333333333,0.007172084800000001,0.0065744110666666675,0.5750508933600719,0.42494910663992813
113117,6,0.007172084800000001,0.008367432266666667,0.007769758533333334,0.571656046301969,0.428343953698031
113117,7,0.008367432266666667,0.009562779733333334,0.008965106,0.5650327162844484,0.4349672837155516
113117,8,0.009562779733333334,0.0107581272,0.010160453466666667,0.5674992206981696,0.4325007793018304
113117,9,0.0107581272,0.011953474666666667,0.011355800933333333,0.5708959327674015,0.42910406723259853
113117,10,0.011953474666666667,0.013148822133333333,0.0125511484,0.55683687780827,0.44316312219173004
