pore_id,x_m,y_m,z_m,volume_m3,inscribed_radius_m,component,inlet,outlet,wall,sobol_void_samples
0,-0.0067159458275033125,0.0023447053718290657,0.0016292669377581846,1.5277677342381207e-09,0.0003531695969604939,0,1,0,1,225
1,-0.002453471335182102,-0.004504108486220178,0.0008346423099531345,1.6429431288370033e-09,0.00033376195379425063,0,0,0,0,242
2,-0.0061013377038804835,-0.0013900312073622514,0.0016933685532658778,2.7438844007380876e-10,0.0004990878557174472,0,0,0,0,40
3,0.0023703564347328132,-0.006524910255229642,0.033951266630574774,2.4017457285472894e-09,0.0003222171303365458,0,0,1,1,354
4,0.0016817153428716044,-0.005982352275441646,0.03419070307294262,5.182892756949722e-10,0.0003366531886613333,0,0,0,0,76
5,-0.005577159260375397,-0.005476606145666247,0.0021318421802414087,1.764893546647585e-09,0.0006721919089679179,0,1,0,1,260
6,-0.0041388970216199574,-0.00524568897303654,0.0013695576301076449,1.0738411790542887e-09,0.00029047028201042654,0,0,0,0,158
7,-0.003664676524454735,-0.005309581371966414,0.001663677815507332,2.0663820795681897e-10,0.0003881749022797816,0,0,0,0,30
8,-0.006736632579773951,0.0034437182148636344,0.0023126624187128687,9.51890761243707e-10,0.0007678196039989372,0,0,0,0,140
9,-0.00507946187373802,0.004665679114007511,0.00213717453063601,2.0426694983272433e-09,0.000414241999671999,0,0,0,0,301
10,0.0005821292721141372,-0.006513287933014349,0.03556982297824902,3.187648421104371e-09,0.0010428392851996302,0,0,0,0,470
11,-0.0030060083862692728,-0.006297423139119347,0.0014570431477534394,1.703918337742294e-09,0.00025053167570242426,0,1,0,1,251
12,-0.0036654022761576535,-0.005318624724302782,0.0016737772520389086,2.4051332401531386e-10,0.0003893959546561659,0,0,0,0,35
13,-0.004551844351340338,-0.005769310464333526,0.0017819483313442903,2.035894475115544e-09,0.0004813859806540524,0,0,0,0,300
14,-0.006453411876311304,0.001767429757183803,0.0017187826056851375,3.7601378824929354e-10,0.0002918113143279118,0,0,0,0,55
15,-0.007776724002699935,0.0008718960386882743,0.0018748236711198768,6.19914623870457e-10,0.0007047850137455236,0,1,0,1,91
16,-0.007739604545020608,0.0009552075835514072,0.001918123280599571,1.0535161094191918e-09,0.0006797195716437969,0,0,0,0,155
17,-0.007507118523292967,0.00038808775451094007,0.0019634867827192583,1.2703168521935592e-09,0.00046744681150256973,0,0,0,0,187
18,-0.006557609964355123,-5.061855032538733e-05,0.002538132221133174,3.6923876503759457e-10,0.00022785599884322732,0,0,0,0,54
19,-0.0015715078600467155,-0.007763538403307689,0.03470792538448185,3.919350927967861e-09,0.0010355173598616306,0,0,1,1,578
20,-0.004514291325661455,-0.004360011270681333,0.001168216473417349,6.605647631406508e-10,0.00020771750098092575,0,0,0,0,97
21,-0.00511651521950924,-0.004316605891381184,0.0014281131306933558,3.4213867219079865e-10,0.00022356717946456553,0,0,0,0,50
22,-0.0042446791889500825,0.0016767479924729546,0.03501531702488516,3.7567503708870855e-09,0.0005675065096336947,0,0,0,0,554
23,-0.002790090745464968,0.004559579267142206,0.012347020391028538,2.2018825438021693e-10,0.0003174679919568515,0,0,0,0,32
24,-0.002971065234351506,0.004250761652104243,0.012253138452767019,2.337383008036149e-10,0.00028611631113739254,0,0,0,0,34
