model,mape_percent,r2,log_rmse
G_access,5.774879112159828,0.9028241690795505,0.07016982974507376
geometric_mean,20.445879599230956,-0.08166853823487563,0.24446005060528342
gnn,20.71112714660499,-0.07213655971616495,0.24555148914014724
mean_diffusivity,20.72788640572502,-0.07553175356522313,0.24620894793363982
