fold,stage,weight_decay,initialization,epoch,train_log_rmse,validation_log_rmse
0,refit,0.0001,11,60,0.09678958124747099,
0,refit,0.0001,29,10,0.22103181856018408,
0,refit,0.0001,29,20,0.2161136211198442,
0,refit,0.0001,29,30,0.19926207644684438,
0,refit,0.0001,29,40,0.16843607751759576,
0,refit,0.0001,29,50,0.12311594700238723,
0,refit,0.0001,29,60,0.12264219254702043,
0,refit,0.0001,47,10,0.22103120170764115,
0,refit,0.0001,47,20,0.21525399268027848,
0,refit,0.0001,47,30,0.19774754460526034,
0,refit,0.0001,47,40,0.1683495040163733,
0,refit,0.0001,47,50,0.12333086203631781,
0,refit,0.0001,47,60,0.12324252871193382,
1,inner,1e-05,11,10,0.22350579864631723,0.1458269630483463
1,inner,1e-05,11,20,0.2192572125764785,0.1473151881541253
1,inner,1e-05,11,30,0.2017488529756457,0.14912558908937193
1,inner,1e-05,11,40,0.16224669491287136,0.17497391423909575
1,inner,1e-05,11,50,0.10072615567764136,0.19416548163285843
1,inner,1e-05,11,60,0.053712960047286054,0.22648072970728111
1,inner,1e-05,11,70,0.10329433374662349,0.22273839993221478
1,inner,1e-05,11,80,0.07270159385715108,0.25699897821363693
1,inner,1e-05,11,90,0.04907468307329297,0.22270106297220846
1,inner,1e-05,11,100,0.04083864726799131,0.21611968319717498
1,inner,1e-05,11,110,0.025183279587648842,0.2191706125502723
1,inner,0.0001,11,10,0.22350579864631723,0.1458269630483463
1,inner,0.0001,11,20,0.21925721180625038,0.14731548438623723
1,inner,0.0001,11,30,0.20174911538945572,0.149124772464449
1,inner,0.0001,11,40,0.162247543850348,0.17497689050795348
1,inner,0.0001,11,50,0.10074339208865583,0.19421120828513294
1,inner,0.0001,11,60,0.049226344622881425,0.22341580625215052
1,inner,0.0001,11,70,0.029051734667633288,0.22781308085120883
1,inner,0.0001,11,80,0.045292351469392374,0.23981386361005885
1,inner,0.0001,11,90,0.03783393648887523,0.22025691322636776
1,inner,0.0001,11,100,0.05503465980333779,0.21529635282954696
1,inner,0.0001,11,110,0.04640280194889732,0.23814605399632488
1,refit,1e-05,11,10,0.20594653005779837,
1,refit,1e-05,29,10,0.20576091139816566,
1,refit,1e-05,47,10,0.2055061559540029,
2,inner,1e-05,11,10,0.22005438124062957,0.27844155831800127
2,inner,1e-05,11,20,0.21460979546311432,0.27958677179861047
2,inner,1e-05,11,30,0.19523661754857669,0.2843584956728463
2,inner,1e-05,11,40,0.1536943752007336,0.30117837591533014
2,inner,1e-05,11,50,0.08675722409754462,0.33422438705088153
2,inner,1e-05,11,60,0.045273308938146725,0.332633363456753
2,inner,1e-05,11,70,0.08560481411276889,0.3068782315544508
2,inner,1e-05,11,80,0.06025097277713948,0.34391954540388786
2,inner,1e-05,11,90,0.05113647959015838,0.3529725683325535
2,inner,1e-05,11,100,0.030800204499225377,0.33853199458384425
2,inner,1e-05,11,110,0.0394361707926862,0.34528634698244454
2,inner,0.0001,11,10,0.22005450757839998,0.27844155831800127
2,inner,0.0001,11,20,0.2146098287648915,0.27958677179861047
2,inner,0.0001,11,30,0.1952544994069962,0.28398683895166066
2,inner,0.0001,11,40,0.15470907820429514,0.3013661662645421
2,inner,0.0001,11,50,0.09446611092623332,0.3349314338241462
2,inner,0.0001,11,60,0.1319944035825909,0.3419268194534179
2,inner,0.0001,11,70,0.05100173028135979,0.3247994224247833
2,inner,0.0001,11,80,0.1781374646584506,0.3578976151602833
2,inner,0.0001,11,90,0.028158581728605508,0.3269751569493338
2,inner,0.0001,11,100,0.10373150180174366,0.3335139962080868
2,inner,0.0001,11,110,0.02940102840815679,0.3249983994938919
2,refit,1e-05,11,10,0.235982497870128,
2,refit,1e-05,29,10,0.23587658154891214,
2,refit,1e-05,47,10,0.2356685581899176,
3,inner,1e-05,11,10,0.2539820280029059,0.2621642227039772
3,inner,1e-05,11,20,0.2487881747953942,0.26360801009877965
3,inner,1e-05,11,30,0.2286455211210379,0.2682233934195617
3,inner,1e-05,11,40,0.18804539574574117,0.30522248546786407
3,inner,1e-05,11,50,0.13874476236142286,0.36852036952560396
3,inner,1e-05,11,60,0.09939584302076504,0.3675000458292835
3,inner,1e-05,11,70,0.10768151810935447,0.4419353477749292
3,inner,1e-05,11,80,0.06571628205875468,0.3761789211056917
3,inner,1e-05,11,90,0.07762557599012285,0.429180503341909
3,inner,1e-05,11,100,0.059177903427420644,0.366479637080485
3,inner,1e-05,11,110,0.05352406005060321,0.4171073336923195
3,inner,0.0001,11,10,0.2539819533133602,0.26216437863164477
3,inner,0.0001,11,20,0.24878827868140535,0.26360801009877965
3,inner,0.0001,11,30,0.2286458846530228,0.2682229212034761
3,inner,0.0001,11,40,0.1880457090078444,0.305220615090242
3,inner,0.0001,11,50,0.1384229442827945,0.36791807082246314
3,inner,0.0001,11,60,0.09994923229497066,0.367221628429939
3,inner,0.0001,11,70,0.107382292330701,0.44050925619060854
3,inner,0.0001,11,80,0.0676675572437389,0.3765095610548463
3,inner,0.0001,11,90,0.07472660383353046,0.4277476498087737
3,inner,0.0001,11,100,0.06311367042625707,0.36403381836201903
3,inner,0.0001,11,110,0.05032432546131965,0.41370264695239894
3,refit,1e-05,11,10,0.25548547084171286,
3,refit,1e-05,29,10,0.2553735844089153,
3,refit,1e-05,47,10,0.2550764995191114,
4,inner,1e-05,11,10,0.2353549173286353,0.3176121059792184
4,inner,1e-05,11,20,0.23051847208845092,0.3192339696768859
4,inner,1e-05,11,30,0.21313331144529432,0.3207573230668079
4,inner,1e-05,11,40,0.1750430927313326,0.33579845606153047
4,inner,1e-05,11,50,0.1472504503302594,0.3545151396765391
4,inner,1e-05,11,60,0.10265207844956543,0.37843113723849003
4,inner,1e-05,11,70,0.08245380559204227,0.40288483658061347
4,inner,1e-05,11,80,0.08535044668514605,0.40811234237682203
4,inner,1e-05,11,90,0.0659595042505255,0.40889963695765547
4,inner,1e-05,11,100,0.09778664835229417,0.3979469368725507
4,inner,1e-05,11,110,0.027983379114927313,0.398408938899508
4,inner,0.0001,11,10,0.2353549289721759,0.3176121059792184
4,inner,0.0001,11,20,0.23051848852728746,0.31923395483783557
4,inner,0.0001,11,30,0.21313339325995392,0.32075922732150386
4,inner,0.0001,11,40,0.17504327374964376,0.33579675021270217
4,inner,0.0001,11,50,0.14674138896469205,0.35447388467581953
4,inner,0.0001,11,60,0.11859716169898718,0.39653564271754393
4,inner,0.0001,11,70,0.09204092514688879,0.4007064060509233
4,inner,0.0001,11,80,0.0968295715053711,0.387154937728798
4,inner,0.0001,11,90,0.06166544318040628,0.39620237519324053
4,inner,0.0001,11,100,0.06861190118406399,0.402383136395871
4,inner,0.0001,11,110,0.061579813726827075,0.38946029914107344
4,refit,1e-05,11,10,0.25688337394208527,
4,refit,1e-05,29,10,0.2566320878729339,
4,refit,1e-05,47,10,0.25641207424720425,
