seed,graph_s,inference_s,gnn_total_s,G_access_s
31991,0.005620228999760002,0.015291219984646887,0.02091144898440689,0.007620868011144921
69371,0.005753500008722767,0.015510303986957297,0.021263803995680064,0.006918983010109514
98251,0.0054646840144414455,0.015186762990197167,0.020651447004638612,0.006731547997333109
129121,0.005467740993481129,0.015850287018110976,0.021318028011592105,0.006593817990506068
27183,0.006170687993289903,0.016698909021215513,0.022869597014505416,0.007281917991349474
105019,0.005923050019191578,0.01655458699679002,0.0224776370159816,0.007825995999155566
121021,0.005962373979855329,0.016492911003297195,0.022455284983152524,0.007833840005332604
145093,0.005989756988128647,0.016601575014647096,0.022591332002775744,0.007739723019767553
47837,0.006112178001785651,0.016062485985457897,0.022174663987243548,0.0072506790165789425
61417,0.005651346989907324,0.015819867985555902,0.021471214975463226,0.007094703993061557
81929,0.0055686710111331195,0.015583622007397935,0.021152293018531054,0.006832699000369757
90709,0.005579069984378293,0.016707273985957727,0.02228634397033602,0.00780467499862425
52691,0.0054401379893533885,0.015154049993725494,0.020594187983078882,0.0069797770120203495
74167,0.005480343010276556,0.015228620992274955,0.02070896400255151,0.0068310660135466605
153133,0.005432402977021411,0.015223530994262546,0.020655933971283957,0.007005213992670178
161123,0.005446710012620315,0.015320114005589858,0.020766824018210173,0.006614215992158279
18427,0.005757126986281946,0.015426073980052024,0.02118320096633397,0.007035021000774577
40213,0.005570083012571558,0.015422806987771764,0.020992890000343323,0.007063714991090819
113117,0.005526069988263771,0.0154805869970005,0.02100665698526427,0.006812088977312669
137077,0.0055544339993502945,0.015394093992654234,0.02094852799200453,0.0070273059827741235
