target,model,feature,baseline_loo_mae,mae_increase_mean,mae_increase_ci95_low,mae_increase_ci95_high
final_uptake_mol_kg,compact_ridge,network_analytic_porosity,0.0176225295944763,-0.0004993491866539389,-0.0007619808934091967,-0.00017683613279757877
final_uptake_mol_kg,compact_ridge,network_geometric_tortuosity,0.0176225295944763,0.002536022313245754,0.00017146499050417157,0.005236709404858963
final_uptake_mol_kg,compact_ridge,network_inlet_pores,0.0176225295944763,0.009175971785648355,0.0048483491938914845,0.013283261910291205
final_uptake_mol_kg,compact_ridge,network_throat_radius_p10_m,0.0176225295944763,-0.0006810409743858654,-0.0013064376359339625,-4.6385578576236126e-05
final_uptake_mol_kg,compact_ridge,network_pore_volume_cv,0.0176225295944763,-0.0009556751883090571,-0.001976166050934019,-0.00011738497319540233
final_uptake_mol_kg,compact_ridge,network_mean_degree,0.0176225295944763,-0.00026327334688371393,-0.0016351558004465085,0.0006974886288034529
t50_final_uptake_s,compact_ridge,network_analytic_porosity,32.966848890853534,0.3435583991787769,-3.0153978235782333,3.111809559064996
t50_final_uptake_s,compact_ridge,network_geometric_tortuosity,32.966848890853534,1.5164286830743559,-0.8178330101596298,3.7006509197392607
t50_final_uptake_s,compact_ridge,network_inlet_pores,32.966848890853534,27.94075399405275,16.96400210847894,38.62535189782198
t50_final_uptake_s,compact_ridge,network_throat_radius_p10_m,32.966848890853534,-0.6484876526678985,-2.818357843334903,1.0984221565364038
t50_final_uptake_s,compact_ridge,network_pore_volume_cv,32.966848890853534,0.10211598035286445,-2.781802822858404,3.440586523793871
t50_final_uptake_s,compact_ridge,network_mean_degree,32.966848890853534,-0.7829688854259957,-2.9212975627210565,1.4507250560854228
underutilized_particle_fraction,compact_ridge,network_analytic_porosity,0.012457917783766098,-0.0004476747316547499,-0.0007107440985902583,-0.0002043052512468727
underutilized_particle_fraction,compact_ridge,network_geometric_tortuosity,0.012457917783766098,0.001496670559707822,-0.00015465241205378223,0.0031215190136832504
underutilized_particle_fraction,compact_ridge,network_inlet_pores,0.012457917783766098,0.0051081380152849624,0.002338933252687545,0.007991491597843348
underutilized_particle_fraction,compact_ridge,network_throat_radius_p10_m,0.012457917783766098,-0.0005830798334474052,-0.0011800151491108137,-3.6977623062591716e-05
underutilized_particle_fraction,compact_ridge,network_pore_volume_cv,0.012457917783766098,-0.0005464603109123809,-0.0014239529538578515,0.00012829875996055374
underutilized_particle_fraction,compact_ridge,network_mean_degree,0.012457917783766098,-0.0001729686330455006,-0.0004390626986999895,8.032840740300545e-05
