target,feature,n,pearson_r,pearson_p,spearman_rho,spearman_p,pearson_p_fdr,spearman_p_fdr,abs_spearman_rho
final_uptake_mol_kg,effective_inlet_to_interior_conductance_m3_s,20,0.9694302951960507,1.9818185712315894e-12,0.9684210526315788,2.6449829899729473e-12,7.332728713556881e-11,9.786437062899905e-11,0.9684210526315788
final_uptake_mol_kg,network_inlet_pores,20,0.7734358753130549,6.342942044254703e-05,0.7470215268897568,0.00015399159566692377,0.00078229618545808,0.00284884451983809,0.7470215268897568
final_uptake_mol_kg,inlet_to_internal_unique_second_layer_pores,20,0.7804679131697863,4.9108990864513464e-05,0.7036231109323524,0.0005368543386012161,0.00078229618545808,0.006030672505098796,0.7036231109323524
final_uptake_mol_kg,inlet_to_internal_throat_count,20,0.7621008539491101,9.408234907086153e-05,0.6961177420035345,0.0006519645951458158,0.0008702617289054692,0.006030672505098796,0.6961177420035345
final_uptake_mol_kg,inlet_polar_cell_coverage,20,0.6599970345649301,0.0015423124888110811,0.636974170613958,0.002524858521738786,0.011413112417202002,0.018683953060867016,0.636974170613958
final_uptake_mol_kg,inlet_internal_conductance_m3_s,20,0.5196387369704881,0.01886073999130989,0.5458646616541353,0.012783628876204734,0.06344067087986054,0.07076094297665156,0.5458646616541353
final_uptake_mol_kg,inlet_radial_mean_over_R,20,-0.5379155360571282,0.014428669025214495,-0.5428571428571428,0.01338720542801516,0.05338607539329363,0.07076094297665156,0.5428571428571428
final_uptake_mol_kg,inlet_total_pore_volume_m3,20,0.5851049941326822,0.006728097461832521,0.4992481203007519,0.025021864609017935,0.030233723262295217,0.11572612381670795,0.4992481203007519
final_uptake_mol_kg,inlet_pore_volume_fraction,20,0.5799393515965344,0.007354148901639378,0.4827067669172932,0.031105216869543383,0.030233723262295217,0.12787700268590058,0.4827067669172932
final_uptake_mol_kg,network_geometric_tortuosity,20,-0.402900046028394,0.07818041383284947,-0.4586466165413533,0.04195431160933542,0.2225134855242639,0.14147338130001977,0.4586466165413533
final_uptake_mol_kg,network_shortest_inlet_outlet_path_m,20,-0.4058080996684775,0.07585300118184793,-0.45112781954887216,0.04588325880000641,0.2225134855242639,0.14147338130001977,0.45112781954887216
final_uptake_mol_kg,inlet_angular_resultant,20,-0.5955006759578719,0.005600239808770844,-0.45112781954887216,0.04588325880000641,0.030233723262295217,0.14147338130001977,0.45112781954887216
final_uptake_mol_kg,inlet_centroid_offset_over_R,20,-0.583936623061179,0.006865726442029189,-0.4421052631578947,0.05096470340964167,0.030233723262295217,0.14505338662744166,0.4421052631578947
final_uptake_mol_kg,inlet_internal_conductance_per_inlet_pore_m3_s,20,0.3382930652129903,0.14459275610961297,0.3924812030075188,0.08695594245899081,0.38213799828969147,0.22981213364161857,0.3924812030075188
final_uptake_mol_kg,inlet_radial_coverage,20,0.1882510881404878,0.4267176411201241,0.26013299085723596,0.268013467258769,0.6864588139758518,0.6543954819303774,0.26013299085723596
final_uptake_mol_kg,network_throat_count,20,0.21759007819830453,0.3567660744278124,0.24812030075187969,0.291522687103458,0.670487987011732,0.6543954819303774,0.24812030075187969
final_uptake_mol_kg,effective_inlet_to_outlet_conductance_m3_s,20,0.31889932020532075,0.17055297803429315,0.24360902255639094,0.3006681944004437,0.4206973458179231,0.6543954819303774,0.24360902255639094
final_uptake_mol_kg,network_pore_count,20,0.23809149287956988,0.31208817901190333,0.22874348085666485,0.3320230626033087,0.6415145901911345,0.6716575238537342,0.22874348085666485
