time_s,reference_loading_mol_kg,homogeneous_loading_mol_kg,residual_mol_kg
0.0,0.0,0.0,0.0
5e-05,3.0870709056593166e-11,9.861719719999765e-12,2.10089893365934e-11
5.317724787430056e-05,3.4914026966121187e-11,1.1154043249129856e-11,2.375998371699133e-11
5.655639382969606e-05,3.9486595826597046e-11,1.261580575936201e-11,2.6870790067235034e-11
6.0150267471166206e-05,4.4657622811864777e-11,1.4269224111715893e-11,3.038839870014889e-11
6.397251366039366e-05,5.0505352910680153e-11,1.6139428333600404e-11,3.436592457707975e-11
6.803764432121665e-05,5.7118244234804426e-11,1.8254302970843238e-11,3.886394126396119e-11
7.236109353705672e-05,6.459630103688502e-11,2.0645568108455368e-11,4.3950732928429655e-11
7.695927614951026e-05,7.305257428012361e-11,2.3350121428541335e-11,4.970245285158227e-11
8.184965008058509e-05,8.261485759493512e-11,2.640902637601781e-11,5.6205831218917313e-11
8.705078261520076e-05,9.342759949601539e-11,2.986872985441309e-11,6.35588696416023e-11
9.258242089560768e-05,1.0565408519126174e-10,3.3781768077227396e-11,7.187231711403434e-11
9.846556689537109e-05,1.1947886836800583e-10,3.82075649716264e-11,8.127130339637943e-11
0.0001047225571575,1.3511052413112744e-10,4.3211551684775766e-11,9.189897244635168e-11
0.0001113771475999,1.5278478942709983e-10,4.8870296213150095e-11,1.0391449321394973e-10
0.0001184546037091,1.7276806540687228e-10,5.5269964594696123e-11,1.1749810081217615e-10
0.0001259817964658,1.9536139259644242e-10,6.250764300002615e-11,1.3285374959641627e-10
0.0001339873043662,2.2090493945189962e-10,7.069293177549189e-11,1.5021200767640773e-10
0.0001425015219259,2.497830620953729e-10,7.994786516025861e-11,1.698351969351143e-10
0.0001515567750783,2.8243001069761737e-10,9.0413298996613e-11,1.9201671170100436e-10
0.0001611874439074,3.193363783866492e-10,1.0224732674269831e-10,2.170890516439509e-10
0.0001714300931778,3.6105635784262793e-10,1.1562913004339541e-10,2.4542722779923254e-10
0.0001823236111606,4.082159436589866e-10,1.3076085180027034e-10,2.774550918587163e-10
0.0001939093572805,4.6152217275450774e-10,1.478703271857481e-10,3.1365184556875967e-10
0.000206231319145,5.217735393423272e-10,1.6721556970462684e-10,3.545579696377004e-10
0.0002193362795524,5.898717375667381e-10,1.8908815544744111e-10,4.0078358211929697e-10
0.0002332739941117,6.66834896795909e-10,2.1381756915864585e-10,4.5301732763726317e-10
0.0002480973801501,7.538124851631002e-10,2.4177610904260504e-10,5.120363761204951e-10
0.0002638627176241,8.521021044846486e-10,2.7338442130672667e-10,5.78717683177922e-10
0.0002806298627977,9.631683963353386e-10,3.0911774429467503e-10,6.540506520406636e-10
0.0002984624754985,1.0886643293409731e-09,3.495129519782352e-10,7.391513773627379e-10
0.0003174282608152,1.23045515387586e-09,3.951764976846563e-10,8.352786561912037e-10
0.0003375992261536,1.390645353634408e-09,4.4679337136097157e-10,9.438519822734364e-10
0.0003590519546268,1.571608956350746e-09,5.051371975711537e-10,1.0664717587795921e-09
0.0003818678958189,1.7760236143868295e-09,5.710816169468798e-10,1.2049419974399496e-09
0.0004061336750239,2.006908902487191e-09,6.456131111238952e-10,1.3612957913632961e-09
0.000431941422137,2.2676693466526467e-09,7.298506633823549e-10,1.5378186832702917e-09
0.0004593891214431,2.562142742509478e-09,8.250497374534568e-10,1.7370930050560211e-09
0.0004885809836348,2.8946543881595724e-09,9.32629341725603e-10,1.962025046433969e-09
0.0005196278414683,3.270077929189468e-09,1.0541920201503289e-09,2.2158859090391392e-09
0.000552647570563,3.693903608808151e-09,1.1915462120945675e-09,2.5023573967135837e-09
0.0005877655369391,4.172314717624036e-09,1.3467323895170722e-09,2.825582328106964e-09
0.0006251150729957,4.712273290915325e-09,1.52205244657675e-09,3.190220844338575e-09
0.0006648379837331,5.321615984693649e-09,1.7201061516116733e-09,3.601509833081976e-09
0.0007070850851445,6.009161382930589e-09,1.9438329459700546e-09,4.065328436960535e-09
0.000752016776819,6.784829984722964e-09,2.1965292157506168e-09,4.588300768972347e-09
0.0007998036509307,7.659778213551405e-09,2.4819194962995814e-09,5.177858717251823e-09
0.0008506271399262,8.646548095366546e-09,2.804201681944013e-09,5.842346413422532e-09
0.0009046802053693,9.759234271967355e-09,3.168107632172757e-09,6.591126639794599e-09
0.0009621680705579,1.1013670082743217e-08,3.5789851439661012e-09,7.434684938777116e-09
0.0010233089996959,1.2427634803636274e-08,4.042835797661963e-09,8.384799005974311e-09
0.0010883351265767,1.4021084527848326e-08,4.566427992213309e-09,9.454656535635018e-09
0.0011574933359255,1.5816408378490083e-08,5.157382471287363e-09,1.0659025907202721e-08
0.0012310462007473,1.7838713454099802e-08,5.824275312516052e-09,1.2014438141583749e-08
0.0013092729792371,2.0116140578157904e-08,6.576762811859439e-09,1.3539377766298464e-08
0.0013924706750403,2.2680215200217652e-08,7.425707169259072e-09,1.525450803095858e-08
0.0014809551648862,2.556623415634507e-08,8.383325615839615e-09,1.7182908540505454e-08
0.0015750623978776,2.8813694679401614e-08,9.463350674755883e-09,1.9350344004645733e-08
0.0016751496709886,3.2466767737944623e-08,1.0681221642939142e-08,2.178554609500548e-08
0.0017815969856142,3.657481923380213e-08,1.2054285645432941e-08,2.4520533588369187e-08
0.0018948084903223,4.1192984677940784e-08,1.3602023066082995e-08,2.759096161185779e-08
0.002015214015284,4.6382801398654434e-08,1.5346301149957334e-08,3.10365002486971e-08
0.0021432707042104,5.2212901315010736e-08,1.731166730619859e-08,3.490123400881215e-08
0.0022794647499905,5.875977097233941e-08,1.9525650842849604e-08,3.923412012948981e-08
0.0024243132406195,6.610858326372533e-08,2.2019117518927798e-08,4.408946574479754e-08
0.0025783661224274,7.435410551521172e-08,2.4826662997059005e-08,4.952744251815272e-08
0.0027422082880605,8.36016895411939e-08,2.7987031890820227e-08,5.561465765037367e-08
0.002916461797143,9.396834901853544e-08,3.1543607743408463e-08,6.242474127512699e-08
0.0031017882380521,1.0558392945803309e-07,3.5544923795523686e-08,7.00390056625094e-08
0.0032988912397697,1.185923748217507e-07,4.00452736592431e-08,7.85471011625076e-08
0.0035085191433519,1.331530994890161e-07,4.510533226231447e-08,8.804776722670162e-08
0.003731467843155,1.494424638242065e-07,5.07928685019231e-08,9.86495953222834e-08
0.0039685838086087,1.6765536808626346e-07,5.7183561365925374e-08,1.104718067203381e-07
0.0042207672980064,1.880069599148724e-07,6.436180287866478e-08,1.2364515703620762e-07
0.0044889757765166,2.1073446350663955e-07,7.242172673348157e-08,1.3831273677315796e-07
0.0047742275513911,2.3609913364462834e-07,8.146816858975001e-08,1.5463096505487832e-07
0.0050776056381728,2.6438834002129146e-07,9.161789241052998e-08,1.7277044761076148e-07
0.0054002618725812,2.959177687197597e-07,1.0300077310700451e-07,1.929169956127552e-07
0.0057434212836877,3.31033770409178e-07,1.1576123595716627e-07,2.1527253445201172e-07
0.0061083867449839,3.7011583035661437e-07,1.3005972152513492e-07,2.400561088314795e-07
0.006496543921002,4.135791724510488e-07,1.4607434642142017e-07,2.675048260296286e-07
0.0069093665282681,4.6187749077662614e-07,1.640026874355202e-07,2.9787480334110595e-07
0.0073484219305622,5.155058135420708e-07,1.840637599118601e-07,3.314420536302107e-07
0.007815377089729,5.750034898973775e-07,2.065001252086254e-07,3.6850336468875205e-07
0.008312004894633,6.409572698273987e-07,2.315802468859619e-07,4.093770229414368e-07
0.008840190892286,7.140045291551852e-07,2.5960098782678304e-07,4.5440354132840216e-07
0.0094019404467045,7.948365948890238e-07,2.908903738498281e-07,5.039462210391957e-07
0.0099993863526764,8.842021777191734e-07,3.2581056563304946e-07,5.58391612086124e-07
0.0106347969333434,9.829108965929162e-07,3.647611114091671e-07,6.181497851837491e-07
0.0113105846523451,1.0918369161954964e-06,4.0818237218860604e-07,6.836545440068904e-07
0.0120293152732203,1.2119225975462085e-06,4.565594032064272e-07,7.553631943397812e-07
0.0127937176008429,1.3441822902062478e-06,5.104259707895784e-07,8.337563194166694e-07
0.0136066938418765,1.4897061973453534e-06,5.7036900375867e-07,9.193371935866833e-07
0.0144713306235837,1.6496643706751227e-06,6.370334107403699e-07,1.012630959934753e-06
0.0153909107128253,1.8253108001087803e-06,7.111271876450072e-07,1.114183612463773e-06
0.0163689254797428,2.017987599127941e-06,7.934269646204638e-07,1.2245606345074772e-06
0.0174090881534448,2.229129280199524e-06,8.847840063485789e-07,1.3443452738509452e-06
0.0185153479200257,2.4602671074589997e-06,9.86130463902589e-07,1.4741366435564107e-06
0.0196919049164424,2.7130337591538083e-06,1.09848632883785e-06,1.6145474303159584e-06
0.0209432261771763,2.989168376467956e-06,1.2229667103703983e-06,1.7662016660975575e-06
0.0222740625942249,3.290521870992856e-06,1.3607896814334366e-06,1.9297321895594196e-06
0.0236894669548157,3.619062531052453e-06,1.513284607642673e-06,2.10577792340978e-06
0.0251948131253257,3.97688198330992e-06,1.6819010312033698e-06,2.2949809521065504e-06
0.0267958164542425,4.366201565290348e-06,1.8682181359862805e-06,2.4979834293040674e-06
0.0284985554716303,4.789379766942691e-06,2.0739542912741344e-06,2.7154254756685564e-06
0.0303094949674878,5.248920654105081e-06,2.3009777065184573e-06,2.9479429475866235e-06
0.0322355105366193,5.747482897780345e-06,2.551317415931739e-06,3.196165481848606e-06
0.0342839146832086,6.287889942895538e-06,2.8271748602544073e-06,3.4607150826411307e-06
0.0364624845842072,6.8731403896610425e-06,3.130935947453999e-06,3.7422044422070434e-06
0.038779491616945,7.506420597426442e-06,3.465183562816361e-06,4.04123703461008e-06
0.0412437327630729,8.19111927006326e-06,3.832710379882628e-06,4.358408890180633e-06
0.0438645640080667,8.930842849171278e-06,4.236532120258316e-06,4.694310728912962e-06
0.0466519358631018,9.7294323762052e-06,4.679901452589758e-06,5.0495309236154424e-06
0.0496164311441627,1.0590981177224314e-05,5.166322366890047e-06,5.424658810334267e-06
0.0527693051518261,1.1519854218865432e-05,5.6995645964229e-06,5.820289622442531e-06
0.0561225284042652,1.2520710645882388e-05,6.283678222358092e-06,6.237032423524296e-06
0.0596888320857217,1.3598527158692237e-05,6.923007998052504e-06,6.6755191606397326e-06
0.0634817563829987,1.4758621186272629e-05,7.622208122903889e-06,7.136413063368739e-06
0.0675157018934936,1.6006675071045693e-05,8.386257321173622e-06,7.620417749872072e-06
0.0718059842999539,1.734876115838494e-05,9.220473638395953e-06,8.128287519988989e-06
0.0763688925195356,1.8791370418563244e-05,1.0130528433694088e-05,8.660841984869156e-06
0.0812217505479433,2.0341438580372083e-05,1.1122460110434366e-05,9.218978469937717e-06
0.0863829832334518,2.200637299195951e-05,1.2202686961983447e-05,9.803686029976061e-06
0.0918721862305363,2.3794077781740185e-05,1.3378020354950713e-05,1.0416057426789472e-05
0.0977102003987026,2.571298097453233e-05,1.4655677154413518e-05,1.105730382011881e-05
0.1039191909289878,2.777206268466523e-05,1.6043290498308313e-05,1.1728772186356917e-05
0.110522731498551,2.9980881217473735e-05,1.754891987271583e-05,1.2431961344757906e-05
0.1175458937728643,3.234959755969455e-05,1.9181060342975193e-05,1.3168537216719355e-05
0.1250153425953162,3.488899987137184e-05,2.0948652241295818e-05,1.394034763007602e-05
0.1329594372256346,3.7610532337036974e-05,2.2861089778573007e-05,1.4749442558463967e-05
0.1414083390115016,4.052632179902006e-05,2.4928229930389984e-05,1.5598091868630076e-05
0.1503941259021549,4.364920340708893e-05,2.7160399625098083e-05,1.6488803781990848e-05
0.1599509142387531,4.699274883069658e-05,2.956840619105444e-05,1.742434263964214e-05
0.1701149882839033,5.05712967477588e-05,3.216355025003141e-05,1.840774649772739e-05
0.1809249379821373,5.4399987380041375e-05,3.495763919329379e-05,1.9442348186747583e-05
0.1924218054743714,5.8494796750100296e-05,3.796300470260414e-05,2.0531792047496156e-05
0.2046492409226218,6.287257524780377e-05,4.119252423217102e-05,2.1680051015632747e-05
0.2176536682365943,6.755109249647233e-05,4.465965185248343e-05,2.2891440643988903e-05
0.2314844613313631,7.254908709257232e-05,4.837845384656806e-05,2.417063324600426e-05
0.2461941315853368,7.788632256962052e-05,5.236365174298856e-05,2.552267082663196e-05
0.2618385272102325,8.358364924200632e-05,5.663067504597951e-05,2.6952974196026815e-05
0.2784770452900065,8.96630759435788e-05,6.119572790278546e-05,2.846734804079334e-05
0.2961728572937903,9.614785035517558e-05,6.607586359724036e-05,3.0071986757935226e-05
0.3149931489190346,0.000103062549495,7.128906929273243e-05,3.177348020226757e-05
0.3350093751754794,0.0001104331783561,7.685436165814342e-05,3.357881669795657e-05
