time_s,mean_gas_concentration_mol_m3,gas_inventory_mol,adsorbed_inventory_mol,total_inventory_mol,cumulative_reservoir_input_mol,inventory_change_mol,mass_balance_residual_mol,relative_mass_balance_error,mean_loading_mol_kg
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5e-05,0.00019987734359934274,6.435898779045347e-10,1.811046837726054e-13,6.437709825883073e-10,6.437709825883073e-10,6.437709825883073e-10,0.0,0.0,2.8528530444505553e-11
5.3177247874300556e-05,0.00021253648321423543,6.84351346775447e-10,2.048137296751437e-13,6.845561605051222e-10,6.845561605051222e-10,6.845561605051222e-10,0.0,0.0,3.226329988144629e-11
5.655639382969606e-05,0.0002259945518418154,7.276853064373141e-10,2.3162382703254545e-13,7.279169302643466e-10,7.279169302643466e-10,7.279169302643466e-10,0.0,0.0,3.648656270794028e-11
6.0150267471166206e-05,0.00024030160074066498,7.737529181444324e-10,2.6194001170179005e-13,7.740148581561342e-10,7.74014858156134e-10,7.740148581561342e-10,2.0679515313825692e-25,2.6717207164586784e-16,4.126212223120327e-11
6.397251366039366e-05,0.00025551076845924407,8.227252839902136e-10,2.9622011699312956e-13,8.230215041072067e-10,8.230215041072067e-10,8.230215041072067e-10,0.0,0.0,4.666209868168955e-11
6.803764432121665e-05,0.00027167846464494505,8.747840387583909e-10,3.349817037196908e-13,8.751190204621106e-10,8.751190204621106e-10,8.751190204621106e-10,0.0,0.0,5.2768020869734664e-11
7.236109353705672e-05,0.0002888645652043317,9.301219783241789e-10,3.788095997382917e-13,9.305007879239172e-10,9.305007879239172e-10,9.305007879239172e-10,0.0,0.0,5.967201385235245e-11
7.695927614951026e-05,0.00030713261644438897,9.88943716973606e-10,4.283648121404437e-13,9.893720817857465e-10,9.893720817857465e-10,9.893720817857465e-10,0.0,0.0,6.747820282686741e-11
8.184965008058509e-05,0.000326550051137355,1.051466383115875e-09,4.843943646326907e-13,1.0519507774805076e-09,1.0519507774805078e-09,1.0519507774805076e-09,-2.0679515313825692e-25,1.9658253747722408e-16,7.63042627650747e-11
8.705078261520076e-05,0.0003471884155931624,1.1179203504393933e-09,5.477425153700557e-13,1.1184680929547633e-09,1.1184680929547633e-09,1.1184680929547633e-09,0.0,0.0,8.628318550339104e-11
9.258242089560769e-05,0.00036912361003902945,1.188550011915814e-09,6.193631242524558e-13,1.1891693750400665e-09,1.1891693750400667e-09,1.1891693750400665e-09,-2.0679515313825692e-25,1.7389882171434945e-16,9.756522790225606e-11
9.846556689537107e-05,0.0003924361396295396,1.2636145880334427e-09,7.003340097322558e-13,1.264314922043175e-09,1.264314922043175e-09,1.264314922043175e-09,0.0,0.0,1.1032017340344173e-10
0.00010472255715757342,0.0004172113787482916,1.3433889778284934e-09,7.91873025102218e-13,1.3441808508535957e-09,1.3441808508535959e-09,1.3441808508535957e-09,-2.0679515313825692e-25,1.5384473972154542e-16,1.2473986444865506e-10
0.0001113771475999778,0.00044353984978148705,1.4281646565148848e-09,8.953559496442571e-13,1.429060012464529e-09,1.429060012464529e-09,1.429060012464529e-09,0.0,0.0,1.4104102078424066e-10
0.00011845460370913158,0.0004715175140558731,1.5182506122823367e-09,1.0123369877396223e-12,1.5192629492700763e-09,1.5192629492700763e-09,1.5192629492700763e-09,0.0,0.0,1.5946846858522515e-10
0.0001259817964658508,0.0005012460775346375,1.613974330613953e-09,1.144571727597747e-12,1.6151189023415506e-09,1.615118902341551e-09,1.6151189023415506e-09,-4.1359030627651384e-25,2.5607421576015427e-16,1.8029875703099765e-10
0.00013398730436628458,0.000532833310565631,1.7156828238512327e-09,1.2940430948477482e-12,1.7169768669460805e-09,1.7169768669460805e-09,1.7169768669460805e-09,0.0,0.0,2.0384424664697934e-10
0.0001425015219259054,0.0005663933825140068,1.823743708685774e-09,1.4629905580920397e-12,1.825206699243866e-09,1.825206699243866e-09,1.825206699243866e-09,0.0,0.0,2.3045770991189695e-10
0.00015155677507837893,0.0006020472111314287,1.9385463311016107e-09,1.6539430818902064e-12,1.940200274183501e-09,1.9402002741835017e-09,1.940200274183501e-09,-8.271806125530277e-25,4.263377464479185e-16,2.60537522179321e-10
0.0001611874439074515,0.0006399228269335218,2.0605029396429516e-09,1.869756259275953e-12,2.0623726959022277e-09,2.0623726959022273e-09,2.0623726959022277e-09,4.1359030627651384e-25,2.0054101137892548e-16,2.9453351098050106e-10
0.0001714300931778293,0.000680155752670244,2.19004990727998e-09,2.113654148834669e-12,2.192163561428815e-09,2.1921635614288145e-09,2.192163561428815e-09,4.1359030627651384e-25,1.8866763117207491e-16,3.3295354641350504e-10
0.00018232361116063742,0.0007228893979796226,2.327649002163934e-09,2.3892763917029605e-12,2.330038278555637e-09,2.330038278555637e-09,2.330038278555637e-09,0.0,0.0,3.7637096325250767e-10
0.00019390935728053616,0.0007682754688786471,2.473788706156707e-09,2.7007312802780354e-12,2.476489437436985e-09,2.4764894374369854e-09,2.476489437436985e-09,-4.1359030627651384e-25,1.6700669101361256e-16,4.254329206006706e-10
0.00020623131914506758,0.000816474391870664,2.6289855804244733e-09,3.05265550767244e-12,2.6320382359321457e-09,2.6320382359321457e-09,2.6320382359321457e-09,0.0,0.0,4.80869813927993e-10
0.0002193362795524249,0.0008676557525791685,2.7937856778052085e-09,3.4502813851819125e-12,2.7972359591903903e-09,2.7972359591903907e-09,2.7972359591903903e-09,-4.1359030627651384e-25,1.4785678159100316e-16,5.435058635085512e-10
0.00023327399411172362,0.0009219987475526646,2.9687659975860544e-09,3.8995125228881066e-12,2.9726655101089425e-09,2.972665510108943e-09,2.9726655101089425e-09,-4.1359030627651384e-25,1.3913112823156362e-16,6.142710360137672e-10
0.0002480973801501451,0.0009796926493512081,3.1545359830466928e-09,4.4070088932068596e-12,3.1589429919398996e-09,3.1589429919399e-09,3.1589429919398996e-09,-4.1359030627651384e-25,1.309268028362009e-16,6.942144441549575e-10
