effective_diffusivity_m2_s,normalized_rmse
1.6336495955869183e-07,0.3457808404385544
9.181895579395011e-07,0.059763830338149714
2.6688110011613023e-06,0.5347253170081242
5.656760421265733e-07,0.09609126791450444
1.2045559807221835e-06,0.15635535678470316
7.697010722219447e-07,0.023687792893196034
7.510943538671836e-07,0.025828776028815142
7.835696269633546e-07,0.023626151012320372
7.772797942672258e-07,0.02348622531127706
7.760873790773588e-07,0.023491023733945064
7.784740415368603e-07,0.023491484869663036
