time_s,mean_gas_concentration_mol_m3,gas_inventory_mol,adsorbed_inventory_mol,total_inventory_mol,cumulative_reservoir_input_mol,inventory_change_mol,mass_balance_residual_mol,relative_mass_balance_error,mean_loading_mol_kg
0.0,0.05454992550169949,1.7643814325334263e-07,0.0,1.7643814325334263e-07,0.0,0.0,0.0,0.0,0.0
5e-05,0.0546562877156052,1.7678216483286348e-07,7.279685925918027e-11,1.7685496169212266e-07,4.1681843878002165e-10,4.1681843878003174e-10,1.0081263715490025e-23,2.4186223011142333e-14,1.146733133775557e-08
5.3177247874300556e-05,0.054662987430725604,1.7680383462040762e-07,7.742714226511855e-11,1.7688126176267273e-07,4.4311850933013626e-10,4.4311850933010013e-10,-3.6137453010910397e-23,8.155256945944213e-14,1.2196717055175475e-08
5.655639382969606e-05,0.054670105292508236,1.7682685687580597e-07,8.2352230666123e-11,1.769092091064721e-07,4.710658531294307e-10,4.710658531294691e-10,3.8463898483715787e-23,8.165291164321404e-14,1.297254201708731e-08
6.0150267471166206e-05,0.054677666908292545,1.7685131442431237e-07,8.759093237002826e-11,1.769389053566824e-07,5.007621033397842e-10,5.007621033397625e-10,-2.1713491079516976e-23,4.336089119903634e-14,1.379776894074433e-08
6.397251366039366e-05,0.05468569939229916,1.7687729496508865e-07,9.316326004637671e-11,1.7697045822513503e-07,5.323149717923828e-10,5.323149717923989e-10,1.602662436821491e-23,3.010740861608763e-14,1.4675550323588465e-08
6.803764432121665e-05,0.05469423144665281,1.7690489133326788e-07,9.909050891403812e-11,1.770039818421819e-07,5.658385888392809e-10,5.658385888392802e-10,-7.237830359838992e-25,1.279133396449001e-15,1.5609240696751622e-08
7.236109353705672e-05,0.054703293446003914,1.7693420177365742e-07,1.0539533962552824e-10,1.7703959711328295e-07,6.014538599402933e-10,6.014538599403219e-10,2.8537731133079455e-23,4.744791418565517e-14,1.6602409681414885e-08
7.695927614951026e-05,0.05471291752553144,1.7696533022537834e-07,1.1210186659395116e-10,1.770774320919723e-07,6.392888386296656e-10,6.392888386296616e-10,-4.03250548619601e-24,6.3077989830696935e-15,1.7658855902517486e-08
8.184965008058509e-05,0.05472313767242692,1.769983866177644e-07,1.19235752129018e-10,1.7711762236989343e-07,6.794791165507607e-10,6.794791165508e-10,3.9291079096268815e-23,5.78252931388382e-14,1.8782621817541035e-08
8.705078261520076e-05,0.05473398982099543,1.7703348717796e-07,1.2682430677393934e-10,1.7716031148473392e-07,7.221682313912935e-10,7.221682313912946e-10,1.137373342260413e-24,1.5749423649794234e-15,1.997800952208686e-08
