effective_diffusivity_m2_s,normalized_rmse
1.6336495955869183e-07,0.33522990062833186
9.181895579395011e-07,0.13008942622693395
2.6688110011613023e-06,0.6828345735004847
5.025957291667926e-07,0.08047385902714578
5.39752553032697e-07,0.05967841084814678
6.407236322823094e-07,0.017710637159985675
7.351185219986348e-07,0.048501939413699735
6.374604608697433e-07,0.0179990774696508
6.483279497043248e-07,0.017664551902810296
6.801987213915132e-07,0.025190757604179704
6.449193527532435e-07,0.01757607564064924
6.439299882747431e-07,0.017583554682399062
6.459102373381052e-07,0.01758359422525171
