target,feature,n,pearson_r,pearson_p,spearman_rho,spearman_p,pearson_p_fdr,spearman_p_fdr,abs_spearman_rho
final_uptake_mol_kg,network_inlet_pores,20,0.7734358753130549,6.342942044254703e-05,0.7470215268897568,0.00015399159566692377,0.0011417295679658466,0.002771848722004628,0.7470215268897568
final_uptake_mol_kg,network_geometric_tortuosity,20,-0.402900046028394,0.07818041383284947,-0.4586466165413533,0.04195431160933542,0.4690824829970968,0.2752995528000385,0.4586466165413533
final_uptake_mol_kg,network_shortest_inlet_outlet_path_m,20,-0.4058080996684775,0.07585300118184793,-0.45112781954887216,0.04588325880000641,0.4690824829970968,0.2752995528000385,0.45112781954887216
final_uptake_mol_kg,network_throat_count,20,0.21759007819830453,0.3567660744278124,0.24812030075187969,0.291522687103458,0.9173984771000889,0.8225160477290997,0.24812030075187969
final_uptake_mol_kg,network_pore_count,20,0.23809149287956988,0.31208817901190333,0.22874348085666485,0.3320230626033087,0.9173984771000889,0.8225160477290997,0.22874348085666485
final_uptake_mol_kg,network_minimum_throat_radius_m,20,-0.27671020896028714,0.2375862195904931,-0.20751879699248119,0.37999323699324683,0.8676448878879224,0.8225160477290997,0.20751879699248119
final_uptake_mol_kg,network_median_pore_volume_m3,20,-0.16538458501844783,0.4859151159782363,-0.19548872180451127,0.40881908952023194,0.9718302319564727,0.8225160477290997,0.19548872180451127
final_uptake_mol_kg,network_degree_cv,20,0.27477812277863334,0.2410124688577562,0.15488721804511277,0.5143826800752827,0.8676448878879224,0.8225160477290997,0.15488721804511277
final_uptake_mol_kg,network_outlet_pores,20,-0.14006087087813882,0.5558915338869703,-0.14873665420249055,0.5314217078447496,0.9967950955972719,0.8225160477290997,0.14873665420249055
final_uptake_mol_kg,network_total_pore_volume_m3,20,-0.0009599942004533957,0.9967950955972719,0.13082706766917293,0.5824730901969897,0.9967950955972719,0.8225160477290997,0.13082706766917293
final_uptake_mol_kg,network_median_throat_radius_m,20,0.003724665739247783,0.987565773468084,0.11578947368421053,0.6268789936728247,0.9967950955972719,0.8225160477290997,0.11578947368421053
final_uptake_mol_kg,network_analytic_porosity,20,-0.005921079391588549,0.9802344993019761,0.10225563909774435,0.66793535735332,0.9967950955972719,0.8225160477290997,0.10225563909774435
final_uptake_mol_kg,network_mean_throat_length_m,20,-0.08041844011685961,0.7360931340237957,-0.09774436090225563,0.681832438507082,0.9967950955972719,0.8225160477290997,0.09774436090225563
final_uptake_mol_kg,network_pore_volume_cv,20,0.0593100645846141,0.8038388324148993,0.09473684210526315,0.6911525963694354,0.9967950955972719,0.8225160477290997,0.09473684210526315
final_uptake_mol_kg,network_throat_radius_p10_m,20,-0.17759088973859544,0.45382290381790413,-0.08270676691729321,0.7288508763559796,0.9718302319564727,0.8225160477290997,0.08270676691729321
final_uptake_mol_kg,network_mean_pore_volume_m3,20,-0.08780530877514048,0.7127947483881993,-0.07218045112781954,0.7623392575365604,0.9967950955972719,0.8225160477290997,0.07218045112781954
final_uptake_mol_kg,network_mean_degree,20,0.023872448878001953,0.9204235073846929,0.06766917293233082,0.7768207117441497,0.9967950955972719,0.8225160477290997,0.06766917293233082
final_uptake_mol_kg,network_mean_throat_radius_m,20,-0.08402596375857889,0.7246857730211647,-0.0015037593984962405,0.9949797739432688,0.9967950955972719,0.9949797739432688,0.0015037593984962405
t50_final_uptake_s,network_inlet_pores,20,-0.8226890137362334,8.476347930303182e-06,-0.7706517996791267,7.002031186310977e-05,0.00015257426274545727,0.0012603656135359758,0.7706517996791267
t50_final_uptake_s,network_mean_throat_radius_m,20,0.44221943617992343,0.050897824858627996,0.5112781954887218,0.021220644133224758,0.30538694915176795,0.13835537684504515,0.5112781954887218
t50_final_uptake_s,network_median_throat_radius_m,20,0.47511903595442134,0.03425696349350673,0.5052631578947367,0.023059229474174193,0.30538694915176795,0.13835537684504515,0.5052631578947367
t50_final_uptake_s,network_mean_pore_volume_m3,20,0.3201894932495223,0.16873333496870527,0.3924812030075188,0.08695594245899081,0.4338857184909564,0.270504686267033,0.3924812030075188
t50_final_uptake_s,network_pore_count,20,0.24662319629406715,0.2945385454625986,0.3799850586599202,0.09841419996573153,0.5501801318085138,0.270504686267033,0.3799850586599202
t50_final_uptake_s,network_analytic_porosity,20,0.3519556929716013,0.12805385357143728,0.35037593984962395,0.12989410232900506,0.4338857184909564,0.270504686267033,0.35037593984962395
t50_final_uptake_s,network_median_pore_volume_m3,20,0.33591475834372264,0.14761759202791094,0.34736842105263155,0.13344922901624715,0.4338857184909564,0.270504686267033,0.34736842105263155
t50_final_uptake_s,network_total_pore_volume_m3,20,0.3514096372476462,0.12868784534578512,0.34736842105263155,0.13344922901624715,0.4338857184909564,0.270504686267033,0.34736842105263155
t50_final_uptake_s,network_throat_count,20,0.24118401894663566,0.3056556287825077,0.34586466165413526,0.1352523431335165,0.5501801318085138,0.270504686267033,0.34586466165413526
t50_final_uptake_s,network_minimum_throat_radius_m,20,-0.13608334478039674,0.5672752194745132,-0.3037593984962406,0.19291416827770463,0.6889573202873526,0.34724550289986833,0.3037593984962406
t50_final_uptake_s,network_outlet_pores,20,0.24216014329122745,0.3036420698915485,0.2801081152747411,0.23163718279130577,0.5501801318085138,0.37904266274940945,0.2801081152747411
