target,feature,spearman_rho,bootstrap_valid,ci95_low,ci95_high
final_uptake_mol_kg,network_inlet_pores,0.7470215268897568,5000,0.41767794194609575,0.915774852488786
final_uptake_mol_kg,network_geometric_tortuosity,-0.4586466165413533,5000,-0.7532462447765689,-0.03457568597148546
final_uptake_mol_kg,network_shortest_inlet_outlet_path_m,-0.45112781954887216,5000,-0.7811550151975684,0.0007930572945894857
final_uptake_mol_kg,network_throat_count,0.24812030075187969,5000,-0.2678652309877864,0.6851135802987517
final_uptake_mol_kg,network_pore_count,0.22874348085666485,5000,-0.26218784182908,0.6757637120638634
final_uptake_mol_kg,network_minimum_throat_radius_m,-0.20751879699248119,5000,-0.6323813581602155,0.29151441966683944
final_uptake_mol_kg,network_median_pore_volume_m3,-0.19548872180451127,5000,-0.6434058484551111,0.30967674175153115
final_uptake_mol_kg,network_degree_cv,0.15488721804511277,5000,-0.3019762388311504,0.5387124660872761
final_uptake_mol_kg,network_outlet_pores,-0.14873665420249055,5000,-0.6559569441957934,0.40049162491006113
final_uptake_mol_kg,network_total_pore_volume_m3,0.13082706766917293,5000,-0.33893213459276966,0.603968318028144
final_uptake_mol_kg,network_median_throat_radius_m,0.11578947368421053,5000,-0.3617741706143403,0.5396833834544843
final_uptake_mol_kg,network_analytic_porosity,0.10225563909774435,5000,-0.3701371490678654,0.5802741051925981
final_uptake_mol_kg,network_mean_throat_length_m,-0.09774436090225563,5000,-0.5345020144804381,0.3808777071882838
final_uptake_mol_kg,network_pore_volume_cv,0.09473684210526315,5000,-0.4453162307718977,0.6600617273955364
final_uptake_mol_kg,network_throat_radius_p10_m,-0.08270676691729321,5000,-0.5514920221460219,0.4000417615793464
final_uptake_mol_kg,network_mean_pore_volume_m3,-0.07218045112781954,5000,-0.5254019034136418,0.3869384232397393
final_uptake_mol_kg,network_mean_degree,0.06766917293233082,5000,-0.38940549514830364,0.525921665786988
final_uptake_mol_kg,network_mean_throat_radius_m,-0.0015037593984962405,5000,-0.46166806097787705,0.4579172286591096
t50_final_uptake_s,network_inlet_pores,-0.7706517996791267,5000,-0.9330567455030664,-0.4787779655871425
t50_final_uptake_s,network_mean_throat_radius_m,0.5112781954887218,5000,0.0786485316025915,0.8032111554756954
t50_final_uptake_s,network_median_throat_radius_m,0.5052631578947367,5000,0.05773284639476695,0.7974143647241435
t50_final_uptake_s,network_mean_pore_volume_m3,0.3924812030075188,5000,-0.0968437528988835,0.7538180436584689
t50_final_uptake_s,network_pore_count,0.3799850586599202,5000,-0.0830035369672261,0.7052319285120666
t50_final_uptake_s,network_analytic_porosity,0.35037593984962395,5000,-0.14436905968060987,0.6957293161913083
t50_final_uptake_s,network_median_pore_volume_m3,0.34736842105263155,5000,-0.16958532458924896,0.7334373899161301
t50_final_uptake_s,network_total_pore_volume_m3,0.34736842105263155,5000,-0.15805868033105616,0.6954603089945633
t50_final_uptake_s,network_throat_count,0.34586466165413526,5000,-0.1235903683967247,0.6836721429083862
t50_final_uptake_s,network_minimum_throat_radius_m,-0.3037593984962406,5000,-0.7350739802524048,0.23347463797427367
t50_final_uptake_s,network_outlet_pores,0.2801081152747411,5000,-0.20353154781187843,0.6889871245597708
t50_final_uptake_s,network_degree_cv,-0.20300751879699244,5000,-0.6244298207130531,0.24390336289726533
t50_final_uptake_s,network_mean_degree,0.193984962406015,5000,-0.3009269365386386,0.6096832185191439
t50_final_uptake_s,network_throat_radius_p10_m,0.17142857142857143,5000,-0.2920670980569993,0.5572870494771888
t50_final_uptake_s,network_geometric_tortuosity,-0.10977443609022557,5000,-0.5504982269564648,0.36843105863518094
t50_final_uptake_s,network_pore_volume_cv,0.10075187969924812,5000,-0.46708565639004895,0.5857438154393416
t50_final_uptake_s,network_shortest_inlet_outlet_path_m,0.04210526315789473,5000,-0.44243045489059163,0.5019303557910668
t50_final_uptake_s,network_mean_throat_length_m,0.021052631578947364,5000,-0.47939399013754325,0.5175819845016784
underutilized_particle_fraction,network_inlet_pores,-0.7419646453686882,5000,-0.8980205339948734,-0.40380904188783723
underutilized_particle_fraction,network_geometric_tortuosity,0.4279804740420139,5000,0.0198043103944149,0.7356813078439037
underutilized_particle_fraction,network_shortest_inlet_outlet_path_m,0.42045884883916657,5000,-0.061897200240262636,0.7702336825413478
underutilized_particle_fraction,network_throat_count,-0.28281310762706013,5000,-0.7059287566003772,0.18883757509988303
underutilized_particle_fraction,network_pore_count,-0.2547986631345745,5000,-0.6921392720493244,0.2221443220980824
underutilized_particle_fraction,network_median_pore_volume_m3,0.2158706433217188,5000,-0.2695795799188562,0.6279455998320234
underutilized_particle_fraction,network_minimum_throat_radius_m,0.14742385397580798,5000,-0.3771864803564575,0.5885067749010551
underutilized_particle_fraction,network_total_pore_volume_m3,-0.14742385397580798,5000,-0.6366795758278968,0.3495195223654282
underutilized_particle_fraction,network_outlet_pores,0.1325538152995813,5000,-0.377362653719476,0.6318645801538884
underutilized_particle_fraction,network_mean_degree,-0.1263633034078354,5000,-0.5906106071218217,0.32727583290935014
underutilized_particle_fraction,network_analytic_porosity,-0.12335465332669647,5000,-0.5855605538251138,0.3783576495768846
underutilized_particle_fraction,network_degree_cv,-0.1045505903195781,5000,-0.4998157248091411,0.36310816529591855
underutilized_particle_fraction,network_pore_volume_cv,-0.10154194023843915,5000,-0.6616149115127223,0.4179428176987864
underutilized_particle_fraction,network_mean_throat_length_m,0.10154194023843915,5000,-0.3597257723252562,0.5391404268417418
underutilized_particle_fraction,network_median_throat_radius_m,-0.10003761519786969,5000,-0.5346157565849123,0.34759741738126737
underutilized_particle_fraction,network_throat_radius_p10_m,0.07220760194733451,5000,-0.42101334374735333,0.5257665233499139
underutilized_particle_fraction,network_mean_pore_volume_m3,0.06017300162277876,5000,-0.38148664976063373,0.4948088938207091
underutilized_particle_fraction,network_mean_throat_radius_m,0.009025950243416814,5000,-0.469524580069263,0.4604863221884498
