effective_diffusivity_m2_s,normalized_rmse
1.6336495955869183e-07,0.3494823530028022
9.181895579395011e-07,0.10859897046470196
2.6688110011613023e-06,0.6535150852960223
5.226440155420854e-07,0.08624358348915974
6.090659509636648e-07,0.040272217771256724
6.763499123763781e-07,0.014089570791404254
7.601190096847247e-07,0.03953975625792073
6.809464071081354e-07,0.01371460207247491
6.862462369212963e-07,0.013749176982572092
6.832211598050066e-07,0.013667660380037838
6.842708925115502e-07,0.013677412640228837
6.821730374822558e-07,0.013677716349878336
