seed,axial_bin,mean_loading_mol_kg,mean_loading_over_inlet_equilibrium,particle_count,z_high_m,z_low_m
105019,0,1.2162299734857036,0.5267260727499795,192,0.0036601157000000005,-1.2270000000000206e-06
105019,1,0.5837541244942043,0.25281281020003504,189,0.0073214584000000004,0.0036601157000000005
105019,2,0.18042836692220762,0.07814009454910366,190,0.010982801100000002,0.0073214584000000004
105019,3,0.04187376704541204,0.018134732203536386,196,0.014644143800000002,0.010982801100000002
105019,4,0.006317736303412416,0.0027360914500644895,189,0.018305486500000002,0.014644143800000002
105019,5,0.0007784997602214171,0.0003371534416003667,198,0.021966829200000003,0.018305486500000002
105019,6,7.855295835316289e-05,3.401979243914806e-05,193,0.025628171900000003,0.021966829200000003
105019,7,7.143065750257251e-06,3.09352593839204e-06,191,0.029289514600000004,0.025628171900000003
105019,8,5.90213848603542e-07,2.5561039386869623e-07,194,0.032950857300000004,0.029289514600000004
105019,9,5.45939988942071e-08,2.3643622719515593e-08,118,0.036612200000000004,0.032950857300000004
113117,0,1.577421339302214,0.6831511845916817,194,0.0036584519,-1.2090000000000625e-06
113117,1,0.8219989530337846,0.3559921147932222,193,0.0073181128,0.0036584519
113117,2,0.27797645485280054,0.12038631638221066,199,0.0109777737,0.0073181128
113117,3,0.062407509708056336,0.027027505665249193,186,0.0146374346,0.0109777737
113117,4,0.010820099623757405,0.0046859793836944615,196,0.018297095500000003,0.0146374346
113117,5,0.0013402732047732451,0.0005804468373189117,194,0.021956756400000003,0.018297095500000003
113117,6,0.00013912187990898885,6.025104053967581e-05,189,0.025616417300000003,0.021956756400000003
113117,7,1.2238241743451358e-05,5.300149767250222e-06,191,0.029276078200000003,0.025616417300000003
113117,8,9.752765595624172e-07,4.223737313356567e-07,193,0.0329357391,0.029276078200000003
113117,9,1.0652135516662322e-07,4.613237323046513e-08,115,0.0365954,0.0329357391
121021,0,1.4974389651603204,0.6485123393573068,195,0.003656218,-1.4799999999999926e-06
121021,1,0.8146286711100195,0.3528001858510018,187,0.007313916,0.003656218
121021,2,0.28822329282457904,0.12482402704601851,193,0.010971614,0.007313916
121021,3,0.06432948448974854,0.02785987639344613,195,0.014629312,0.010971614
121021,4,0.010517010948679807,0.004554717442286227,191,0.01828701,0.014629312
121021,5,0.001475269769503207,0.0006389112823047242,193,0.021944707999999997,0.01828701
121021,6,0.0001589907047156218,6.88558507225406e-05,190,0.025602405999999998,0.021944707999999997
121021,7,1.5061297468840276e-05,6.522761516512401e-06,194,0.029260104,0.025602405999999998
121021,8,1.2760190137284125e-06,5.526195690846205e-07,190,0.032917802,0.029260104
121021,9,1.4297099438239688e-07,6.1918018820381e-08,122,0.036575500000000004,0.032917802
129121,0,1.3338544137473045,0.5776669809902547,190,0.0036429802,-1.1219999999999937e-06
129121,1,0.660099034912217,0.2858763390684111,190,0.0072870824,0.0036429802
129121,2,0.2073217807375226,0.0897871206466293,195,0.010931184600000001,0.0072870824
129121,3,0.04330700421551847,0.018755439966366676,197,0.014575286800000002,0.010931184600000001
129121,4,0.007120407259843897,0.003083712977085336,193,0.018219389000000002,0.014575286800000002
129121,5,0.0008807788329126795,0.0003814485629652667,189,0.0218634912,0.018219389000000002
129121,6,9.525189062545397e-05,4.125178244650925e-05,194,0.025507593400000004,0.0218634912
129121,7,8.354820490148415e-06,3.6183138725767164e-06,190,0.029151695600000003,0.025507593400000004
129121,8,6.452516870822025e-07,2.794462350718429e-07,199,0.032795797800000005,0.029151695600000003
129121,9,6.845850997943397e-08,2.9648078812297413e-08,113,0.036439900000000004,0.032795797800000005
137077,0,1.4695726078612774,0.6364439499392218,193,0.0036058847,-1.0170000000000751e-06
