time_s,mean_gas_concentration_mol_m3,gas_inventory_mol,adsorbed_inventory_mol,total_inventory_mol,cumulative_reservoir_input_mol,mass_balance_residual_mol,relative_mass_balance_error,mean_loading_mol_kg,inlet_cell_concentration_mol_m3,top_cell_concentration_mol_m3
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5e-05,4.479675760300213e-05,1.43146330936835e-10,4.0837492379170446e-14,1.4318716842921416e-10,1.4318716842929045e-10,-7.628156211387452e-23,5.327402095498826e-13,6.444796157495531e-12,0.004478727097209342,0.0
5.317724787430056e-05,4.764138465784247e-05,1.5223622823236514e-10,4.618544952099537e-14,1.5228241368188614e-10,1.5228241368198444e-10,-9.830524592309888e-23,6.455456250410663e-13,7.288787588655589e-12,0.004763065580733578,0.0
5.655639382969606e-05,5.066651345223463e-05,1.6190291195457249e-10,5.2234530708969036e-14,1.6195514648528146e-10,1.6195514648540468e-10,-1.2322406187625884e-22,7.608530173344243e-13,8.243427379822491e-12,0.005065437952960318,0.0
6.0150267471166206e-05,5.388357987279279e-05,1.7218292504311208e-10,5.907666381325693e-14,1.7224200170692533e-10,1.7224200170707707e-10,-1.5173594361519601e-22,8.809462390784645e-13,9.323223189275257e-12,0.005386985667336081,0.0
6.397251366039366e-05,5.7304742029074286e-05,1.8311511827351737e-10,6.681583043616805e-14,1.8318193410395354e-10,1.8318193410413764e-10,-1.8409938508133322e-22,1.005008414075779e-12,1.0544584943088422e-11,0.0057289221196304705,0.0
6.803764432121665e-05,6.0942925561065995e-05,1.947407950355455e-10,7.556964645596462e-14,1.9481636468200145e-10,1.9481636468222238e-10,-2.2093477173408524e-22,1.1340668023164597e-12,1.1926074269709845e-11,0.0060925371419737525,0.0
7.236109353705672e-05,6.48118717488739e-05,2.0710386506585592e-10,8.547114982170529e-14,2.0718933621567764e-10,2.0718933621594037e-10,-2.627332420621554e-22,1.2680828408481658e-12,1.3488686641998968e-11,0.006479201772300935,0.0
7.695927614951026e-05,6.892618859260315e-05,2.202510076718197e-10,9.667082277536445e-14,2.2034767849459505e-10,2.2034767849490535e-10,-3.102961272839545e-22,1.4082114656412359e-12,1.52561705155623e-11,0.0068903733153699125,0.0
8.184965008058509e-05,7.330140503976932e-05,2.3423184501314465e-10,1.0933887924102097e-13,2.3434118389238566e-10,2.3434118389274993e-10,-3.6426966225303956e-22,1.554441503631532e-12,1.7255388314607238e-11,0.007327600712373733,0.0
8.705078261520076e-05,7.795402854735589e-05,2.49099126039235e-10,1.2366785215174422e-13,2.4922279389138673e-10,2.4922279389181247e-10,-4.257395215233864e-22,1.7082687938575947e-12,1.9516724752664083e-11,0.007792530237050874,0.0
9.258242089560768e-05,8.2901606175832e-05,2.6490892171279643e-10,1.3987552004419431e-13,2.650487972328406e-10,2.6504879723333594e-10,-4.953260905544099e-22,1.8688109349100314e-12,2.2074548695069134e-11,0.008286911537111462,0.0
9.846556689537109e-05,8.816278942307078e-05,2.8172083218414943e-10,1.582082174082022e-13,2.8187904040155765e-10,2.818790404021321e-10,-5.744769354180777e-22,2.0380264336025902e-12,2.4967735583996482e-11,0.008812604040740113,0.0
0.0001047225571575,9.375740805482046e-05,2.995982227136853e-10,1.7893622018971354e-13,2.9977715893387497e-10,2.997771589345333e-10,-6.583323700156409e-22,2.1960724838259293e-12,2.8238939198520538e-11,0.009371584470187523,0.0
