residual_target,descriptor,spearman_r,spearman_p
t50_final_uptake_s_residual_after_inlet_count,network_pore_count,0.4958616904096781,0.026183517709816747
t50_final_uptake_s_residual_after_inlet_count,network_throat_count,0.49022556390977434,0.02821080561889401
normalized_uptake_auc_residual_after_inlet_count,network_inlet_pores,0.06098134913385769,0.7984187502045514
normalized_uptake_auc_residual_after_inlet_count,network_analytic_porosity,-0.4421052631578947,0.05096470340964167
normalized_uptake_auc_residual_after_inlet_count,network_geometric_tortuosity,0.5097744360902255,0.02166896662153532
normalized_uptake_auc_residual_after_inlet_count,network_pore_volume_cv,-0.544360902255639,0.013082608661519562
normalized_uptake_auc_residual_after_inlet_count,network_mean_throat_radius_m,-0.4526315789473684,0.04507568878304835
normalized_uptake_auc_residual_after_inlet_count,network_throat_radius_p10_m,-0.08270676691729321,0.7288508763559796
normalized_uptake_auc_residual_after_inlet_count,network_mean_degree,-0.4270676691729323,0.060376047595293955
normalized_uptake_auc_residual_after_inlet_count,network_pore_count,-0.49811902739181624,0.02540456073060758
normalized_uptake_auc_residual_after_inlet_count,network_throat_count,-0.4766917293233082,0.03358407951093336
particle_loading_cv_residual_after_inlet_count,network_inlet_pores,-0.009147202370078654,0.9694691475786226
particle_loading_cv_residual_after_inlet_count,network_analytic_porosity,-0.1744360902255639,0.4620108862392819
particle_loading_cv_residual_after_inlet_count,network_geometric_tortuosity,0.5187969924812029,0.019088394384192506
particle_loading_cv_residual_after_inlet_count,network_pore_volume_cv,0.06766917293233082,0.7768207117441497
particle_loading_cv_residual_after_inlet_count,network_mean_throat_radius_m,-0.1413533834586466,0.5522144386322418
particle_loading_cv_residual_after_inlet_count,network_throat_radius_p10_m,-0.11879699248120301,0.6178918280262935
particle_loading_cv_residual_after_inlet_count,network_mean_degree,0.17744360902255638,0.4542034838793192
particle_loading_cv_residual_after_inlet_count,network_pore_count,-0.23325815482094112,0.32230350784530615
particle_loading_cv_residual_after_inlet_count,network_throat_count,-0.1969924812030075,0.40515233009814566
axial_loading_bottom_minus_top_over_mean_residual_after_inlet_count,network_inlet_pores,-0.09680789174999911,0.6847298331874534
axial_loading_bottom_minus_top_over_mean_residual_after_inlet_count,network_analytic_porosity,-0.21654135338345865,0.3591457825704002
axial_loading_bottom_minus_top_over_mean_residual_after_inlet_count,network_geometric_tortuosity,0.524812030075188,0.017508741658873835
axial_loading_bottom_minus_top_over_mean_residual_after_inlet_count,network_pore_volume_cv,0.0015037593984962405,0.9949797739432688
axial_loading_bottom_minus_top_over_mean_residual_after_inlet_count,network_mean_throat_radius_m,-0.22105263157894736,0.3489737543021465
axial_loading_bottom_minus_top_over_mean_residual_after_inlet_count,network_throat_radius_p10_m,-0.17142857142857143,0.4698861728108753
axial_loading_bottom_minus_top_over_mean_residual_after_inlet_count,network_mean_degree,0.13834586466165413,0.5607873732874131
axial_loading_bottom_minus_top_over_mean_residual_after_inlet_count,network_pore_count,-0.1858540781960402,0.43273596876265996
axial_loading_bottom_minus_top_over_mean_residual_after_inlet_count,network_throat_count,-0.1744360902255639,0.4620108862392819
underutilized_particle_fraction_residual_after_inlet_count,network_inlet_pores,-0.009147202370078654,0.9694691475786226
underutilized_particle_fraction_residual_after_inlet_count,network_analytic_porosity,-0.22556390977443608,0.33897093917086685
underutilized_particle_fraction_residual_after_inlet_count,network_geometric_tortuosity,0.23759398496240602,0.3131305637442674
underutilized_particle_fraction_residual_after_inlet_count,network_pore_volume_cv,0.13233082706766916,0.5781074593622941
underutilized_particle_fraction_residual_after_inlet_count,network_mean_throat_radius_m,-0.2706766917293233,0.24839056913669727
underutilized_particle_fraction_residual_after_inlet_count,network_throat_radius_p10_m,-0.015037593984962403,0.9498276950483329
underutilized_particle_fraction_residual_after_inlet_count,network_mean_degree,-0.007518796992481202,0.9749025019933399
underutilized_particle_fraction_residual_after_inlet_count,network_pore_count,-0.2942062533386709,0.207992778352146
underutilized_particle_fraction_residual_after_inlet_count,network_throat_count,-0.31729323308270674,0.1728368864071423
