seed,uptake_100s_mol_kg_residual_after_inlet_count,uptake_500s_mol_kg_residual_after_inlet_count,uptake_1000s_mol_kg_residual_after_inlet_count,uptake_2500s_mol_kg_residual_after_inlet_count,uptake_5000s_mol_kg_residual_after_inlet_count,t50_final_uptake_s_residual_after_inlet_count,normalized_uptake_auc_residual_after_inlet_count,particle_loading_cv_residual_after_inlet_count,axial_loading_bottom_minus_top_over_mean_residual_after_inlet_count,underutilized_particle_fraction_residual_after_inlet_count
18427,0.00126022548336812,0.003383450303349897,0.005379652329684709,0.009828895179653269,0.014577007148585674,1.5085008552716772,7.43885258162047e-05,-0.03649247313443915,-0.0518261670301996,-0.007354330708661538
27183,0.0020474532269436976,0.00775125575382174,0.011916561044226698,0.017983250901413922,0.022183842765695683,-45.41631926096784,0.005210543216286889,-0.032027923375058664,-0.12217814583682785,-0.014332874174702082
31991,0.0007789513728232514,0.003438576664086604,0.006331381114934906,0.01365977276179589,0.02196019928173537,34.99389760546978,-0.0036182365340718947,-0.06217857741276678,-0.2064315673788002,-0.017635667163226176
40213,0.0006707821174156067,0.0017766074702588869,0.002346535868805566,0.002847130705814882,0.003094080516149733,-27.735742463122733,0.003066614997439765,-0.006843071717597571,-0.13607745707307206,-0.001331834188976977
47837,0.0012343532021292618,0.0019357392034940746,0.0006858588401568028,-0.002901721986961925,-0.006538941381439511,-60.121828256347726,0.0066058255544795275,0.02303982570822849,-0.03039150060392881,0.004069376463077368
52691,-0.0014201903864775635,-0.0029888932616322778,-0.004607597033264313,-0.008874788493335978,-0.013186105392587522,-6.171472427762183,0.0001824206191370914,0.03452025727967212,0.05553905884656096,0.007273013446058463
61417,-0.0012970903167050692,-0.007396060899278613,-0.013173703784548865,-0.023575465111111943,-0.03305196238485364,27.848650600907376,-0.0026034123502447493,0.06688935990431055,0.06550683844001082,0.02714867076569194
69371,-0.0006446917064969436,-0.0013559338828239703,-0.0015780979996902755,-0.0006411707803091471,0.000348480725861966,33.47008958557444,-0.0033834873622924366,-0.0017285134061875151,-0.014352282596986399,-0.002986464001439093
74167,-0.0010434277569395904,-0.004032274160369595,-0.006831591626761807,-0.012564645124910068,-0.0180610099800384,-2.8443918435466458,0.0002459877500556873,0.050117728779660364,0.16462493447936488,0.015180533751962488
81929,0.0005844275695354,-0.001687751393692108,-0.004503774066092217,-0.009517266937876273,-0.014157994925959178,-16.896250591403486,0.002327851109069856,0.03053673806588808,0.11400584972287131,0.010056005770291532
90709,-0.0021517928394794127,-0.002691912330533716,-0.00019956341520153964,0.006990765813595423,0.01506086963176062,94.78296851213918,-0.010960983501071775,-0.05524109009885203,-0.07066121675453996,-0.014779740370291505
98251,0.0038490915536644153,0.013938540068546057,0.021447262803362788,0.03390873841398534,0.04485793015897649,-72.65496877694477,0.008592097900996132,-0.0797588010995669,-0.1035882981800702,-0.03591359863800814
105019,0.000747973958320533,0.0031024031881416655,0.004784531633820241,0.006413292318957042,0.005490069236917805,-38.6170208565411,0.004210792564899424,0.03315533088341649,0.06237973749919057,-0.018167844394259558
113117,9.186909080493091e-05,-0.000731380888281355,-0.001724895666378748,-0.004116032007952963,-0.00643199060806432,-9.571324054636989,0.0008268123480359435,0.011527322649218963,0.04697623047619626,0.006669514772676188
121021,-0.0005994910330240286,0.0029365098734718265,0.007558699311736222,0.01654291864364782,0.02583489755602711,26.25468674623744,-0.003675753512554003,-0.08219167674453365,-0.21070257082919763,-0.008468615915424471
129121,0.0013371011406957747,0.002054696059330001,0.0011284416251578222,-0.0008377672848210727,-0.00209722137770621,-27.86443592649539,0.003516141895996694,0.0060215157453540336,0.1074373412659364,0.004530126456731898
137077,-0.0015311398986940367,-0.008477668116945586,-0.014608204752267942,-0.02677379593970028,-0.039537564047925466,-15.578400442469047,0.001600300310225622,0.10683485940102866,0.29072813570084666,0.02417097630076004
145093,-0.0006188011214036983,-0.002579901243295782,-0.004122834130957306,-0.006020716448187136,-0.006955783054126807,30.881413403176794,-0.003291096736886101,0.012053660756095042,0.08540407582530385,0.005581970413431114
153133,-0.0015822180889578825,-0.0042918315767553755,-0.005012250777544816,-0.005453515667858511,-0.006069713208560951,42.38857751413775,-0.004892856947319002,0.010961677268624515,0.06192916877230914,0.002420401323422028
161123,-0.0012989909882558034,-0.002694105711886191,-0.0033755501883257627,-0.005062999157882525,-0.006609144789000931,10.006794643687044,-0.0016640793692586087,-0.010371518275219538,-0.06391383512102244,0.00818673999914088
