target,feature,spearman_rho,bootstrap_valid,ci95_low,ci95_high
final_uptake_mol_kg,effective_inlet_to_interior_conductance_m3_s,0.9684210526315788,5000,0.86665907365224,0.9954372623574144
final_uptake_mol_kg,network_inlet_pores,0.7470215268897568,5000,0.4180784151389941,0.9126545859262292
final_uptake_mol_kg,inlet_to_internal_unique_second_layer_pores,0.7036231109323524,5000,0.31538050384990385,0.907171192720111
final_uptake_mol_kg,inlet_to_internal_throat_count,0.6961177420035345,5000,0.3656176559217039,0.8849151835650694
final_uptake_mol_kg,inlet_polar_cell_coverage,0.636974170613958,5000,0.1946718614621709,0.883154695057311
final_uptake_mol_kg,inlet_internal_conductance_m3_s,0.5458646616541353,5000,0.1175088197364668,0.8059612936083522
final_uptake_mol_kg,inlet_radial_mean_over_R,-0.5428571428571428,5000,-0.8088028961497589,-0.1500371287128713
final_uptake_mol_kg,inlet_total_pore_volume_m3,0.4992481203007519,5000,0.07586393831173296,0.796950985547613
final_uptake_mol_kg,inlet_pore_volume_fraction,0.4827067669172932,5000,0.020401928605330938,0.7843706426451299
final_uptake_mol_kg,network_geometric_tortuosity,-0.4586466165413533,5000,-0.7503874495178368,-0.032892287577301546
final_uptake_mol_kg,network_shortest_inlet_outlet_path_m,-0.45112781954887216,5000,-0.786759238761193,0.005332531715892555
final_uptake_mol_kg,inlet_angular_resultant,-0.45112781954887216,5000,-0.7960872350764916,0.034140360629819
final_uptake_mol_kg,inlet_centroid_offset_over_R,-0.4421052631578947,5000,-0.8000153374233129,0.047994299429942815
final_uptake_mol_kg,inlet_internal_conductance_per_inlet_pore_m3_s,0.3924812030075188,5000,-0.07518232805650733,0.7216730038022813
final_uptake_mol_kg,inlet_radial_coverage,0.26013299085723596,4391,0.0,0.5436324536997895
final_uptake_mol_kg,network_throat_count,0.24812030075187969,5000,-0.25455511104979994,0.6874051593323217
final_uptake_mol_kg,effective_inlet_to_outlet_conductance_m3_s,0.24360902255639094,5000,-0.2597147822685004,0.7100021008739176
final_uptake_mol_kg,network_pore_count,0.22874348085666485,5000,-0.26992682499173337,0.6899490026578794
final_uptake_mol_kg,inlet_internal_conductance_cv,0.21954887218045113,5000,-0.24621937319297202,0.6115359442491181
final_uptake_mol_kg,network_minimum_throat_radius_m,-0.20751879699248119,5000,-0.6388982963167333,0.31442041944874055
final_uptake_mol_kg,inlet_to_internal_throats_per_inlet_pore,-0.20700050831175662,5000,-0.6175700069128355,0.27240055564704957
final_uptake_mol_kg,network_median_pore_volume_m3,-0.19548872180451127,5000,-0.6442908524366088,0.29033610896020806
final_uptake_mol_kg,network_degree_cv,0.15488721804511277,5000,-0.3106178438405297,0.5403492112909918
final_uptake_mol_kg,network_outlet_pores,-0.14873665420249055,5000,-0.644862029183052,0.39193965079009946
final_uptake_mol_kg,network_total_pore_volume_m3,0.13082706766917293,5000,-0.34397935302683585,0.6436963800767546
final_uptake_mol_kg,inlet_radial_std_over_R,-0.1263157894736842,5000,-0.5491252377885293,0.3562010484600737
final_uptake_mol_kg,inlet_min_pair_distance_over_D,-0.12030075187969923,5000,-0.6157821298247594,0.3877947994004669
final_uptake_mol_kg,inlet_mean_pair_distance_over_D,0.11729323308270674,5000,-0.3034237553154047,0.5273082005981772
final_uptake_mol_kg,network_median_throat_radius_m,0.11578947368421053,5000,-0.3499764296209127,0.5357862833270876
final_uptake_mol_kg,network_analytic_porosity,0.10225563909774435,5000,-0.3717259651778955,0.5729779482733809
final_uptake_mol_kg,network_mean_throat_length_m,-0.09774436090225563,5000,-0.5538694992412747,0.39547312478396107
final_uptake_mol_kg,network_pore_volume_cv,0.09473684210526315,5000,-0.44787121704147775,0.6659482504175587
