target,model,n,n_features,loo_r2,loo_rmse,loo_mae,normalized_rmse_by_std,mae_improvement_over_global_mean_pct
final_uptake_mol_kg,porosity_only_ridge,20,1,-0.22104831992341722,0.03145979525895488,0.025484094093351208,1.0770310598711843,-11.14051728915476
final_uptake_mol_kg,inlet_count_only_ridge,20,1,0.5252817069636528,0.01961586438696833,0.01524498831794037,0.6715522156798605,33.51398399658767
final_uptake_mol_kg,effective_conductance_only_ridge,20,1,0.9244896298997145,0.007823350109037546,0.006760433239402813,0.2678336267074604,70.51658793231131
final_uptake_mol_kg,second_layer_only_ridge,20,1,0.5188356528812639,0.019748594234447546,0.015639568419369268,0.676096242973439,31.79315231137362
final_uptake_mol_kg,conductance_plus_tortuosity_ridge,20,2,0.9135540297146386,0.008370701270794024,0.007230344855523078,0.28657228018615716,68.46722255544219
final_uptake_mol_kg,conductance_plus_polar_coverage_ridge,20,2,0.9080678029827719,0.008632235623833308,0.007027694072620824,0.29552595007269106,69.35101747309967
final_uptake_mol_kg,physical_three_ridge,20,3,0.9310935376403644,0.007473420924532814,0.005880741371802868,0.2558537458034449,74.3530754630032
t50_final_uptake_s,porosity_only_ridge,20,1,-0.08077904031948946,65.19456556628397,52.5098227810318,1.013281840508116,0.36788215037616456
t50_final_uptake_s,inlet_count_only_ridge,20,1,0.6172208653897722,38.7986904121505,31.270132811094822,0.6030258517507492,40.66806185196632
t50_final_uptake_s,effective_conductance_only_ridge,20,1,0.12129726502866622,58.78464879485844,48.39745872046971,0.9136561706806161,8.170680160779755
t50_final_uptake_s,second_layer_only_ridge,20,1,0.650838537180023,37.05579123233365,28.949153647569165,0.575936966758497,45.071886837459175
t50_final_uptake_s,conductance_plus_tortuosity_ridge,20,2,0.353399916777298,50.426731198237256,42.711705001354424,0.7837538383073903,18.958827113190775
t50_final_uptake_s,conductance_plus_polar_coverage_ridge,20,2,0.11602691776961827,58.9606766651538,46.05565437642851,0.9163920711785228,12.614018835892484
t50_final_uptake_s,physical_three_ridge,20,3,0.630910051730052,38.098602691067796,29.931749972464104,0.5921447887606971,43.207508942893064
underutilized_particle_fraction,porosity_only_ridge,20,1,-0.22665112582278524,0.02084160467892703,0.016958063458806204,1.0794992216447616,-11.44730869908175
underutilized_particle_fraction,inlet_count_only_ridge,20,1,0.38689119068874067,0.014734635646635054,0.011758542318586584,0.763186326427365,22.723611760620937
underutilized_particle_fraction,effective_conductance_only_ridge,20,1,0.8628800403305728,0.006968205684854,0.005351854699389596,0.36092099091900415,64.82795313012163
underutilized_particle_fraction,second_layer_only_ridge,20,1,0.4011067112791613,0.014562815463838422,0.011319729662546834,0.7542868315732397,25.60746047704559
underutilized_particle_fraction,conductance_plus_tortuosity_ridge,20,2,0.8373795094487384,0.007588540503646677,0.0058624070027694045,0.3930514801189516,61.47263603863797
underutilized_particle_fraction,conductance_plus_polar_coverage_ridge,20,2,0.8412147038600759,0.0074985236366580605,0.005706826732575487,0.38838902061326086,62.49509962605803
underutilized_particle_fraction,physical_three_ridge,20,3,0.8185051317594365,0.00801683228417882,0.006392106904289585,0.41523502360534975,57.99148215653376
