target,model,feature,baseline_loo_mae,mae_increase_mean,mae_increase_ci95_low,mae_increase_ci95_high
final_uptake_mol_kg,physical_three_ridge,effective_inlet_to_interior_conductance_m3_s,0.005880741371802868,0.017880645407918217,0.011555488132138008,0.023632809266523065
final_uptake_mol_kg,physical_three_ridge,inlet_to_internal_unique_second_layer_pores,0.005880741371802868,0.005096730893938155,0.002482935515883533,0.007375103698365625
final_uptake_mol_kg,physical_three_ridge,inlet_polar_cell_coverage,0.005880741371802868,-2.8402967760510187e-05,-0.001050889788874741,0.000712723313514074
t50_final_uptake_s,physical_three_ridge,effective_inlet_to_interior_conductance_m3_s,29.931749972464104,-1.0870123438565609,-2.6171350391754036,0.38683831933446694
t50_final_uptake_s,physical_three_ridge,inlet_to_internal_unique_second_layer_pores,29.931749972464104,28.44385587511838,13.078204310957918,43.52603186547602
t50_final_uptake_s,physical_three_ridge,inlet_polar_cell_coverage,29.931749972464104,5.575901280306807,-0.8029027372034484,11.858126721865629
underutilized_particle_fraction,physical_three_ridge,effective_inlet_to_interior_conductance_m3_s,0.006392106904289585,0.010419980694977403,0.006086170575525028,0.013605878538638063
underutilized_particle_fraction,physical_three_ridge,inlet_to_internal_unique_second_layer_pores,0.006392106904289585,0.001104344192908437,-8.167807050703633e-05,0.002311104145379696
underutilized_particle_fraction,physical_three_ridge,inlet_polar_cell_coverage,0.006392106904289585,-0.0002404617613572751,-0.0008661264887118921,0.00036039932519130863
