coefficient_of_variation,count,maximum,mean,median,metric,minimum,standard_deviation
0.11040350469293445,20,0.001998644422792153,0.0016795583073736773,0.0016933985302034465,final_adsorbed_inventory_mol,0.0013048922178903596,0.00018542912347018682
0.11040350469293443,20,0.31483662970836973,0.2645725627140298,0.26675274497178725,final_uptake_mol_kg,0.20555325566082652,0.029209738169220078
0.08697158921434292,20,114.79443565229484,96.28406227171754,94.72810995140668,t10_final_uptake_s,82.66694973816813,8.373977911784031
0.04286075781611938,20,1625.1806434834598,1501.1403220496277,1493.5147342491043,t50_final_uptake_s,1388.936035691538,64.34001179138055
0.00668046167084429,20,4246.573951104598,4195.770947855273,4191.775043301523,t90_final_uptake_s,4139.106497771732,28.02968699678917
0.0032565372437701923,20,4619.163808561901,4592.153896438845,4590.103049361496,t95_final_uptake_s,4561.809145862861,14.954520192877505
0.12412862845573666,20,2.7044780054273254e-06,2.2315726200362316e-06,2.3136571544855678e-06,maximum_adsorption_rate_mol_s,1.5590017351395307e-06,2.770020486244722e-07
0.0303400107803221,20,0.6400286701838844,0.6076384027658612,0.6017880726892569,time_of_maximum_rate_s,0.5658322842428334,0.01843575569045393
0.012082164392586572,20,0.6472383513224237,0.6338883280072802,0.6351551943960752,normalized_uptake_auc,0.6185948044670861,0.007658742985525799
0.03694137077286352,20,0.06586143885660264,0.061556594302017785,0.06116929185296091,late_uptake_fraction,0.057179006477713824,0.0022739849736255766
0.0379023605879201,20,0.0001307909649922995,0.00012202905752430114,0.00012124636826468224,end_relative_uptake_rate_per_s,0.00011315214232522947,4.625189340490106e-06
0.03445032580743388,20,2.033818623624015,1.8855628643319258,1.8764168533509438,particle_loading_cv,1.7925516897991711,0.06495825500663309
0.021078464742215454,20,0.9524324324324325,0.915945945945946,0.9162162162162162,underutilized_particle_fraction,0.8783783783783784,0.019306734327396807
