seed,axial_bin,mean_loading_mol_kg,mean_loading_over_inlet_equilibrium,particle_count,z_high_m,z_low_m
105019,0,1.1979984293261936,0.5188303376795927,192,0.0036601157000000005,-1.2270000000000206e-06
105019,1,0.5704781255536157,0.24706322752549545,189,0.0073214584000000004,0.0036601157000000005
105019,2,0.17486303210202478,0.07572985387317932,190,0.010982801100000002,0.0073214584000000004
105019,3,0.04033588675214404,0.017468705494039113,196,0.014644143800000002,0.010982801100000002
105019,4,0.006056551717082649,0.0026229773726124893,189,0.018305486500000002,0.014644143800000002
105019,5,0.0007430971107684829,0.0003218212273663722,198,0.021966829200000003,0.018305486500000002
105019,6,7.471069014251342e-05,3.235577914464979e-05,193,0.025628171900000003,0.021966829200000003
105019,7,6.774321969518204e-06,2.933830019269931e-06,191,0.029289514600000004,0.025628171900000003
105019,8,5.581055787845264e-07,2.4170491280568935e-07,194,0.032950857300000004,0.029289514600000004
105019,9,5.149004382023642e-08,2.229935880418119e-08,118,0.036612200000000004,0.032950857300000004
113117,0,1.5504404015929194,0.6714662535600953,194,0.0036584519,-1.2090000000000625e-06
113117,1,0.7986972023080066,0.34590056967794114,193,0.0073181128,0.0036584519
113117,2,0.26660397208648556,0.11546111036401815,199,0.0109777737,0.0073181128
113117,3,0.05918999103191929,0.025634059513429536,186,0.0146374346,0.0109777737
113117,4,0.010179031398365578,0.0044083449263247875,196,0.018297095500000003,0.0146374346
113117,5,0.0012517109171015471,0.0005420921946970278,194,0.021956756400000003,0.018297095500000003
113117,6,0.0001290955054203073,5.590880841789371e-05,189,0.025616417300000003,0.021956756400000003
113117,7,1.1289846290273667e-05,4.88941773189795e-06,191,0.029276078200000003,0.025616417300000003
113117,8,8.949614732500748e-07,3.8759079478737156e-07,193,0.0329357391,0.029276078200000003
113117,9,9.726590806753873e-08,4.212401510056802e-08,115,0.0365954,0.0329357391
121021,0,1.4596150446748364,0.6321315186838713,195,0.003656218,-1.4799999999999926e-06
121021,1,0.7811086652964591,0.33828330877541746,187,0.007313916,0.003656218
121021,2,0.27134794767628023,0.11751563597686161,193,0.010971614,0.007313916
121021,3,0.059584441417804127,0.025804888474383666,195,0.014629312,0.010971614
121021,4,0.009631264496838807,0.004171117498031176,191,0.01828701,0.014629312
121021,5,0.0013404072389227035,0.0005805048849601453,193,0.021944707999999997,0.01828701
121021,6,0.0001435514210615765,6.216939057729256e-05,190,0.025602405999999998,0.021944707999999997
121021,7,1.35145142445836e-05,5.852879116908929e-06,194,0.029260104,0.025602405999999998
121021,8,1.1383667805418044e-06,4.930050045924728e-07,190,0.032917802,0.029260104
121021,9,1.2688035297858486e-07,5.494946802043005e-08,122,0.036575500000000004,0.032917802
129121,0,1.3083353885460318,0.5666151764650375,190,0.0036429802,-1.1219999999999937e-06
129121,1,0.64051560775076,0.2773951291783304,190,0.0072870824,0.0036429802
129121,2,0.19902681993613613,0.0861947308669174,195,0.010931184600000001,0.0072870824
129121,3,0.0412202355094526,0.0178517001233718,197,0.014575286800000002,0.010931184600000001
129121,4,0.006723870554843834,0.002911980470997452,193,0.018219389000000002,0.014575286800000002
129121,5,0.0008272507651885916,0.00035826657476496093,189,0.0218634912,0.018219389000000002
129121,6,8.889186755474134e-05,3.84973774016848e-05,194,0.025507593400000004,0.0218634912
129121,7,7.762005792966912e-06,3.3615771006486465e-06,190,0.029151695600000003,0.025507593400000004
129121,8,5.971120227620231e-07,2.5859786191573724e-07,199,0.032795797800000005,0.029151695600000003
129121,9,6.307053508752923e-08,2.7314649348497208e-08,113,0.036439900000000004,0.032795797800000005
137077,0,1.4423184142541143,0.6246406769747134,193,0.0036058847,-1.0170000000000751e-06
137077,1,0.7202194557736308,0.31191335004722387,185,0.007212786400000001,0.0036058847
137077,2,0.22588449506056668,0.09782627921705547,194,0.0108196881,0.007212786400000001
137077,3,0.04712647271544808,0.020409579139729045,200,0.0144265898,0.0108196881
137077,4,0.007349857629468869,0.0031830835687648162,184,0.018033491500000002,0.0144265898
137077,5,0.0009320448230476106,0.0004036508883791197,192,0.021640393200000003,0.018033491500000002
137077,6,9.272317495468798e-05,4.0156643777506896e-05,196,0.0252472949,0.021640393200000003
137077,7,7.915346378324987e-06,3.4279859921244584e-06,195,0.028854196600000003,0.0252472949
137077,8,5.958777660690431e-07,2.5806332881358433e-07,192,0.032461098300000005,0.028854196600000003
137077,9,5.897362352172386e-08,2.5540354859375252e-08,119,0.036068,0.032461098300000005
145093,0,1.519052195383357,0.657872618353058,190,0.003662975,-1.2500000000000575e-06
145093,1,0.7923051040099339,0.34313227346211433,192,0.0073272,0.003662975
145093,2,0.26479587169764857,0.11467805646984357,193,0.010991425,0.0073272
145093,3,0.05397237183536974,0.02337440786167245,194,0.014655650000000001,0.010991425
145093,4,0.008721600736231901,0.0037771594221795903,195,0.018319875,0.014655650000000001
145093,5,0.0010453903416634276,0.0004527386770258783,194,0.0219841,0.018319875
145093,6,0.00011310442704906791,4.898337647398259e-05,193,0.025648325,0.0219841
145093,7,9.822033389229878e-06,4.2537358775174415e-06,194,0.02931255,0.025648325
145093,8,6.986526765325248e-07,3.025731880883992e-07,193,0.032976775,0.02931255
145093,9,8.336909271578816e-08,3.610556864427761e-08,112,0.036641,0.032976775
153133,0,1.4007107346439494,0.6066211821792588,192,0.0036626806,-9.66000000000031e-07
153133,1,0.7108305203596701,0.30784718066667055,191,0.0073263272,0.0036626806
153133,2,0.22183511505608686,0.09607256974324681,194,0.010989973799999999,0.0073263272
153133,3,0.047248720544081836,0.020462522349551385,194,0.0146536204,0.010989973799999999
153133,4,0.007266151079354887,0.0031468318537387304,191,0.018317266999999998,0.0146536204
153133,5,0.0008943451664462385,0.0003873238840307953,196,0.021980913599999995,0.018317266999999998
153133,6,8.962745420376875e-05,3.881594599089584e-05,189,0.025644560199999996,0.021980913599999995
153133,7,7.60566705142626e-06,3.2938697647454093e-06,199,0.029308206799999997,0.025644560199999996
153133,8,5.593875289759992e-07,2.422601010550632e-07,187,0.0329718534,0.029308206799999997
153133,9,6.82417878750375e-08,2.9554220590237894e-08,117,0.0366355,0.0329718534
161123,0,1.3686766949133042,0.5927478487559086,192,0.0036398273000000005,-1.0030000000000715e-06
161123,1,0.7183895552652457,0.3111208549358409,187,0.0072806576000000005,0.0036398273000000005
161123,2,0.24718259349332514,0.10705008062722622,193,0.010921487900000002,0.0072806576000000005
161123,3,0.05658897526460124,0.024507609047524855,187,0.014562318200000002,0.010921487900000002
161123,4,0.009461932103197186,0.004097782858500314,199,0.018203148500000002,0.014562318200000002
161123,5,0.0011665404001056248,0.0005052064634542968,200,0.021843978800000004,0.018203148500000002
161123,6,0.00011916350170103653,5.1607446481716123e-05,182,0.025484809100000002,0.021843978800000004
161123,7,1.1659769848907812e-05,5.04962459039086e-06,198,0.029125639400000004,0.025484809100000002
161123,8,8.91917137365018e-07,3.8627235080899135e-07,192,0.0327664697,0.029125639400000004
161123,9,9.735833069801437e-08,4.216404158424703e-08,120,0.036407300000000004,0.0327664697
18427,0,1.5575323626864737,0.6745376470435148,190,0.0036453569000000005,-1.059000000000086e-06
18427,1,0.8512747167332834,0.36867089132098607,187,0.0072917728000000005,0.0036453569000000005
18427,2,0.2881995359564602,0.12481373839821516,195,0.010938188700000002,0.0072917728000000005
18427,3,0.06374602409516092,0.02760719079208284,196,0.014584604600000002,0.010938188700000002
18427,4,0.009895803118175471,0.004285684144261749,194,0.0182310205,0.014584604600000002
18427,5,0.0011787308390521474,0.000510485910739252,196,0.021877436400000002,0.0182310205
18427,6,0.00011923421760340218,5.163807219424258e-05,189,0.0255238523,0.021877436400000002
18427,7,1.057384730411298e-05,4.579332186980389e-06,193,0.029170268200000002,0.0255238523
18427,8,8.525595047365153e-07,3.692273085726668e-07,189,0.03281668410000001,0.029170268200000002
18427,9,9.745001206022896e-08,4.220374703873872e-08,121,0.036463100000000005,0.03281668410000001
27183,0,1.676077061934287,0.7258771019503645,191,0.0036282016000000004,-1.476000000000038e-06
27183,1,0.9466829652771376,0.4099903894085317,191,0.0072578792,0.0036282016000000004
27183,2,0.3341407433785397,0.14471000167930473,193,0.0108875568,0.0072578792
27183,3,0.07411885986996404,0.03209946870830932,193,0.0145172344,0.0108875568
27183,4,0.012398593103288457,0.005369594891830608,187,0.018146912,0.0145172344
27183,5,0.001784226906592247,0.0007727147430109161,194,0.0217765896,0.018146912
27183,6,0.00019584101975917765,8.481502139390854e-05,195,0.025406267200000002,0.0217765896
27183,7,1.7493396541393106e-05,7.5760573741643396e-06,191,0.0290359448,0.025406267200000002
27183,8,1.384359261553017e-06,5.995396701357924e-07,196,0.032665622400000004,0.0290359448
27183,9,1.4986503948842724e-07,6.49036986533269e-08,119,0.0362953,0.032665622400000004
31991,0,1.5531874964741215,0.6726559681122701,195,0.0036506671000000003,-1.0809999999999986e-06
31991,1,0.871883467602676,0.3775961494106277,190,0.0073024152000000005,0.0036506671000000003
31991,2,0.2869397775378975,0.12426816098367281,193,0.0109541633,0.0073024152000000005
31991,3,0.06594150212316223,0.028558010575107692,188,0.014605911400000001,0.0109541633
31991,4,0.011805073013864598,0.005112552627936656,193,0.018257659500000002,0.014605911400000001
31991,5,0.0015165360783722813,0.0006567829359239817,195,0.0219094076,0.018257659500000002
31991,6,0.0001605276084033211,6.952145448273794e-05,198,0.0255611557,0.0219094076
31991,7,1.311236196027172e-05,5.678714610211282e-06,183,0.029212903800000002,0.0255611557
31991,8,1.0454578613700506e-06,4.527679185268099e-07,195,0.0328646519,0.029212903800000002
31991,9,1.116130751369236e-07,4.833750032153043e-08,120,0.036516400000000004,0.0328646519
40213,0,1.4390783351539767,0.6232374603322854,192,0.0036367761000000005,-1.1710000000000062e-06
