time_s,mean_gas_concentration_mol_m3,gas_inventory_mol,adsorbed_inventory_mol,total_inventory_mol,cumulative_reservoir_input_mol,inventory_change_mol,mass_balance_residual_mol,relative_mass_balance_error,mean_loading_mol_kg
0.0,0.07436328794874908,2.3301344822930633e-07,0.0,2.3301344822930633e-07,0.0,0.0,0.0,0.0,0.0
5e-05,0.07441065864135706,2.3316188180095263e-07,1.0203137732472882e-10,2.3326391317827737e-07,2.504649489710591e-10,2.50464948971041e-10,-1.809457589959748e-23,7.22439446075478e-14,1.6072501238886565e-08
5.3177247874300556e-05,0.07441365029945854,2.3317125600412975e-07,1.0851702612518291e-10,2.3327977303025494e-07,2.663248009485918e-10,2.663248009486056e-10,1.380357647197865e-23,5.182985746281441e-14,1.7094153608123152e-08
5.655639382969606e-05,0.07441682967011397,2.3318121839471325e-07,1.1541507525069216e-10,2.3329663346996394e-07,2.8318524065761027e-10,2.831852406576107e-10,4.1359030627651384e-25,1.460493863720007e-15,1.8180769373024497e-08
6.0150267471166206e-05,0.07442020837374572,2.33191805384685e-07,1.2275176584668276e-10,2.333145571505317e-07,3.011089212253738e-10,3.011089212253756e-10,1.809457589959748e-24,6.009312452769859e-15,1.9336482172216585e-08
6.397251366039366e-05,0.07442379873191844,2.3320305558301917e-07,1.305550110618768e-10,2.3333361059408104e-07,3.2016236477472315e-10,3.2016236477470986e-10,-1.3286588589133007e-23,4.1499532896322437e-14,2.05656890267843e-08
6.803764432121665e-05,0.07442761380517311,2.3321500991423339e-07,1.3885450294070895e-10,2.333538644171741e-07,3.4041618786772746e-10,3.4041618786776716e-10,3.970466940254533e-23,1.1663566780193307e-13,2.1873067178508307e-08
7.236109353705672e-05,0.07443166743488853,2.3322771174955953e-07,1.4768182611655462e-10,2.3337539357567608e-07,3.6194534636979044e-10,3.619453463697443e-10,-4.611531914983129e-23,1.2740962029863048e-13,2.32635919994003e-08
7.695927614951026e-05,0.07443597428701311,2.3324120704397488e-07,1.57070578818478e-10,2.3339827762279337e-07,3.8482939348704375e-10,3.848293934870396e-10,-4.1359030627651384e-24,1.074736787979888e-14,2.4742556053301096e-08
8.184965008058509e-05,0.07444054989491956,2.3325554447048516e-07,1.670565017454456e-10,2.334226009722306e-07,4.091527429242916e-10,4.0915274292426936e-10,-2.223047896236262e-23,5.433295840442668e-14,2.6315589396801925e-08
8.705078261520076e-05,0.07444541071318647,2.3327077558864618e-07,1.7767761498330339e-10,2.334484532036295e-07,4.350049743231399e-10,4.350049743231576e-10,1.7680985593320967e-23,4.0645479102466704e-14,2.7988681147102645e-08
9.258242089560769e-05,0.07445057416337168,2.3328695498799231e-07,1.88974364039424e-10,2.3347592935203174e-07,4.624811227254384e-10,4.624811227254049e-10,-3.350081480839762e-23,7.243715075541815e-14,2.976820248613179e-08
9.846556689537107e-05,0.07445605868647687,2.333041404524316e-07,2.0098977515776066e-10,2.3350513022758936e-07,4.916819982830689e-10,4.916819982830244e-10,-4.446095792472524e-23,9.042624720852273e-14,3.166093112656339e-08
